Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”,Name: “Table 1 of 1 on page 9 of 80”
by section 1111(b),by section 1111(b),by section 1111(b),,,,,,,,,,,62.0,
To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,To administer assessments required by section 1111(b) or to carry out other activities,,,
described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,described in section 6111 and other activities related to ensuring that the State's schools and,,
local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,local educational agencies are held accountable for the results,,,,,,38.0,
Comments:,Comments:,,,,,,,,,,,,,
1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,1.1.3.2 Uses of Funds for Purposes Other than Standards and Assessment Development,,
For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities),For funds your State had available under ESEA section 6111 (Grants for State Assessments and Related Activities)
during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and,during SY 2010-11 that were used for purposes other than the costs of the development of the State assessments and
"standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and","standards required by section 1111(b), for what purposes did your State use the funds? (Enter ""yes"" for all that apply and"
"""no"" for all that do not apply).","""no"" for all that do not apply).","""no"" for all that do not apply).","""no"" for all that do not apply).",,,,,,,,,,,
,,,,,,,,,,,,,,Used for
,,,,,,,,,,,,,,Purpose
,,,,,,Purpose,Purpose,,,,,,,(yes/no)
Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),Administering assessments required by section 1111(b),,,,,,,Yes
Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,Developing challenging State academic content and student academic achievement standards and aligned,
assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,assessments in academic subjects for which standards and assessments are not required by section 1111,
(b),,,,,,,,,,,,,,No
Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,Developing or improving assessments of English language proficiency necessary to comply with section,
1111(b)(7),,,,,,,,,,,,,,No
"Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to","Ensuring the continued validity and reliability of State assessments, and/or refining State assessments to",
ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,ensure their continued alignment with the State's academic content standards and to improve the alignment,
of curricula and instructional materials,of curricula and instructional materials,of curricula and instructional materials,of curricula and instructional materials,of curricula and instructional materials,of curricula and instructional materials,,,,,,,,,Yes
Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,Developing multiple measures to increase the reliability and validity of State assessment systems,No
Strengthening,Strengthening,the,capacity,of,local,educational,agencies,and,schools,to,provide,all,students,the
opportunity,to,increase,educational,educational,educational,"achievement,",including,carrying,out,out,professional,professional,development,
activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,activities aligned with State student academic achievement standards and assessments,,,Yes
Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,Expanding the range of accommodations available to students with limited English proficiency and students,
"with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional","with disabilities (IDEA) to improve the rates of inclusion of such students, including professional",,
development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,development activities aligned with State academic achievement standards and assessments,,Yes
Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,Improving the dissemination of information on student achievement and school performance to parents,
"and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify","and the community, including the development of information and reporting systems designed to identify",
best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,best educational practices based on scientifically based research or to assist in linking records of student,
"achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time","achievement, length of enrollment, and graduation over time",,,,,,,Yes
Other,,,,,,,,,,,,,,No
Comments:,Comments:,,,,,,,,,,,,,
