Subject matter knowledge for teachers,Subject matter knowledge for teachers,Subject matter knowledge for teachers,Subject matter knowledge for teachers,Subject matter knowledge for teachers,,35,
Other (Explain in comment box),Other (Explain in comment box),Other (Explain in comment box),Other (Explain in comment box),Other (Explain in comment box),,0,
,,,,Participant Information,Participant Information,# Subgrantees,# Participants
PD provided to content classroom teachers,PD provided to content classroom teachers,PD provided to content classroom teachers,PD provided to content classroom teachers,PD provided to content classroom teachers,PD provided to content classroom teachers,55,"12,433"
PD provided to LEP classroom teachers,PD provided to LEP classroom teachers,PD provided to LEP classroom teachers,PD provided to LEP classroom teachers,PD provided to LEP classroom teachers,PD provided to LEP classroom teachers,57,"4,211"
PD provided to principals,PD provided to principals,PD provided to principals,PD provided to principals,PD provided to principals,,54,"1,578"
PD provided to administrators/other than principals,PD provided to administrators/other than principals,PD provided to administrators/other than principals,PD provided to administrators/other than principals,PD provided to administrators/other than principals,PD provided to administrators/other than principals,47,"2,248"
PD provided to other school personnel/non-administrative,PD provided to other school personnel/non-administrative,PD provided to other school personnel/non-administrative,PD provided to other school personnel/non-administrative,PD provided to other school personnel/non-administrative,PD provided to other school personnel/non-administrative,47,"2,248"
PD provided to community based organization personnel,PD provided to community based organization personnel,PD provided to community based organization personnel,PD provided to community based organization personnel,PD provided to community based organization personnel,PD provided to community based organization personnel,31,"1,183"
Total,,,,,,,"23,901"
"The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.",,
