Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”,Name: “Table 1 of 1 on page 59 of 80”
2.,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant,Students in 3114(d)(1) Program = Number of immigrant students who participated in programs for immigrant
,"children and youth funded under Section 3114(d)(1), using the funds reserved for immigrant education","children and youth funded under Section 3114(d)(1), using the funds reserved for immigrant education","children and youth funded under Section 3114(d)(1), using the funds reserved for immigrant education","children and youth funded under Section 3114(d)(1), using the funds reserved for immigrant education","children and youth funded under Section 3114(d)(1), using the funds reserved for immigrant education",
,programs/activities. This number should not include immigrant students who receive services in Title III,programs/activities. This number should not include immigrant students who receive services in Title III,programs/activities. This number should not include immigrant students who receive services in Title III,programs/activities. This number should not include immigrant students who receive services in Title III,programs/activities. This number should not include immigrant students who receive services in Title III,
,language instructional educational programs under Sections 3114(a) and 3115(a).,language instructional educational programs under Sections 3114(a) and 3115(a).,language instructional educational programs under Sections 3114(a) and 3115(a).,language instructional educational programs under Sections 3114(a) and 3115(a).,language instructional educational programs under Sections 3114(a) and 3115(a).,
3.,"3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved","3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved","3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved","3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved","3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved","3114(d)(1)Subgrants = Number of subgrants made in the State under Section 3114(d)(1), with the funds reserved"
,for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP),for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP),for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP),for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP),for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP),for immigrant education programs/activities. Do not include Title III Language Instruction Educational Program (LIEP)
,subgrants made under Sections 3114(a) and 3115(a) that serve immigrant students enrolled in them.,subgrants made under Sections 3114(a) and 3115(a) that serve immigrant students enrolled in them.,subgrants made under Sections 3114(a) and 3115(a) that serve immigrant students enrolled in them.,subgrants made under Sections 3114(a) and 3115(a) that serve immigrant students enrolled in them.,subgrants made under Sections 3114(a) and 3115(a) that serve immigrant students enrolled in them.,
,# Immigrant Students Enrolled,# Immigrant Students Enrolled,# Immigrant Students Enrolled,,# Students in 3114(d)(1) Program,# of 3114(d)(1) Subgrants
"24,612","24,612",,,,"5,646",21
"If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.","If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.","If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.","If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.","If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.","If state reports zero (0) students in programs or zero (0) subgrants, explain in comment box below.",
"The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.","The response is limited to 8,000 characters.",
