RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED,OTHER
276,KOKO CHICKEN,45756,8450 Centreville Rd,Manassas Park,VA,201112363,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2007,,9/10/2007,25," $ 2,000.00 ",,,,,
427,WOODBINE CHINESE CUISINE,10432,13456 Dumfries Rd,Manassas,VA,20112,FAILED TO KEEP DESIGNATED MANAGER'S POSTED; FAILED TO HAVE DESIGNATED MANAGER IN ACTUAL CHARGE,2,N,ALEXANDRIA,INITIAL HEARING,5/18/2007,9/24/2007,11/14/2007,7, $ 700.00 ,,,,,
70,FIORA'S ITALIAN RISTORANTE (MB),40354,5081 Westfields Blvd,Centreville,VA,201204361,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,10/31/2006,5/21/2007,7/9/2007,7, $ 500.00 ,,,,,
756,CHEOGAJIP CHICKEN,48035,"13814 Braddock Rd, Ste c",Centreville,VA,20121,RETAILER RECEIVED PROPERTY FROM WHOLESALER,1,N,ALEXANDRIA,INITIAL HEARING,8/9-31/07,2/8/2008,03/17/08,15," $ 1,000.00 ",,,,,
757,NED DEVINE'S IRISH PUB,42831,6208 Multiplex Dr,Centreville,VA,20121,FAILED TO KEEP FILES AVAILABLE FOR INSPECTION BY ABC AGENTS; FAILED TO OBLITERATE MB STAMPS; KEPT UNAUTHORIZED AB FOR SALE,3,Y,ALEXANDRIA,INITIAL HEARING,8/9/2007,2/8/2008,03/17/08,7," $ 1,500.00 ",,,,,
778,SHADE TREE RESTAURANT & PUB (MB),40706,14101 St Germaine Dr,Centreville,VA,20121,QUALIFICATIONS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/31/2007,,03/20/08,10," $ 1,000.00 ", ,,,,
959,CONVENIENT MART,11844,5742 Pickwick Rd,Centreville,VA,20121,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,10/19/2007,4/8/2008,05/13/08,25," $ 2,000.00 ",,,,,
1075,CAFÉ MARTINI,46781,13840 FGH Braddock Rd,Centreville,VA,20121,FAILE TO KEEP ACCURATE RECORDS AT PLACE OF BUSINESS; ADVERTISED ABOUT HAPPY HOUR CONTRARY TO RULES & REGS.; KEPT UNAUTHORIZED AB FOR SALE; TAMPERED WITH THE CONTENTS OF AB,4,Y,ALEXANDRIA,INITIAL HEARING,9/19/2007,5/21/2008,06/30/08,10," $ 3,000.00 ",,,,,
1037,PHILOMONT GENERAL STORE,26550,36550 Jeb Stuart Rd,Philomont,VA,20131,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,06/16/08,25," $ 2,000.00 ",,,,,
104,GRANDALE FARM RESTAURANT,41079,13997 Harpers Ferry Rd,Purcellville,VA,201321729,PLACE DOES NOT CONFORM TO GOVERNING BODY OF COUNTY,1,N,ALEXANDRIA,INITIAL HEARING,8/9/2007,9/24/2007,11/14/2007,,,,,,Y,
432,BREEZEWAY BAR & GRILL (MB),57887,721 E Main St,Purcellville,VA,201323178,ISSUED A DISHONORED CHECK; FAILED TO SUBMIT ANNUAL REVIEW REPORT,2,Y,ALEXANDRIA,INITIAL HEARING,6/13/2007,7/31/2007,9/4/2007,10," $ 1,250.00 ",,,,,
726,PINE GROVE RESTAURANT,44986,574 Pine Grove Rd,Bluemont,VA,20135,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,1/10/2008,,2/29/2008,25," $ 2,000.00 ",,,,,
1013,SORRENTO GRILL (MB) ,44165,"44640 Waxpool Rd, Ste 150",Ashburn,VA,20147,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/31/2008,,06/05/08,7, $ 500.00 ,,,,,
76,HOUSE OF EMPEROR,71429,44110 Ashburn Village Blvd  # 182,Ashburn,VA,201473973,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,1/31/2007,9/14/2007,10/24/2007,7, $ 500.00 ,,,,,
18,ASHBURN WINE SHOP,44938,44050 Ashburn Shopping Plz Ste # 159,Ashburn,VA,201477915,ALLOWED UNAUTHORIZED AB FOR SALE,1,Y,ALEXANDRIA,BOARD APPEAL HEARING,4/16/2007,12/11/2007,12/17/2007,,,,,Y,,REVOKED
1003,MEZZA GRILL,43766,"43150 Broadland Center Plz, Ste 174",Ashburn,VA,20148,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,06/04/08,25," $ 2,000.00 ",,,,,
544,DULLES EXPO CONFERENCE CTR (MB),26270,4368 Chantilly Shopping Ctr,Chantilly,VA,20151,QUALIFICATIONS,1,N,ALEXANDRIA,INITIAL HEARING,4/30/2007,11/28/2007,1/11/2008,,,,12,,,
872,"BUNGALOW BILLIARDS, CO.",75598,13891 Metrotech Dr,Chantilly,VA,20151,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/16/2007,10/22/2007,04/10/08,," $ 3,000.00 ",,,,,
84,KO HYANG HOUSE (MB),41116,4265 C Brookfield Corporate Dr,Chantilly,VA,201511696,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,2/28/2007,9/14/2007,10/30/2007,,,,6,,,
95,PLEASANT VALLEY GOLFERS CLUB,1522,4715 Pleasant Valley Rd,Chantilly,VA,201511801,KEPT UNAUTHORIZED AB ON PREMISES,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/3/2007,,9/10/2007,10," $ 1,000.00 ",,,,,
610,DELI O,46968,43083 John Mosby Hwy,Chantilly,VA,201524261,CONVICTED FELON,1,N,ALEXANDRIA,INITIAL HEARING,8/2/2007,12/14/2007,1/31/2008,7," $ 1,000.00 ",,12,,,
732,MASTERS BAR & GRILL,11934,7518 Linton Hall Rd,Gainesville,VA,20155,SOLD TO 4 INTOXICATED PERSONS; MADE GIFTS OF AB TO PERSONS,2,N,ALEXANDRIA,CIRCUIT COURT,4/20/2006,2/1/2608,3/3/2008,25," $ 3,000.00 ",,,,,
808,UNO CHICAGO GRILL,35689,7390 Atlas Walk Way,Gainesville,VA,20155,SOLD TO TWO UAB'S; ALLOWED CONSUMPTION OF AB TO TWO UAB'S,2,Y,ALEXANDRIA,OFFER IN COMPROMISE,9/13/2007,3/8/2008,03/26/08,25," $ 3,500.00 ",,,,,
136,STERLING PARK SHELL,35222,100 Commerce St,Sterling,VA,20164,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/12/2007,9/26/2007,," $ 4,500.00 ",3,,,,
1052,TOMMY'S PLACE II,43176,156 E Enterprise St,Sterling,VA,20164,ALLOWED CONSUMPTION OF AB BY AN INTOXICATED PERSON,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2008,,06/18/08,25," $ 2,000.00 ",,,,,
277,7 ELEVEN STORE 2583 16385,12639,21800 Towncenter Plz Ste 201,Sterling,VA,201641824,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/12/2007,,9/10/2007,25," $ 2,000.00 ",,,,,
556,NED DEVINES IRISH VILLAGE,38629,21800 Town Center Plz Ste 55,Sterling,VA,201641824,UNAUTHORIZED STORAGE OF AB; ALLOWED CONSUMPTION BY INTOXICATED PATRON; ILLEGAL HAPPY HOUR; SOLD AB TO INTOXICATED PATRON; ALLOWED ILLEGAL GAMBLING; ILLUMINATION; QUALIFICATIONS; ALLOWED DISORDERLY CONDUCT; ALLOWED STRIPTEASE ACTS,9,Y,ALEXANDRIA,INITIAL HEARING,4/26/2007,12/3/2007,1/15/2008,25," $ 7,000.00 ",,,,,
229,GIANT FOOD STORE NO. 762,7793,21800 Town Center Plz # 226,Sterling,VA,201641886,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
241,BOTTOM DOLLAR FOOD # 2915,9820,46081 Briarcroft Plz,Sterling,VA,201643238,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
452,TGI FRIDAYS,5819,45998 Waterview Dr,Sterling,VA,20165,SOLD TO AN INTOXICATED PERSON/ALLOWED CONSUMPTION BY AN INTOXICATED PERSON,2,N,ALEXANDRIA,OFFER IN COMPROMISE,3/30/2007,7/9/2007,7/19/2007,," $ 3,000.00 ",,,,,
141,BLOOM # 2712,9849,20789 Great Falls Plz,Sterling,VA,20165,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/18/2007,10/4/2007,," $ 5,000.00 ",3,,,,
87,FOX CHASE TAVERN,75453,20789 Great Falls Plz Ste 162,Sterling,VA,201652485,HAPPY HOUR CONTRARY TO REGS.,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/4/2007,,7/16/2007,7, $ 500.00 ,,,,,
230,HIGH'S DIARY STORE 2583 28543,44302,113C Edds Ln,Sterling,VA,201655684,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
137,SUNOCO A PLUS # 7681,36117,1 Pidgeon Hill Rd,Sterling,VA,201656102,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,9/17/2007,10/2/2007,," $ 4,500.00 ",3,,,,
80,HULA INN RESTAURANT (MB),50720,46000 Old Ox Rd,Sterling,VA,20166,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,11/30/2006,7/5/2007,8/15/2007,10, $ 750.00 ,,,,,
764,7 ELEVEN STORE 2583 32701,21795,46141 Woodshire Dr,Sterling,VA,20166,SOLD TO UAB,1,Y,ALEXANDRIA,BOARD APPEAL HEARING,4/19/2007,12/28/2007,03/20/08,," $ 4,000.00 ",3,,,,
1069,TEQUILERIA,41258,1 Saarinen Cir IAD Con B Rm BM 620,Dulles,VA,20166,ADVERTISED ABOUT HAPPY HOUR CONTRARY TO RULE; FAILED TO USE PROPER TRADE NAME; MISREPRESENTED MATERIAL FACT.,3,N,ALEXANDRIA,OFFER IN COMPROMISE,10/25/2007,6/18/2008,06/26/08,," $ 1,500.00 ",,,,,
671,ALL NIPPON FUJI LOUNGE,43070,1 Saarinen Cir IAD,Dulles,VA,201667506,FAILED TO HAVE A DESIGNATED MGR. PRESENT; SOLD AB IN AN UNAUTHORIZED PLACE ,2,N,ALEXANDRIA,OFFER IN COMPROMISE,10/25/2007,1/14/2008,2/13/2008,," $ 1,500.00 ",,,,,
235,EXXON # 20338,35690,44910 Rudder Rd,Dulles,VA,201667700,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/19/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
180,DULLES SHELL,54621,900 Sully Rd,Sterling,VA,201669405,SOLD TO UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,10/3/2007,10/16/2007,25," $ 1,500.00 ",,,,,
62,MAISON CULINAIRE,39421,504 Shaw Rd Ste 218,Sterling,VA,201669436,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/30/2007,,9/17/2007,7, $ 500.00 ,,,,,
61,BULL RUN GOLF CLUB (MB),40557,3520 James Madison Hwy,Haymarket,VA,201691932,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/31/2007,,9/4/2007,7, $ 500.00 ,,,,,
338,BUFFALO WINGS HOUSE,17048,13005 Worldgate Dr,Herndon,VA,20170,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/9/2007,25," $ 2,000.00 ",,,,,
369,ROYAL BUFFETT,17094,492 Elden St Store # 2,Herndon,VA,20170,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
373,FUDDRUCKERS,52329,1030 Elden St,Herndon,VA,201703801,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
336,LUCIANO ITALIAN REST & PIZZERIA,44149,1054 Elden St,Herndon,VA,201703803,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
337,WASHINGTON DULLES MARRIOTT SUITES,6692,13101 Worldgate Dr,Herndon,VA,201704381,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/9/2007,25," $ 2,000.00 ",,,,,
335,EL MERCADITO HISPANO,28291,495 B Elden St,Herndon,VA,201704512,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
351,SAFEWAY FOOD & DRUG STORE #1689,35870,413 Elden St,Herndon,VA,201704512,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/26/2007,25," $ 2,000.00 ",,,,,
645,CAFÉ ANTONIOS,45934,454 Elden St,Herndon,VA,201704513,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
393,HARVEST OF INDIA,70384,364 Elden St,Herndon,VA,201704818,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
511,AMPHORAS DINER DELUXE,75643,1151 Elden St,Herndon,VA,201705502,SOLD TO UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,9/18/2007,12/7/2007,1/2/2008,," $ 1,500.00 ",,,,,
770,CVS PHARMACY #2006,71880,2525 Centreville Rd,Herndon,VA,20171,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/28/2007,,3/20/2008,25," $ 2,000.00 ",,,,,
763,THE LEESBURG COLONIAL INN,38000,19 & 19 1/2 & 21 S King St,Leesburg,VA,20175,FAILED TO KEEP ACCURATE RECORDS; LICENSEE STORED AB IN AN UNAUTHORIZED PLACE; KEPT UNAUTHORIZED AB FOR SALE; REMOVAL OF MB FROM LICENSED PREMISES,4,N,ALEXANDRIA,INITIAL HEARING,5/16/2007,2/8/2008,03/19/08,10," $ 2,000.00 ",,,,,
765,THE GREEN TREE,15,15 S King St,Leesburg,VA,20175,FAILED TO KEEP ACCURATE RECORDS; LICENSEE STORED AB IN AN UNAUTHORIZED PLACE; KEPT UNAUTHORIZED AB FOR SALE; REMOVAL OF MB FROM LICENSED PREMISES,4,N,ALEXANDRIA,INITIAL HEARING,5/16/2007,2/8/2008,3/19/2008,10," $ 2,000.00 ",,,,,
1011,RITE AID PHARMACY # 3707,50610,448 S King St,Leesburg,VA,20175,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/6/2007,4/22/2008,06/06/08,25," $ 2,000.00 ",,,,,
357,BLOOM # 2717,11682,240 Fort Evans,Leesburg,VA,20176,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
376,CVS PHARMACY #1415,11951,616 E Market St,Leesburg,VA,20176,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
656,VINTAGE 50,44716,50 Catoctin Cir NE Ste 100,Leesburg,VA,20176,ADVERTISED CONTRARY TO RULES & REGS.,1,N,ALEXANDRIA,INITIAL HEARING,8/1/2007,12/28/2007,2/1/2008,7, $ 500.00 ,,,,,
795,BUNKER SPORTS CAFÉ,44450,510 E Market St,Leesburg,VA,20176,ADVERTISED HAPPY HOUR CONTRARY TO THE RULES & REGS OF THE BOARD,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/9/2008,,03/20/08,7, $ 500.00 ,,,,,
361,SHOPPERS FOOD WAREHOUSE 40,4465,1079 Edwards Ferry Rd NE,Leesburg,VA,201763347,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
13,WEST END MOTORS,13889,12842 Berlin Pike,Lovettsville,VA,20180,ALLOWED CONSUMPTION OF AB ON PREMISES ON AN OFF PREMISES LICENSE,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/4/2007,,7/9/2007,7, $ 500.00 ,,,,,
209,RUBY TUESDAY,24821,74 Blackwell Parc Ln,Warrenton,VA,20186,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/14/2007,,7/26/2007,25," $ 2,000.00 ",,,,,
30,MARTERELLA WINERY,33529,8278 Falcon Glen Rd,Warrenton,VA,20186,FAILED TO COMPLY WITH A CONDITION OR RESTRICTION OF THE LICENSE,1,N,STAUNTON,INITIAL HEARING,11/30/2006,10/1/2007,11/29/2007,10," $ 1,000.00 ",,,,,
856,SHELL,6457,81 Broadview Ave,Warrenton,VA,20186,SOLD TO UAB,1,Y,STAUNTON,INITIAL HEARING,10/25/2007,2/6/2008,04/08/08,30," $ 4,000.00 ",10,,,,
590,WARRENTON EXXON,74192,309 W Lee Hwy,Warrenton,VA,201862077,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/25/2007,,1/4/2008,25," $ 2,000.00 ",,,,,
24,EL AGAVE AUTHENTIC MEXICAN REST.,12519,251 W Lee Hwy Ste 640,Warrenton,VA,201862078,CONDUCTED HAPPY HOUR CONTRARY TO RULES/QUALIFICATIONS,1,N,STAUNTON,INITIAL HEARING,2/2/2007,5/25/2007,7/11/2007,,,,12,,,
421,EL AGAVE AUTHENTIC MEXICAN REST,12519,251 W Lee Hwy Ste 640,Warrenton,VA,201862078,CONVICTED FELON; CONVICTED OF A VIOLATION,2,N,STAUNTON,INITIAL HEARING,2/13/2007,10/11/2007,12/11/2007,10," $ 1,000.00 ",,,,,
385,SEARS GRAND,44645,141 W Lee Hwy,Warrenton,VA,201862107,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/18/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
552,NAPOLEON'S RESTAURANT,43122,67 Waterloo St,Warrenton,VA,201862806,SOLD TO UAB,1,N,STAUNTON,INITIAL HEARING,6/15/2007,11/27/2007,1/11/2008,,,,,,Y,
