,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,
137,Orange County,"25,881",0,1,0,1,1,0,3,1.93,46
139,Page County,"23,177",1,1,0,0,1,0,3,2.16,39
141,Patrick County,"19,407",0,0,0,0,1,0,1,0.86,81
143,Pittsylvania County,"61,745",1,2,1,1,2,1,8,2.16,38
145,Powhatan County,"22,377",0,0,1,0,0,1,2,1.49,61
147,Prince Edward County,"19,720",1,0,0,0,3,0,4,3.38,18
149,Prince George County,"33,047",1,0,0,0,0,1,2,1.01,76
153,Prince William County,"280,813",1,2,0,1,1,0,5,0.30,104
155,Pulaski County,"35,127",0,2,1,1,3,1,8,3.80,14
157,Rappahannock County,"6,983",0,0,0,0,0,0,0,,
159,Richmond County,"8,809",0,0,0,0,0,0,0,,
161,Roanoke County,"85,778",0,0,0,1,2,0,3,0.58,90
163,Rockbridge County,"20,808",3,0,0,0,0,0,3,2.40,34
165,Rockingham County,"67,725",1,1,3,0,5,0,10,2.46,32
167,Russell County,"30,308",0,0,0,1,0,0,1,0.55,94
169,Scott County,"23,403",1,0,2,1,1,0,5,3.56,17
171,Shenandoah County,"35,075",1,1,0,0,1,1,4,1.90,47
173,Smyth County,"33,081",0,0,0,0,0,1,1,0.50,97
175,Southampton County,"17,482",0,0,2,1,0,1,4,3.81,13
177,Spotsylvania County,"90,395",1,2,0,0,0,0,3,0.55,93
179,Stafford County,"92,446",1,0,0,1,0,0,2,0.36,103
181,Surry County,"6,829",0,0,1,0,0,0,1,2.44,33
183,Sussex County,"12,504",0,1,0,0,0,1,2,2.67,26
185,Tazewell County,"44,598",0,1,0,4,2,3,10,3.74,15
187,Warren County,"31,584",0,0,0,1,2,1,4,2.11,40
191,Washington County,"51,103",0,0,2,0,3,0,5,1.63,56
193,Westmoreland County,"16,718",0,0,0,0,0,1,1,1.00,77
195,Wise County,"40,123",2,2,0,0,0,0,4,1.66,53
197,Wythe County,"27,599",0,0,0,0,1,0,1,0.60,88
199,York County,"56,297",0,0,0,0,0,0,0,,
510,Alexandria,"128,283",1,0,0,0,1,1,3,0.39,101
515,Bedford,"6,299",0,0,0,0,0,0,0,,
520,Bristol,"17,367",0,0,0,0,0,0,0,,
530,Buena Vista,"6,349",0,0,0,0,0,1,1,2.63,27
540,Charlottesville,"45,049",2,1,0,0,0,0,3,1.11,72
550,Chesapeake,"199,184",0,0,0,0,1,1,2,0.17,105
570,Colonial Heights,"16,897",0,1,0,0,0,0,1,0.99,78
580,Covington,"6,303",0,0,0,0,0,0,0,,
590,Danville,"48,411",2,0,0,1,1,0,4,1.38,69
595,Emporia,"5,665",0,0,0,0,0,0,0,,
600,Fairfax,"21,498",0,0,0,0,0,0,0,,
610,Falls Church,"10,377",0,0,0,0,0,0,0,,
620,Franklin,"8,346",0,0,0,0,0,0,0,,
630,Fredericksburg,"19,279",1,0,1,0,0,0,2,1.73,51
640,Galax,"6,837",0,0,0,0,0,0,0,,
650,Hampton,"146,437",1,1,0,1,2,0,5,0.57,91
660,Harrisonburg,"40,468",0,0,0,0,0,1,1,0.41,100
670,Hopewell,"22,354",1,0,0,0,1,0,2,1.49,60
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,,2,,,,,,4/13/2007
,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,Virginia Department of Fire Programs,,
"Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005","Fire Deaths By Locality, Virginia, 2000 - 2005",,,,,,
,,,,,,,,,,Average,
,,,,,,,,,,Annual,
FIPS,Location,Population,2000,2001,2002,2003,2004,2005,Total,"Rate/100,000",Rank
678,Lexington,"6,867",0,0,0,0,0,0,0,,
680,Lynchburg,"65,269",3,2,1,1,1,0,8,2.04,42
683,Manassas,"35,135",0,0,2,0,0,0,2,0.95,79
685,Manassas Park,"10,290",0,0,0,0,0,0,0,,
690,Martinsville,"15,416",1,1,0,0,0,0,2,2.16,37
700,Newport News,"180,150",5,2,0,4,6,2,19,1.76,49
710,Norfolk,"234,403",3,3,1,1,4,9,21,1.49,58
720,Norton,"3,904",0,1,0,1,0,0,2,8.54,3
730,Petersburg,"33,740",0,2,1,0,1,2,6,2.96,21
735,Poquoson,"11,566",0,0,0,0,1,0,1,1.44,64
740,Portsmouth,"100,565",2,0,2,1,4,0,9,1.49,59
750,Radford,"15,859",0,0,0,1,0,1,2,2.10,41
760,Richmond,"197,790",6,12,6,6,3,1,34,2.86,22
770,Roanoke,"94,911",3,1,1,1,1,3,10,1.76,50
775,Salem,"24,747",0,0,0,0,1,0,1,0.67,86
790,Staunton,"23,853",0,0,0,1,1,0,2,1.40,67
800,Suffolk,"63,677",0,0,2,0,1,1,4,1.05,75
810,Virginia Beach,"425,257",2,4,0,5,4,0,15,0.59,89
820,Waynesboro,"19,520",0,2,0,0,0,1,3,2.56,30
830,Williamsburg,"11,998",1,0,0,0,0,0,1,1.39,68
840,Winchester,"23,585",0,0,0,1,0,1,2,1.41,66
Total,,,86,76,67,75,107,72,483,,
,Out of State / Unknown,,8,1,0,5,3,1,18,,
,VIRGINIA,"7,078,515",1.21,1.07,0.95,1.06,1.51,1.02,1.14,,
"NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics.","NOTE: Fire Deaths data for Virginia for 2000 to 2005 is compiled from information provided by the Virginia Department of Health, Office of Vital Records, Division of Health Statistics."
Numbers are shown for fire deaths based on the specific location of the injury.,Numbers are shown for fire deaths based on the specific location of the injury.,Numbers are shown for fire deaths based on the specific location of the injury.,Numbers are shown for fire deaths based on the specific location of the injury.,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city,The 2000 U.S. Census Population numbers were used to calculate the fire death rate for each county/city
in Virginia.,"The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","The numbers shown above for 'Out of State / Unknown' are fire deaths that occurred in Virginia, but the location of the injury was either another state or unknown.","In addition,"
the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,the 'Out of State / Unknown' numbers were not included with the Annual Virginia Fire Death Rate calculations.,The Fire Death Ranking is from 1 to 107 with 1 representing the highest,The Fire Death Ranking is from 1 to 107 with 1 representing the highest,The Fire Death Ranking is from 1 to 107 with 1 representing the highest,The Fire Death Ranking is from 1 to 107 with 1 representing the highest,The Fire Death Ranking is from 1 to 107 with 1 representing the highest
number of deaths per population.,number of deaths per population.,,,,,,,,,,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,3,,,,,,4/13/2007
