RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,
665,RACE WAY 6788,38870,7402 SUDLEY ROAD,MANASSAS,VA,20109,QUALIFICATIONS,1,N,ALEXANDRIA,APPEAL HEARING,3/31/2011,Y,4/27/2011,6/24/2011,7/21/2011,6/26/2012,,,,,Y,,WINE PORTION OF LICENSE REVOKED; BEER OFF PREMISES LICENSE ISSUED - CC APPEAL WITHDRAWN SETTLEMENT ACCEPTED.,,
246,MACKEYS AMERICAN PUB,47890,9412 MAIN ST,MANASSAS,VA,20110,"FAILED TO REPORT CHANGES IN OFFICERS, DIRECTORS, OR SHAREHOLDERS; CAUSE EXISTS FOR WHICH THE BOARD WOULD BE ENTITLED TO REFUSE TO ISSUE A LICENSE",2,N,ALEXANDRIA,INITIAL HEARING,1/2/2011,N,8/4/2011,9/15/2011,10/17/2011,11/29/2011,7, $ 500.00 ,,,,,,,
287,MIKES QUICK MART,71029,9642 GRANT AVE,MANASSAS,VA,20110,CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,1/21/2011,Y,2/9/2011,9/16/2011,11/7/2011,12/9/2011,10," $ 1,000.00 ",,,,,,,
27,TOMMYS PLACE,75050,8910 MATHIS AVENUE,MANASSAS,VA,20110,LICENSEE ISSUED A CHECK WHICH WAS DISHONORED UPON PRESENTATION TO THE BANK,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/4/2011,N,6/23/2011,,,7/19/2011,, $ 250.00 ,,,,,,,
47,7 ELEVEN STORE 2581-2/8505 B,52547,8498 EUCLID AVENUE,MANASSAS PARK,VA,20111,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/23/2011,N,6/28/2011,,,7/28/2011,," $ 2,000.00 ",,,,,,,
59,FELICITA RESTAURANT & NIGHTCLUB,54640,8279 SHOPPERS SQUARE,MANASSAS,VA,20111,"QUALIFICATIONS, FAILED TO OBLITERATE MIXED BEVERAGE STAMPS, SO ILLUMINATED THAT SPECIAL AGENTS/OTHER LAW ENFORCEMNT OFFICERS PREVENTED REASONABLE OBSERVATION; FAILED TO KEEP OLIVIA LEMUS NAME POSTED DURING THE TIME SHE WAS IN CHARGE & DOES NOT CONFORM TO REQUIREMENTS OF GOVERNING BODY OF PRINCE WILLIAM CO.",5,Y,ALEXANDRIA,APPEAL HEARING,11/20/2010,Y,12/22/2010,3/24/2011,4/25/2011,7/28/2011,10," $ 4,000.00 ",,,,,,,
157,LAS TRES CHICAS,66791,8059 CENTREVILLE RD,MANASSAS,VA,20111,"PLACE OCCUPIED BY THE LICENSEE DOES NOT CONFORM TO THE REQUIREMENTS OF GOVERNING BODY OF PRINCE WILLIAM COUNTY WITH RESPECTO TO SANITATION, HEALTH, CONSTRUCTION; LICENSEE FAILED OR REFUSED TO COMPLY WITH A CONDITION OF THE LICENSE IN THAT THE LICENSEE LEFT A PERSON IN CHARGE OF THE BUSINESS WHO IS UNABLE TO SPEAK, UNDERSTAND, READ AND WRITE THE ENGLISH LANGUAGE",2,N,ALEXANDRIA,INITIAL HEARING,6/17/2011,N,6/20/2011,8/16/2011,9/9/2011,10/13/2011,7, $ 750.00 ,,,,,CHG 2 REDUCED TO WRITTEN WARING,,
371,FELICITA RESTAURANT & NIGHTCLUB,54640,8279 SHOPPERS SQUARE,MANASSAS,VA,20111,"QUALIFICATIONS, FAILED TO OBLITERATE MIXED BEVERAGE STAMPS, SO ILLUMINATED THAT SPECIAL AGENTS/OTHER LAW ENFORCEMNT OFFICERS PREVENTED REASONABLE OBSERVATION; FAILED TO KEEP OLIVIA LEMUS NAME POSTED DURING THE TIME SHE WAS IN CHARGE & DOES NOT CONFORM TO ",5,Y,ALEXANDRIA,APPEAL HEARING,11/22/2010,Y,12/22/2010,3/24/2011,4/25/2011,1/9/2012,10,"$4,000 ",,,,,,,
365,MARSHALL IGA,32601,8382 E MAIN STREET,MARSHALL,VA,20115,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,11/22/2011,N,12/6/2011,,,1/3/2012,," $ 2,000.00 ",,,,,,,
65,BONCHON CHICKEN,67364,14215N CENTREVILLE SQUARE,CENTREVILLE,VA,20121,KEPT AT THE PLACE DESCRIBED IN LICENSE ALCOHOLIC BEVERAGES WHICH THE LICENSEE WAS NOT AUTHORIZED TO SELL AND KEEP,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/82/11,N,7/11/2011,,,8/1/2011,, $ 500.00 ,,,,,,,
85,ALTO PLAZA,49494,5800 OLD CENTREVILLE ROAD,CENTREVILLE,VA,20121,"UAB, FAILED TO SUBMIT COMPLETE & ACCURATE ANNUAL REVIEW REPORT, KEEP UNAUTHORIZED ALCOHOLIC BEVERAGES ",3,N,ALEXANDRIA,APPEAL HEARING,8/24/2009,Y,10/1/2009,4/26/2010,6/30/2010,8/10/2011,," $ 2,500.00 ",,,,Y,ALL CHGS. DISMISSED  - SETTLEMENT OFFER,,
146,WASABI,68747,5932 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,LICENSEE ISSUED A CHECK WHICH WAS DISHONORED UPON PRESENTATION TO THE BANK,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/13/2011,N,9/8/2011,,,10/11/2011,, $ 250.00 ,,,,,,,
227,WESTONS RESTAURANT,68790,7145 MAIN STREET,CLIFTON,VA,20124,"APPLICANT MISREPRESENTED MATERIAL FACT IN APPLYING TO BD. FOR LICENSE, APPLICANT, NORMAN BRAY WILSON HAS DEMONSTRATED A LACK OF RESPECT FOR LAW AND ORDER",2,N,ALEXANDRIA,APPEAL HEARING,4/22/2011,N,8/17/2011,9/16/2011,10/27/2011,11/17/2011,,,,,,,LICENSES REFUSED,,
611,AMERICAN LEGION POST NO 293,1209,112 N 21ST ST,PURCELLVILLE,VA,20132,LICENSEE PERMITTED A NON-MEMBER TO PATRONIZE THE ESTABLISHMENT; SOLD ALCOHOLIC BEVERAGE IN AN UNAUTHORIZED MANNER; ALLOWED A FORM OF ILLEGAL GAMBLING ON LICENSED PREMISES,3,N,ALEXANDRIA,INITIAL HEARING,5/6/2011,Y,12/12/2011,2/28/2012,4/25/2012,6/4/2012,10," $ 2,000.00 ",,,,,,,
620,BREAUX VINEYARDS,77451,3688 BREAUX VINEYARDS LANE,PURCEVILLE,VA,20132,UAB,1,N,ALEXANDRIA,APPEAL HEARING,10/28/2011,Y,11/30/2011,2/15/2012,3/26/2012,6/7/2012,,,,,,,FINAL DISPOSITION DEFERRED FOR 12 MOS.,,
515,PAISANO'S,69482,"44260 ICE RINK PLZ, STE 109",ASHBURN,VA,20147,APPLICANT HAS BEEN CONVICTED OF A FELONY OR ANY CRIME OR OFFENSE INVOLVING MORAL TURPITUDE,1,N,ALEXANDRIA,INITIAL HEARING,1/4/2012,N,1/11/2012,2/15/2012,3/20/2012,3/28/2012,,,,,,,APPLICATION - GRANTED,,
21,ANOTHAI RESTAURANT,45841,"43170 SOUTHERN WALK PLAZA, SUITE 106",ASHBURN,VA,20148,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/6/2011,N,6/17/2011,,,7/19/2011,," $ 2,000.00 ",,,,,,,
75,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBELTON,VA,20148,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING JANUARY 31, 2011",1,N,ALEXANDRIA,INITIAL HEARING,1/31/2011,N,4/26/2011,6/22/2011,6/30/2011,8/3/2011,,,,,Y,,,,
165,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBELTON,VA,20148,FAILED TO TIMELY SUBMIT THE ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,APPEAL HEARING,1/31/2011,N,4/26/2011,6/22/2011,6/30/2011,10/24/2011,,$500.00 ,,12,,,,,
178,ASIA NINE,68154,42010 STONE RIDGE VILLAGE CENTER,ALDIE,VA,20150,LICENSEE PERMITTED A PERSON TO BE IN CHARGE OF THE BUSINESS AND FAILED TO KEEP NAME POSTED; KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES LICENSEE NOT AUTHORIZED TO SELL; KEPT ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL & KEEP; FAILED TO OBLITERATE MIXED BEVERAGE STAMPS WHEN CONTAINERS EMPTIED,4,N,ALEXANDRIA,INITIAL HEARING,6/22/2011,N,7/8/2011,8/19/2011,9/21/2011,10/26/2011,7," $ 1,000.00 ",,,,Y,CHG 2 DISMISSED,,
79,HERITAGE HUNT GOLF & COUNTRY CLUB,8878,6901 ARTHUR HILLS DR,GAINESVILLE,VA,20155,"LICENSEE FAILED TO TIMELY SUBMIT THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING JANUARY 31, 2011",1,N,ALEXANDRIA,INITIAL HEARING,1/31/2011,N,4/29/2011,6/23/2011,6/30/2011,8/3/2011,7, $ 500.00 ,,,,,,,
88,ROBERT TRENT JONES GOLF CLUB,53950,1 TURTLE POINT DRIVE,GAINESVILLE,VA,20155,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING APRIL 30, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/30/2011,N,7/21/2011,,,8/16/2011,,$500.00 ,,,,,,,
126,THE BUNGALOW ALE HOUSE,62774,7380 ATLAS WALK WAY,GAINESVILLE,VA,20155,"LICENSEE ALLOWED OBSCENE LITERATURE, PICTURES OR MATERIALS UPON THE LICENSED PREMISES",1,N,ALEXANDRIA,INITIAL HEARING,5/27/2011,N,6/14/2011,7/19/2011,8/16/2011,9/28/2011,,,,,,Y,,,
524,NORA,61796,14674 LEE HWY,GAINESVILLE,VA,20155,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,8/31/2011,N,12/12/2011,1/18/2012,3/1/2012,4/3/2012,7, $ 500.00 ,,,,,,,
84,SALONES AFRICAN CUISINES,66970,"22330 S. STERLING BLVD., SUITE A113",STERLING,VA,20164,"LICENSEE PURCHASED WINE OR BEER FOR RESALE FROM A PERSON OTHER THAN A MANUFACUTRER, BOTTLER OR WHOLESALER",1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/21/2011,N,4/28/2011,,,8/9/2011,, $ 500.00 ,,,,,,,
285,FIRST BREAK,63895,46970 COMMUNITY PLZ STE 200,STERLING,VA,20164,"FAIL TO SUBMIT COMPLETE AND ACCURATE ANNUAL REVIE REPORT FOR YEAR ENDING APRIL 30, 2011; GROSS RECEIPTS FROM SALE OF FOOD AND NONALCHOLIC BEVERAGES < 45% OF GROSS RECEIPTS FROM SALE OF MIXED BEVERAGES AND FOOD; ESTABLISHMENT CEASES TO QUALIFY A ""RESTAURANT""; FAILT TO TIMELY SUBMIT ANNUAL REVIEW REPORT",4,Y,ALEXANDRIA,INITIAL HEARING,4/30/2011,N,9/13/2011,10/6/2011,11/8/2011,12/9/2011,7," $ 1,000.00 ",,,,Y,CHG 2 & 3 DISMISSED,,
243,EL ESTRIBO,37290,56 PIDGEON HILL DR,STERLING,VA,20165,"FAILED TO TIMELY SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR YEAR ENDING MAY 31, 2010",1,Y,ALEXANDRIA,INITIAL HEARING,5/31/2011,N,9/13/2011,10/6/2011,10/21/2011,11/22/2011,7, $ 500.00 ,,,,,,,
306,CHERRY BLOSSOM RESTAURANT,56971,46110 LAKE CENTER PLAZA,STERLING,VA,20165,"FAIL TO TIMELY SUBMIT THE ANNUAL REVEW REPORT FOR YEAR ENDING JULY 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2011,N,11/14/2011,,,12/15/2011,," $ 2,000.00 ",,,,,,,
504,HOLIDAY INN DULLES (CATERER),43729,1000 SULLY ROAD,STERLING,VA,20166,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING NOVEMBER 30, 2011",1,N,ALEXANDRIA, CONSENT SETTLEMENT,11/30/2011,N,2/28/2012,,,3/21/2012,, $ 500.00 ,,,,,,,
507,HOLIDAY INN DULLES (RESTAURANT),43333,1000 SULLY ROAD,STERLING,VA,20166,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING NOVEMBER 30, 2011",1,N,ALEXANDRIA, CONSENT SETTLEMENT,11/30/2011,N,2/28/2014,,,3/21/2012,, $ 500.00 ,,,,,,,
13,CAFÉ ANTONIOS,45934,454 ELDEN ST,HERNDON,VA,20170,"FAILED TO TIMELY SUBMIT TO BOARD THE ANNUAL REVIEW REPORT OF YEAR ENDING DEC 31, 2010",1,Y,ALEXANDRIA,INITIAL HEARING,12/31/2010,N,3/28/2011,5/9/2011,6/7/2011,7/13/2011,,,,,Y,,REVOKED,,
375,7 ELEVEN STORE 2581-10657A,67997,1111 ELDEN ST,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/7/2011,N,12/21/2011,,,1/9/2012,," $ 2,000.00 ",,,,,,,
412,TURCUISINE,34659,13029 WORLDGATE DRIVE,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/7/2011,N,12/27/2011,,,1/20/2012,," $ 2,000.00 ",,,,,,,
413,CARPOOL,13043,"208 ELDEN STREET, SUITE 100",HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/7/2011,N,12/21/2011,,,1/20/2012,," $ 2,000.00 ",,,,,,,
462,THREE THAI SUSHI RESTAURANT,48899,410 ELDEN STREET,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,12/7/2011,N,12/21/2011,,,2/15/2012,25,,,,,,,,
562,ICE HOUSE CAFÉ,55045,760 ELDEN ST,HERNDON,VA,20170,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,10/31/2011,N,1/19/2012,2/17/2012,3/29/2012,5/1/2012,,,,,,,NO PENALTY IMPOSED,,
122,;PIEROS CORNER RISTORANTE ITALIANO,65298,13340 FRANKIN FARM ROAD,HERNDON,VA,20171,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING MAY 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/31/2011,N,9/6/2011,,,9/28/2011,, $ 500.00 ,,,,,,,
533,CHICS N WINGS,63717,"2545 CENTREVILLE RD, SUITE Q14",HERNDON,VA,20171,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING DECEMBER 31, 2011",1,Y,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2011,N,3/20/2012,,,4/10/2012,, $ 500.00 ,,,,,,,
383,LOS TIOS GRILL,65350,"201A HARRRISON ST, NE",LEESBURG,VA,20175,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING AUGUST 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/19/2011,N,12/9/2011,,,1/9/2012,, $ 500.00 ,,,,,,,
385,FIREWORKS,44328,201B HARRISON STREET SE,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/1/2011,N,12/6/2011,,,1/9/2012,," $ 2,000.00 ",,,,,,,
618,KING PINZ,64075,"1602 VILLAGE MKT. BLVD SE, STE 100",LEESBURG,VA,20175,ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES BY TWO INTOXICATED PERSONS; SOLD ALCOHOLIC BEVERAGES TO TWO INTOXICATED PERSONS ,2,N,ALEXANDRIA,APPEAL HEARING,11/9/2011,N,12/2/2011,1/18/2012,3/8/2012,6/7/2012,," $ 3,000.00 ",,,,,RSVP TRAINING WITHIN 12 MOS. OF BD. ORDER,,
50,TGIFRIDAYS,6194,"235 FORT EVANS RD, NE",LEESBURG,VA,20176,FAIL TO SUBMIT COMPLETE AND ACCURATE ANNUAL REVIEW,1,N,ALEXANDRIA,INITIAL HEARING,12/1/2010,N,4/28/2011,6/16/2011,6/24/2011,7/27/2011,7, $ 500.00 ,,,,,,,
177,BUNKER SPORTS CAFÉ,44450,510 E MARKET ST,LEESBURG,VA,20176,LICENSEE ALLOWED THE CONSUMPTION OF ALCHOLIC BEVERAGES UPON THE LICENSED PREMISES BY A PERSON LESS THAN 21 YEARS OF AGE X2,2,N,ALEXANDRIA,INITIAL HEARING,5/6/2011,N,5/23/2011,8/18/2011,9/21/2011,10/26/2011,25," $ 2,000.00 ",,,,,,,
181,BUFFALO WI8LD WINGS GRILL & BAR,66231,524 FORT EVANS ROAD,LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/15/2011,N,6/28/2011,,,10/27/2011,," $ 2,000.00 ",,,,,,,
379,7 ELEVEN STORE 2581-34371,64889,700 FIELDSTONE DRIVE NE,LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/1/2011,N,11/29/2011,,,1/9/2012,," $ 2,000.00 ",,,,,,,
419,LOST CREEK VINEYARD & WINERY,13985,43277 SPINKS FERRY ROAD,LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/28/2011,N,11/14/2011,,,1/23/2012,," $ 2,000.00 ",,,,,,,
426,THE TOWN DUCK OF WARRENTON,51876,100 MAIN STREET,WARRENTON,VA,20186,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,11/22/2011,N,12/6/2011,,,1/24/2012,," $ 1,000.00 ",,,,,,,
511,BLACK BEAR BISTRO & SWEENEYS CELLAR RESTAURANT,61317,"32 MAIN STREET, SUITE 34",WARRENTON,VA,20186,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING JUNE 30, 2011",1,N,STAUNTON,CONSENT SETTLEMENT,6/30/2011,N,1/31/2012,,,3/27/2012,, $ 500.00 ,,,,,,,
342,C J SPITONYS,30905,5063 LEE HIGHWAY,WARRENTON,VA,20187,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,11/22/2011,N,12/6/2011,,,1/3/2012,25,,,,,,,,
643,FOLANO'S MARKET,51018,6483 MAIN ST,THE PLAINS,VA,20198,"NICHOLAS J. FORLANO WAS CONVICTED  OF A VIOLATION OF LAW APPLICABLE TO MANUFACTURE, TRANSPORTATION, POSSESSION, USE OR SALE OF ALCHOLIC BEVERAGES",1,N,STAUNTON,INITIAL HEARING,10/25/2011,Y,10/26/2011,3/20/2012,5/14/2012,6/19/2012,7, $ 500.00 ,,,,,,,
107,CHAMPION MUSIC STUDIO,34540,7110 COLUMBIA PIKE,ANNANDALE,VA,22003,LICENSEE PERMITTED THE CONSUMPTION OF ALCOHOLIC BEVERAGES UPON THE LICENSED PREMISES; CHARACTERISTICS OF THE FOOD BUSINESS CONDUCTED UPON THE LICENSED PREMISES ARE SUCH THAT THE ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT,2,Y,ALEXANDRIA,INITIAL HEARING,2/12/2011,Y,4/1/2011,7/19/2011,8/8/2011,9/13/2011,20," $ 2,000.00 ",,,,Y,CHG 2 DISMISSED,,
358,CHOONG HWA WOON,6556,4409 JOHN MARR DRIVE,ANNANDALE,VA,22003,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING AUGUST 31, 2011",1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/31/2011,N,12/2/2011,,,1/3/2012,, $ 500.00 ,,,,,,,
619,SILVERADO,74272,7052 COLUMBIA PIKE,ANNANDALE,VA,22003,UAB,1,N,ALEXANDRIA,APPEAL HEARING,8/25/2011,N,12/22/2011,1/20/2012,3/1/2012,6/7/2012,,"$1,500.00 ",,,,,RSVP TRAINING WITHIN 12 MOS. OF BD. ORDER,,
139,PANISA THAI DINING,30128,5747 BURKE CENTRE PARKWAY,BURKE,VA,22015,"LICENSEE FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING APRIL 30, 2011.",1,Y,ALEXANDRIA,CONSENT SETTLEMENT,4/30/2011,N,9/8/2011,,,9/30/2011,, $ 500.00 ,,,,,,,
378,VA702 SHELL,75268,3186 RIVER HERITAGE BOULEVARD,DUMFRIES,VA,22026,LICENSEE ALLOWED WATU MAYUMA TO BE IN CHARGE OF BUSINESS AND FAILED TO KEEP HIS NAME POSTED DURING THE TIME HE WAS IN CHARGE.,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/30/2011,N,12/9/2011,,,1/9/2012,, $ 500.00 ,,,,,,,
143,DOLCE VITA,72017,10824 FAIRFAX BOULEVARD,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/25/2011,N,9/15/2011,,,10/11/2011,," $ 2,000.00 ",,,,,,,
163,SEOUL HOUSE RESTAURANT,52320,11272 JAMES SWART CIRCLE,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/19/2011,N,9/28/2011,,,10/19/2011,25,,,,,,,,
463,CRAVE,63997,11900 PALACE WAY,FAIRFAX,VA,22030,CEASES TO QUALIFY AS A RESTAURANT ,1,N,ALEXANDRIA,INITIAL HEARING,4/30/2011,Y,7/15/2011,12/12/2011,1/11/2012,2/15/2012,,,,,,Y,,,
468,"OVATIONS FOOD SERVICES, LP",12448,4400 UNIVERSITY DRIVE,FAIRFAX,VA,22030,"LICENSEE ILLEGALLY POSSESSED, DISTRIBUTED, SOLD OR USED, OR KNOWINGLY ALLOWED AN EMPLOYEE, AGENT, OR OTHER PERSON TO ILLEGALLY POSSESS, DISTRIBUTE, SELL OR USE MARIJUANA OR OTHER CONTROLLED SUBSTANCES, IMITATION CONTROLLED SUBSTANCES, DRUG PARAPHERNALIA OR CONTROLLED PARAPHENALIA UPON THE LICENSED PREMISES",1,N,ALEXANDRIA,OFFER IN COMPROMISE,3/17/2011,Y,5/9/2011,10/24/2011,11/30/2011,2/23/2011,15," $ 2,500.00 ",,,,,,,
549,PRIME TIME SPORTS GRILL,75948,11250 JAMES SWART CIR,FAIRFAX,VA,22030,THE LICENSEE ADVERTISED ABOUT OR CONCERNING HAPPY HOUR,1,N,ALEXANDRIA,OFFER IN COMPROMISE,2/6/2012,Y,2/10/2012,,,4/23/2012,," $ 1,000.00 ",,,,,,,
28,ICONS SPORTS LOUNGE & GRILLE,63055,10418 MAIN STREET,FAIRFAX,VA,22030,GROSS SLAES OF FOOD AND NON A/B WERE LESS THEN 45% OF GORSS RECEIPTS FROM SALE OF M/B AND FOOD,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2010,N,6/16/2011,,,7/19/2011,," $ 1,000.00 ",,,,,,,
669,BENEVOLENT & PROTECTIVE ORDER ELKS,1462,8421 ARLINGTON BOULEVARD,FAIRFAX,VA,22031,"LICENSEE FAILED TO SUBMIT TO THE BOARD THE ANNUAL REVIEW REPORT FOR THE YEAR ENDING MARCH 31, 2012",1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/31/2012,N,6/8/2012,,,6/29/2012,, $ 500.00 ,,,,,,,
672,CALYPSO DISTRIBUTORS,65557,"2724 DORR AVENUE, STE. 101G-102",FAIRFAX,VA,22031,FAILED TO REMIT TO THE BOARD STATE WINE TAX COLLECTED FROM RETAILER; FAILED TO FILE SEPARATE & COMPLETE INVOICES FOR WINE SOLD OUTSIDE THE COMMONWEALTH,2,N,ALEXANDRIA,APPEAL HEARING,11/14/2011,Y,12/14/2011,2/27/2012,3/30/2012,6/29/2012,, $ 300.00 ,,,,Y,"LIC. SURRENDERED 2-27-12, CHG. 1 DISMISSED",,
