Table 7. Carbon intensity of the energy supply by state (2000 - 2010),,,,,,,,,,,,,
kilograms of energy-related carbon dioxide per million Btu,,,,,,,,,,,,,
,,,,,,,,,,,,Change,
Kentucky,77.6,77.5,76.6,76.2,76.3,76.3,77.4,77.3,77.6,76.7,77.2,-0.5%,-0.4
Louisiana,54.9,54.7,54.6,55.4,55.4,56.0,56.6,56.3,57.0,56.1,56.2,2.3%,1.3
Maine,45.2,45.5,46.8,48.2,47.3,45.3,44.9,44.1,40.7,43.3,42.5,-6.0%,-2.7
Maryland,60.7,62.6,62.7,61.9,61.8,62.2,61.5,60.9,60.1,59.1,59.2,-2.5%,-1.5
Massachusetts,61.1,62.2,61.7,62.0,61.6,62.4,60.3,61.1,59.8,58.9,58.4,-4.4%,-2.7
Michigan,62.5,61.4,59.9,60.5,60.0,59.6,60.4,60.2,59.5,60.7,59.0,-5.6%,-3.5
Minnesota,58.6,58.8,59.0,60.4,59.4,58.5,58.1,57.4,56.3,54.8,53.9,-8.1%,-4.7
Mississippi,54.9,58.8,56.7,57.9,57.7,56.8,56.9,57.1,57.6,55.3,55.6,1.2%,0.7
Missouri,70.5,70.9,71.1,71.6,71.8,71.7,71.6,71.1,70.2,69.8,70.6,0.3%,0.2
Montana,59.6,65.3,60.4,63.2,63.5,62.4,60.9,62.4,61.4,60.2,62.0,3.9%,2.4
Nebraska,59.9,60.9,59.2,61.2,58.7,60.2,59.7,56.9,57.2,57.7,54.1,-9.7%,-5.8
Nevada,67.2,67.2,66.4,66.8,66.7,66.5,61.3,61.7,61.2,59.7,59.2,-11.9%,-8.0
New Hampshire,47.7,47.6,47.6,49.1,48.1,47.2,46.9,44.8,44.9,43.9,41.5,-13.0%,-6.2
New Jersey,53.5,53.2,52.7,53.9,54.9,54.7,53.5,53.8,53.7,51.2,52.0,-2.9%,-1.5
New Mexico,71.9,72.5,72.1,72.8,72.5,71.9,71.2,69.7,69.1,69.9,68.4,-4.9%,-3.6
New York,52.8,52.5,51.7,52.9,52.7,52.4,50.4,50.8,49.3,47.8,47.8,-9.4%,-5.0
North Carolina,59.5,59.6,59.2,57.6,59.0,59.5,59.2,60.5,58.9,56.4,57.2,-3.8%,-2.3
North Dakota,81.2,81.3,81.5,82.0,80.8,81.2,80.6,80.3,79.1,77.0,73.6,-9.3%,-7.6
Ohio,68.0,69.0,70.3,70.9,69.2,70.0,69.8,69.9,69.0,68.6,68.7,1.1%,0.7
Oklahoma,67.3,67.1,67.5,67.5,65.8,65.9,66.0,64.5,64.8,64.3,63.2,-6.1%,-4.1
Oregon,37.9,41.3,38.3,39.0,39.1,40.3,37.4,40.2,39.3,38.6,39.1,3.0%,1.1
Pennsylvania,61.0,60.4,60.6,60.6,60.1,60.7,60.6,60.1,58.9,57.2,57.5,-5.7%,-3.5
Rhode Island,58.1,59.2,59.9,60.3,60.2,60.3,58.9,58.9,55.7,56.4,56.1,-3.4%,-2.0
South Carolina,46.9,47.7,46.3,46.9,48.2,47.1,48.0,47.8,47.9,45.8,46.4,-1.0%,-0.5
South Dakota,52.6,57.5,54.6,52.9,53.0,50.9,49.6,50.4,49.2,45.3,42.4,-19.2%,-10.1
Tennessee,60.4,59.1,58.8,58.2,57.7,58.0,60.3,60.0,59.2,54.4,55.5,-8.0%,-4.9
Texas,57.3,57.7,57.4,57.6,57.1,57.5,57.1,56.9,56.6,56.0,55.7,-2.9%,-1.6
Utah,75.6,76.3,76.5,75.8,76.6,76.3,75.3,75.0,74.5,74.0,73.5,-2.8%,-2.1
Vermont,37.3,39.3,38.4,38.1,40.7,39.3,35.9,37.9,34.6,34.0,34.5,-7.6%,-2.8
Virginia,59.1,60.4,60.1,60.1,58.9,58.5,58.1,58.6,57.3,55.1,55.8,-5.6%,-3.3
Washington,37.0,41.3,35.3,37.1,37.8,38.3,35.6,37.7,36.9,37.7,37.4,1.0%,0.4
West Virginia,83.4,82.8,83.4,83.7,83.2,83.1,83.0,83.5,82.9,80.6,81.7,-2.0%,-1.7
Wisconsin,62.0,61.7,61.9,61.1,62.1,61.9,60.4,60.3,60.2,58.7,58.7,-5.3%,-3.3
Wyoming,81.1,81.3,81.2,81.0,81.4,80.7,80.7,79.7,79.2,77.6,76.8,-5.4%,-4.3
Average all states,59.5,60.1,59.5,59.8,59.7,59.9,59.5,59.5,58.9,57.6,57.6,-3.2%,-1.9
"Note:  The District of Columbia is included in the data tables, but not in the analysis as it is not a state.",,,,,,,,,,,,,
"Source:  U.S. Energy Information Administration, State Energy Data System and EIA calculations made for this analysis.",,,,,,,,,,,,,
