  Utah........................,6.48,6.68,6.82,6.93,6.28,6.45,6.55,6.66,13.09,12.05,10.99,11.24
  Vermont.....................,6.15,6.57,6.63,6.62,6.12,6.55,6.59,6.57,*,*,*,*8.42
  Virginia....................,7.90,8.23,8.41,8.29,6.54,7.01,7.09,7.01,12.56,12.83,13.27,12.88
  Washington..................,5.75,6.13,6.30,6.31,5.43,5.63,5.95,5.92,10.34,10.63,9.71,9.54
  West Virginia...............,8.60,9.16,9.42,9.31,8.39,9.03,9.26,9.14,13.81,13.15,14.75,14.75
  Wisconsin...................,6.58,6.93,7.03,7.05,5.83,6.18,6.24,6.27,13.25,13.59,13.55,13.65
  Wyoming.....................,8.35,8.71,8.61,8.56,8.12,8.74,8.41,8.26,*13.29,*,*14.51,*15.50
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Hispanic or Latina2,,,American Indian or Alaska Native3,,,,,Asian or Pacific Islander3,,
,,,,,,,,,,,,
State,2000-2002,2003-2005,2007-2009,2008-2010,2000-2002,2003-2005,2007-2009,2008-2010,2000-2002,2003-2005,2007-2009,2008-2010
,,,,,,,,,,,,
,,,,,"Percent of live births weighing less than 2,500 grams1",,,,,,,
,,,,,,,,,,,,
United States..................,6.48,6.79,6.94,6.96,7.11,7.39,7.38,7.43,7.54,7.89,8.18,8.31
,,,,,,,,,,,,
  Alabama.....................,6.95,6.92,6.63,6.44,9.68,10.53,*8.00,8.44,7.38,8.02,8.76,8.80
  Alaska......................,6.07,5.31,6.98,7.14,5.81,5.86,5.94,6.38,7.33,6.57,5.99,6.09
  Arizona.....................,6.56,6.69,6.67,6.76,6.85,7.11,6.61,6.77,7.95,7.92,8.43,8.64
  Arkansas....................,5.79,6.54,6.41,6.51,8.11,8.86,8.23,7.98,7.73,6.74,8.45,9.26
  California..................,5.66,6.10,6.19,6.14,6.21,6.49,6.90,6.59,7.15,7.42,7.83,7.90
  Colorado....................,8.33,8.53,8.49,8.38,9.05,9.45,9.14,8.59,10.17,10.26,10.91,11.28
  Connecticut.................,8.25,8.49,8.28,8.37,10.06,7.45,9.28,8.22,8.07,7.83,8.59,8.61
  Delaware....................,6.81,7.03,7.14,6.56,*,*,*,*,9.89,9.33,8.67,8.01
  District of Columbia........,8.04,7.46,6.89,6.72,*,*,*,*,*7.00,8.97,6.92,6.99
  Florida.....................,6.61,6.98,7.14,7.13,7.11,7.38,6.81,6.91,8.35,8.73,8.34,8.56
,,,,,,,,,,,,
  Georgia.....................,5.77,5.96,6.39,6.54,9.29,9.00,8.39,8.57,8.18,8.35,8.15,8.14
  Hawaii......................,8.00,8.34,8.37,8.64,*4.99,*,*,*,8.45,8.84,8.79,8.86
  Idaho.......................,6.95,6.67,7.28,7.47,6.15,8.31,7.49,8.43,7.38,6.67,8.93,10.00
  Illinois....................,6.31,6.60,6.71,6.70,8.60,9.46,9.23,8.78,8.49,8.28,8.78,9.15
  Indiana.....................,6.09,6.33,6.92,6.68,*7.74,*10.00,*6.48,*8.38,7.41,7.87,8.35,8.43
  Iowa........................,6.01,6.12,6.26,6.49,7.23,9.15,6.02,6.25,7.13,7.71,7.72,8.05
  Kansas......................,5.93,6.09,6.06,6.30,6.20,7.09,7.57,7.77,6.69,7.34,8.72,9.18
  Kentucky....................,7.73,6.85,6.82,6.71,*7.17,*8.54,*,*7.17,7.75,7.56,8.49,8.41
  Louisiana...................,6.56,7.62,6.87,6.99,9.06,10.11,11.10,10.85,7.89,8.46,8.85,9.26
  Maine.......................,*6.03,*4.74,8.44,*7.47,*,*,*6.40,*6.63,*5.46,8.69,*6.45,*5.28
,,,,,,,,,,,,
  Maryland....................,6.73,7.18,6.97,6.90,9.74,10.87,*8.12,8.85,7.42,7.93,8.25,8.49
  Massachusetts...............,8.37,8.41,8.32,8.45,*7.11,*7.62,10.00,9.87,7.57,7.63,8.15,8.25
  Michigan....................,6.26,6.46,6.83,6.78,7.26,6.98,7.47,8.26,7.46,8.33,8.84,8.96
  Minnesota...................,6.02,5.70,5.80,5.84,7.10,6.87,6.74,7.01,7.28,7.43,7.81,7.80
  Mississippi.................,6.61,6.42,6.86,6.85,7.30,6.24,8.41,8.79,6.83,8.06,8.26,8.40
  Missouri....................,6.18,6.33,6.23,6.57,8.67,7.63,7.08,8.07,7.34,7.61,7.94,8.27
  Montana.....................,7.44,8.63,7.49,6.43,7.14,7.80,7.83,7.62,*5.95,*8.70,*7.41,*7.03
  Nebraska....................,6.30,6.20,6.76,6.60,7.27,6.78,7.89,7.06,8.05,7.61,8.55,8.71
  Nevada......................,6.34,6.74,6.73,6.83,6.80,7.58,7.45,7.19,7.56,10.35,9.70,9.29
  New Hampshire...............,4.84,6.55,7.44,8.35,*,*,*,*,5.95,7.75,7.71,7.53
,,,,,,,,,,,,
  New Jersey..................,7.15,7.27,7.42,7.31,11.09,9.83,*9.25,*8.50,7.57,8.10,8.52,8.83
  New Mexico..................,8.13,8.45,8.59,8.54,6.88,7.32,7.56,7.39,7.67,8.60,8.93,9.71
  New York....................,7.38,7.59,7.78,7.81,7.81,7.31,6.47,7.58,7.33,7.89,7.72,7.95
  North Carolina..............,6.13,6.27,6.35,6.28,10.30,11.01,11.10,11.00,8.20,7.77,8.71,8.59
  North Dakota................,*8.10,*5.84,7.02,7.59,6.62,6.78,7.83,8.64,*,*8.39,*5.88,*7.78
  Ohio........................,7.20,7.13,7.75,7.49,8.86,10.22,8.85,9.13,7.86,8.27,8.51,8.26
  Oklahoma....................,6.41,6.46,6.49,6.71,6.48,6.69,7.36,7.44,7.87,6.82,6.87,7.20
  Oregon......................,5.54,5.43,5.97,6.04,7.23,7.34,6.44,6.85,6.78,7.00,7.20,7.40
  Pennsylvania................,8.97,9.00,8.90,8.79,9.15,10.95,10.43,9.47,7.48,7.99,8.32,8.11
  Rhode Island................,7.20,8.61,7.92,7.99,*10.32,13.66,11.34,10.40,9.31,10.11,8.83,9.32
,,,,,,,,,,,,
  South Carolina..............,6.87,6.66,6.57,6.54,10.22,10.75,7.29,8.45,8.02,8.13,8.44,8.99
  South Dakota................,6.89,5.94,7.11,6.85,6.84,7.04,6.63,6.14,*11.39,*9.50,*9.80,*9.96
  Tennessee...................,6.28,6.04,6.30,6.28,*7.11,*6.63,5.63,5.95,8.60,7.76,8.48,8.04
  Texas.......................,6.88,7.23,7.59,7.64,6.67,7.33,7.64,7.58,7.78,8.33,9.01,9.31
  Utah........................,7.20,7.26,7.44,7.48,6.37,7.46,7.78,7.34,7.23,8.20,8.24,9.14
  Vermont.....................,*,*,*,*,*,*,*,*,*,*8.08,*6.96,*6.87
  Virginia....................,6.07,6.28,6.39,6.39,*10.73,*9.20,*4.86,*4.69,7.50,7.71,7.94,8.12
  Washington..................,5.31,5.93,5.89,6.10,7.08,7.31,7.45,7.31,6.37,6.90,7.41,7.26
  West Virginia...............,*,*6.06,*6.17,*5.81,*,*,*,*,*9.16,*9.51,*6.27,*6.56
  Wisconsin...................,6.13,6.34,6.26,6.06,6.12,6.04,6.64,6.81,6.97,7.50,7.31,7.35
  Wyoming.....................,8.81,8.43,8.87,9.59,9.55,8.39,9.16,8.55,*12.04,*,*13.38,*12.98
,,,,,,,,,,,,
*Percentages preceded by an asterisk are based on fewer than 50 births.,,,,,,,,,,,,
Percentages not shown are based on fewer than 20 births.,,,,,,,,,,,,
1Excludes live births with unknown birthweight.,,,,,,,,,,,,
2Persons of Hispanic origin may be of any race.,,,,,,,,,,,,
"See Appendix II, Hispanic origin.",,,,,,,,,,,,
3Includes persons of Hispanic and non-Hispanic origin.,,,,,,,,,,,,
,,,,,,,,,,,,
"NOTES: For information on very low birthweight live births by state, see Table I-10 in",,,,,,,,,,,,
"Martin JA, Hamilton BE, Ventura SJ, Osterman MJK, Wilson EC, Mathews TJ. ",,,,,,,,,,,,
Births: Final data for 2010. National vital statistics,,,,,,,,,,,,
"reports; vol 61 no 1. Hyattsville, MD:",,,,,,,,,,,,
NCHS. 2012; Available from: http://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf.,,,,,,,,,,,,
"Starting with 2003 data, some states reported multiple-race data.",,,,,,,,,,,,
The multiple-race data for these states were bridged to the single-race categories,,,,,,,,,,,,
"of the 1977 Office of Management and Budget standards for comparability with other states. See Appendix II, Race.",,,,,,,,,,,,
,,,,,,,,,,,,
"SOURCE: CDC/NCHS,",,,,,,,,,,,,
"National Vital Statistics System, public-use and nonpublic-use Birth File.",,,,,,,,,,,,
"Martin JA, Hamilton BE, Ventura SJ, Osterman MJK, Wilson EC, Mathews TJ. ",,,,,,,,,,,,
Births: Final data for 2010. National vital statistics,,,,,,,,,,,,
"reports; vol 61 no 1. Hyattsville, MD:",,,,,,,,,,,,
NCHS. 2012; Available from: http://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf.,,,,,,,,,,,,
"See Appendix I, National Vital Statistics System (NVSS).",,,,,,,,,,,,
,,,,,,,,,,,,
"Health, United States, 2012",,,,,,,,,,,,
