Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”,Name: “Table 1 of 1 on page 27 of 33”
Prince George,,,,,"anticipated, but induced residential","anticipated, but induced residential","anticipated, but induced residential","anticipated, but induced residential","anticipated, but induced residential","anticipated, but induced residential",,,,,,
,,10 jobs,,"$32,762",,,,,,,,Planned,Planned,,Norfolk,Southern
County,,,,,development would occur at Route,development would occur at Route,development would occur at Route,development would occur at Route,development would occur at Route,development would occur at Route,,,,,,
,,,,,,,,,,,,facility,,,,
,,,,,156,,,,,,,,,,,
,,,,,,,,,,,,Existing and planned industrial,Existing and planned industrial,Existing and planned industrial,Existing and planned industrial,Existing and planned industrial
,,,,,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,,,,,
,,,,,,,,,,,,development along Route 602,development along Route 602,development along Route 602,development along Route 602,development along Route 602
Sussex County,,0,,"$9,150",services at the interchange areas in,services at the interchange areas in,services at the interchange areas in,services at the interchange areas in,services at the interchange areas in,services at the interchange areas in,services at the interchange areas in,,,,,
,,,,,,,,,,,,Town,of,Waverly’s,Waverly’s,industrial
,,,,,Waverly and Wakefield,Waverly and Wakefield,Waverly and Wakefield,Waverly and Wakefield,,,,,,,,
,,,,,,,,,,,,area on Route 40,area on Route 40,area on Route 40,,
Surry County,,0,,$0,None anticipated,None anticipated,None anticipated,,,,,None anticipated,None anticipated,None anticipated,,
,,,,,None anticipated,None anticipated,None anticipated,,,,,,,,,
Southampton,,0,,"$2,608",,,,,,,,None anticipated,None anticipated,None anticipated,,
County,,,,,,,,,,,,,,,,
,,,,,None anticipated,None anticipated,None anticipated,,,,,Town,of,Wakefield’s,Wakefield’s,industrial
Isle of Wight,,0,,"$22, 993",,,,,,,,,,,,
,,,,,,,,,,,,zoned area on Route 258,zoned area on Route 258,zoned area on Route 258,zoned area on Route 258,
,,,,,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,,,,,
City of Suffolk,,0,,"$13,182",development,development,at,Route,58,Bypass,Bypass,None anticipated,None anticipated,None anticipated,,
,,,,,area,,,,,,,,,,,
,,,,,Three Locations Of Induced,Three Locations Of Induced,Three Locations Of Induced,Three Locations Of Induced,Three Locations Of Induced,,,Five,industrial,industrial,areas,with
Total CBA 1,,10 jobs,,"$80,695",,,,,,,,,,,,
,,,,,Commercial Development,Commercial Development,Commercial Development,Commercial Development,Commercial Development,,,improved access,improved access,improved access,,
,,,,,,CBA 2,,,,,,,,,,
,,,,,,,,,,,,Southpoint,Southpoint,Southpoint,Industrial,Park
Prince George,,,,,,,,,,,,,,,,
,,80 jobs,,"$32,294",None anticipated,None anticipated,None anticipated,,,,,Planned,Planned,,Norfolk,Southern
County,,,,,,,,,,,,,,,,
,,,,,,,,,,,,facility,,,,
,,,,,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,,,,,
,,,,,,,,,,,,Planned,Planned,Regional,Regional,Industrial
Sussex County,,"
    ",,"$7,177",services at the interchange area in,services at the interchange area in,services at the interchange area in,services at the interchange area in,services at the interchange area in,services at the interchange area in,,,,,,
,,,,,,,,,,,,Park (airport site),Park (airport site),Park (airport site),,
,,,,,Waverly,,,,,,,,,,,
Surry County,,0,,$445,None anticipated,None anticipated,None anticipated,,,,,None anticipated,None anticipated,None anticipated,,
,,,,,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,,,,,
Southampton,,0,,"$7,502",services,at,the,interchange,interchange,area,in,None anticipated,None anticipated,None anticipated,,
County,,,,,Ivor,,,,,,,,,,,
,,,,,,,,,,,,Shirley,Shirley,T.,Holland,Industrial
,,,,,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Potential for light tourist / commercial,Park,,,,
Isle of Wight,,0,,"$26,933",services at the interchange area east,services at the interchange area east,services at the interchange area east,services at the interchange area east,services at the interchange area east,services at the interchange area east,services at the interchange area east,Planned,Planned,,development,of
,,,,,of Windsor,of Windsor,,,,,,"Norfolk Southern parcel (1,600","Norfolk Southern parcel (1,600","Norfolk Southern parcel (1,600","Norfolk Southern parcel (1,600","Norfolk Southern parcel (1,600"
,,,,,,,,,,,,acres),,,,
,,,,,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,Potential for economically competitive,,,,,
City of Suffolk,,0,,"$18,063",development,development,at,Route,58,Bypass,Bypass,None anticipated,None anticipated,None anticipated,,
,,,,,area,,,,,,,,,,,
Route 460 Location Study,Route 460 Location Study,Route 460 Location Study,,,4-126,,,,,Draft Environmental Impact Statement,Draft Environmental Impact Statement,Draft Environmental Impact Statement,Draft Environmental Impact Statement,Draft Environmental Impact Statement,Draft Environmental Impact Statement,Draft Environmental Impact Statement
,,,,,,,,,,,,,,,May,2005
