RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,,,,,,,,,
385,GRAND MART INTERNATIONAL FOOD LLC,45918,"46900 CEDAR LAKE PLAZA, SUITE 150",STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/8/2012,N,12/4/2012,,,1/9/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
458,7 ELEVEN STORE 2581 30483-A,49855,46989 SUGARLAND RUN DRIVE,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/13/2012,N,12/27/2012,,,1/31/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
618,7 ELEVEN STORE 2581-16385 A,50228,"21800 TOWNCENTER PLAZA, SUITE 201",STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/8/2013,N,2/22/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
572,BRIGHT STAR MINIMART,79706,"46000 OLD OX ROAD, STE 100",STERLING,VA,20166,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,2/8/2013,N,2/21/2013,,,4/18/2013,," $ 1,500.00 ",,,,,,,,,,,,,,,
60,KUMO SUSHI,64780,"2338 WOODLAND CROSSING DR, STE A",HERNDON,VA,20171,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2012,N,5/1/2012,6/18/2012,6/22/2012,7/24/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
79,GLORY DAYS GRILL,10944,2567 JOHN MILTON DRIVE,HERNDON,VA,20171,UAB,1,Y,ALEXANDRIA,APPEAL HEARING,2/8/2011,Y,2/11/2011,9/6/2011,10/20/2011,8/10/2012,30," $ 3,000.00 ",30,,,,,,,,,,,,,,
204,SAFEWAY 4218,43663,437 S KING STREET,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/7/2012,N,9/21/2012,,,10/18/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
219,7 ELEVEN STORE 2581-10638A,62981,110 DRY MILL ROAD SW,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/7/2012,N,9/21/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
570,THAI PAN REST AND LEESBURG LIBERTY,56512,2 HARRISON STREET SE,LEESBURG,VA,20175,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,2/22/2013,N,3/18/2013,,,4/16/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
172,LANSDOWNE SHELL,47379,19325 RUBY DRIVE,LANSDOWNE,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/2/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
595,LANSDOWNE SHELL,47379,19325 RUBY DR,LANSDOWNE,VA,20176,UAB,1,N,ALEXANDRIA,INITIAL HEARING,11/21/2012,Y,12/17/2012,2/21/2013,3/28/2013,5/2/2013,40," $ 4,000.00 ",10,,,,,,,,,,,,,,
31,RUBY TUESDAY,24821,74 BLACKWELL PARK LANE,WARRENTON,VA,20186,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,6/6/2012,N,6/20/2012,,,7/13/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
335,BROADVIEW SUNOCO,54141,121 BROADVIEW AVE.,WARRENTON,VA,20186,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/1/2012,N,11/20/2012,,,12/28/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
394,TWISTED SISTERS SEAFOOD,69761,6806 JAMES MADISON HIGHWAY,WARRENTON,VA,20186,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/1/2012,N,11/19/2012,,,1/9/2013,25,,,,,,,,,,,,,,,,
632,MOJITOS & TAPAS RESTAURANT,43661,"251 WEST LEE HWY., SUITE 157",WARRENTON,VA,20186,UAB,1,N,STAUNTON,APPEAL HEARING,11/1/2012,N,1/9/2013,2/13/2013,3/27/2013,5/21/2013,5," $ 1,000.00 ",,,,,,,,,,,,,,,
170,SAFEWAY #0005,43660,11120 S LAKES DRIVE,RESTON,VA,20191,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/5/2012,N,9/12/2012,,,10/2/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
561,LEDO PIZZA,8261,2254A HUNTERS WOODS PLAZA,RESTON,VA,20191,UAB,1,N,ALEXANDRIA,INITIAL HEARING,9/5/2012,N,10/11/2012,1/23/2013,2/28/2013,4/10/2013,15," $ 1,750.00 ",,,,,,,,,,,,,,,
222,OEGADGIB,38491,"7331 LITTLE RIVER TURNPIKE, SUITE 100-C",ANNANDALE,VA,22003,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/29/2012,N,9/26/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
258,BOTTOM DOLLAR FOOD #2910,9877,3301 PINE BUFF DRIVE,DUMFRIES,VA,22026,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,10/17/2012,,,11/5/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
235,P J SKIDOOS,25878,9908 FAIRFAX BLVD.,FAIRFAX,VA,22030,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/4/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
236,RATHSKELLAR,40654,4400 UNIVERSITY DRIVE,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/5/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
259,PABLITOS,67889,10901 MAIN STREET,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/5/2012,,,11/5/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
580,LACY VARIETY,64961,3716 LACY BOULEVARD,FALLS CHURCH,VA,22041,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/24/2013,N,3/5/2013,,,4/23/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
643,GOODWIN HOUSE BAILEYS CROSSROADS,23014,3440 S JEFFERSON ST,FALLS CHURCH,VA,22041,UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/29/2012,N,10/17/2012,3/8/2013,4/24/2013,5/30/2013,20," $ 1,750.00 ",,,,,,,,,,,,,,,
598,PAISANOS,79252,5874 CROSSROADS CENTER,FALLS CHURCH,VA,22041,"UAB; LICENSEE PERMITTED AN EMPLOYEE UNDER THE AGE OF 18 YO TO SELL, SERVE OR DISPENSE ALCOHOLIC BEVERAGES FOR ON-PREMISES CONSUMPTION",2,N,ALEXANDRIA,CONSENT SETTLEMENT,2/24/2013,N,3/26/2013,,,5/3/2013,," $ 2,500.00 ",,,,,,,,,,,,,,,
239,7 MARKET,42953,7812 LEE HIGHWAY,FALLS CHURCH,VA,22042,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,9/21/2012,N,10/2/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
560,LLAJTAYMANTA RESTAURANT,67558,7236 ARLINGTON BLVD,FALLS CHURCH,VA,22042,UAB,1,N,ALEXANDRIA,INITIAL HEARING,9/21/2012,N,12/17/2012,1/23/2013,2/28/2013,4/10/2013,25," $ 2,000.00 ",,,,,,,,,,,,,,,
597,FROZEN DAIRY BAR AND BOARDWALK PIZZA,45764,6641 ARLINGTON BOULEVARD,FALLS CHURCH,VA,22042,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/16/2013,N,4/10/2013,,,5/3/2013,25,,,,,,,,,,,,,,,,
606,HOAGANS GRILL & SUSHI BAR,41631,"502 W BROAD STREET, SUITE 5",FALLS CHURCH,VA,22046,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/16/2013,N,4/9/2013,,,5/15/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
224,CVS PHARMACY #1389,62860,2912 CHAIN BRIDGE ROAD,OAKTON,VA,22124,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/26/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
194,FOREST GREENS GOLF CLUB,32497,5600 POA ANNUA LANE,TRIANGLE,VA,22172,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/6/2012,N,9/21/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
571,ALF LAYLAH,67160,8605 WESTWOOD CENTER DRIVE,VIENNA,VA,22182,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/24/2013,N,3/11/2013,,,4/16/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
251,AIAM BISTROS,40494,4129 MERCHANT PLAZA,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/6/2012,N,10/1/2012,,,10/31/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
252,RED ROBIN AMERICAS GOURMET BURGERS & SPIRITS,73896,14090 WORTH AVENUE,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/6/2012,N,10/2/2012,,,10/31/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
324,OLD BRIDGE EXXON,66343,3514 OLD BRIDGE ROAD,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,10/27/2012,N,11/7/2012,,,12/20/2012,," $ 1,500.00 ",,,,,RSVP TRAINING ALL STAFF,,,,,,,,,,
514,HOUSE OF CHOU,51555,12508 DILLINGHAM SQ,WOODBRIDGE,VA,22192,UAB,1,N,ALEXANDRIA,INITIAL HEARING,10/27/2012,N,12/5/2012,1/11/2013,2/6/2013,3/18/2013,20," $ 1,750.00 ",,,,,,,,,,,,,,,
616,OLD HICKORY GOLF CLUB,26973,11921 CHANCEFORD DRIVE,WOODBRIDGE,VA,22192,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/23/2013,N,4/19/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
74,AMF DALE CITY LANES 372,72702,4304 DALE BOULEVARD,WOODBRIDGE,VA,22193,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/26/2012,N,7/11/2012,,,8/6/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
85,PADRINOS PIZZA,17281,4341 DALE BLVD. CENTER PLAZA,DALE CITY,VA,22193,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/26/2012,N,7/31/2012,,,8/14/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
228,PIZZA HUT #23527,46025,4306 DALE BOULEAVARD,DALE CITY,VA,22193,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/21/2012,N,10/2/2012,,,10/22/2012,25,,,,,,,,,,,,,,,,
579,THE ITALIAN STORE,28959,3123 LEE HIGHWAY,ARLINGTON,VA,22201,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/2/2013,N,3/19/2013,,,4/23/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
581,DELHI DHABA,54379,2424 WILSON BOULEVARD,ARLINGTON,VA,22201,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/2/2013,N,3/22/2013,,,4/23/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
195,TOWERS FOODS,3352,1600 S EADS STREET,ARLINGTON,VA,22202,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/24/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
223,ARLINGTON HOLIDAY INN,43905,4610 FAIRFAX DRIVE,ARLINGTON,VA,22203,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/21/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
242,MARVELOUS MARKET,50681,888 N QUINCY STREET,ARLINGTON,VA,22203,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/29/2012,N,9/26/2012,,,10/25/2012,25,,,,,,,,,,,,,,,,
264,THE GREENE TURTLE,69654,900 N GLEBE ROAD,ARLINGTON,VA,22203,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/21/2012,N,10/18/2012,,,11/13/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
270,BUFFALO WILD WINGS GRILL & BAR 379,80201,"950 N GLEBE ROAD, SUITE 130",ARLINGTON,VA,22203,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/21/2012,N,10/22/2012,,,11/13/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
95,CHIPOTLE MEXICAN GRILL,51823,4531 DUKE STREET,ALEXANDRIA,VA,22304,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/19/2012,N,7/19/2012,,,8/21/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
132,TSEDY ABEBA INTL GROCERY & BUTCHER SHOP,10112,672 SOUTH PICLET STREET,ALEXANDRIA,VA,22304,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/27/2012,N,8/15/2012,,,9/12/2012,25,,,,,,,,,,,,,,,,
237,7 ELEVEN STORE 10778-B,61494,331 S WHITING STREET,ALEXANDRIA,VA,22304,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/7/2012,N,9/21/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
135,EL PULGARCITY RESTAURANT,46370,3838 MOUNT VERNON AVE.,ALEXANDRIA,VA,22305,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/27/2012,N,8/17/2012,,,9/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
162,RTs RESTAURANT,18911,3804 MOUNT VERNON AVENUE,ALEXANDRIA,VA,22305,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/27/2012,N,8/15/2012,,,9/24/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
96,NOODLES & CO,57831,"7728 RICHMOND HIGHWAY, SUITE A",ALEXANDRIA,VA,22306,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/26/2012,N,7/23/2012,,,8/21/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
629,SHANES RIB SHACK,49396,"4698 RICHMOND HIGHWAY, SUITE B",ALEXANDRIA,VA,22306,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/7/2013,N,4/29/2013,,,5/21/2013,25,,,,,,,,,,,,,,,,
82,EL PASO MEXICAN REST,56920,8746 COOPER ROAD,ALEXANDRIA,VA,22309,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/26/2012,N,7/24/2012,,,8/14/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
238,SHOPPERS FOOD WAREHOUSE #28,4468,7005 MANCHESTER LAKES BLVD.,ALEXANDRIA,VA,22310,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/21/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
526,GENGIS GRILL,68585,7001F MANCHESTER BOULEVARD,ALEXANDRIA,VA,22310,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/16/2013,N,2/25/2013,,,3/25/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
542,LUCKYS SPORTS THEATRE & GRILL,48767,70278 MANCHESTER BLVD,ALEXANDRIA,VA,22310,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,2/16/2013,N,2/26/2013,,,4/2/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
227,MEDITERRANEAN GOURMET MARKET,40541,6122 FRANCONIA ROAD,ALEXANDRIA,VA,22310,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/24/2012,,,10/22/2012,25,,,,,,,,,,,,,,,,
100,MOMO SUSHI & CAFÉ,40791,212 QUEEN STREET,ALEXANDRIA,VA,22314,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/19/2012,N,8/6/2012,,,8/24/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
137,LA TASCA SPANISH TAPAS BAR AND RESTAURANT,41922,607 KING STREET,ALEXANDRIA,VA,22314,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,8/2/2012,N,8/17/2012,,,9/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
226,WHITTINGHAM,19299,1021 CAROLI8NE STREET,FREDERICKSBURG,VA,22401,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/22/2012,N,10/2/2012,,,10/22/2012,25,,,,,,,,,,,,,,,,
559,HILTON GARDEN INN FREDERICKSBURG,52380,1060 HOSPITALITY LN,FREDERICKSBURG,VA,22401,UAB; FAIL TO HAVE DESIGNATED MANAGER PRESENT AND IN ACTUAL CHARGE,2,N,FREDERICKSBURG,INITIAL HEARING,10/23/2012,N,12/18/2012,2/4/2013,2/28/2013,4/10/2013,25," $ 2,000.00 ",,,,,CHG 2 NO PENALTY IMPOSED,,,,,,,,,,
378,7 ELEVEN STORE 39506-A,68735,1280 JEFFERSON DAVIS HIGHWAY,FREDERICKSBURG,VA,22405,UAB,1,N,FREDERICKSBURG,CONSENT SETTLEMENT,11/9/2012,N,11/29/2012,,,1/8/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
623,TEXACO GAS STATION & C STORE,43354,4300 LAFAYETTE BOULEVARD,FREDERICKSBURG,VA,22408,UAB,1,N,FREDERICKSBURG,CONSENT SETTLEMENT,2/21/2013,N,4/19/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
345,WALMART 5779,69407,16375 MERCHANT LANE,DAHLGREN,VA,22448,UAB,1,N,FREDERICKSBURG,CONSENT SETTLEMENT,10/26/2012,N,11/29/2012,,,12/28/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
325,SEALSTON DELI LLC,64850,1132 KINGS HIGHWAY,KING GEORGE,VA,22485,UAB,1,N,FREDERICKSBURG,OFFER IN COMPROMISE,10/26/2012,N,11/30/2012,,,12/20/2012,," $ 1,500.00 ",,,,,,,,,,,,,,,
231,BACKDRAFT RESTAURANT,26742,7415 OLDHAMS ROAD,KINSALE,VA,22488,UAB,1,N,RICHMOND,OFFER IN COMPROMISE,6/15/2012,N,6/15/2012,,,10/24/2012,," $ 1,500.00 ",,,,,MART TRAINING FOR ABC MANAGERS,,,,,,,,,,
176,COASTAL,56063,18414 JEFFERSON DAVIS HIGHWAY,LADYSMITH,VA,22501,UAB,1,N,RICHMOND,APPEAL HEARING,4/21/2012,N,5/4/2012,5/22/2012,6/21/2012,10/4/2012,10," $ 4,500.00 ",,,,,,,,,,,,,,,
12,MATTAPONI WINERY,43323,7530 MORRIS ROAD,SPOTSYLVANIA,VA,22551,UAB,1,N,RICHMOND,CONSENT SETTLEMENT,6/3/2012,N,6/9/2012,,,7/9/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
9,FEREBEE'S,20357,330 PRINCE ST,TAPPAHANNOCK,VA,22560,UAB X2; CAUSE EXISTS TO REFUSE THE LICENSE; CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,4,N,RICHMOND,INITIAL HEARING,2/27/2011,N,12/12/2011,2/24/2012,5/2/2012,7/3/2012,,,,24,,Y X3,3 CHARGES DISMISSED; 2 YRS PROBATION,,,,,,,,,,
364,7 ELEVEN STORE 2516-20465 H,24745,6546 RICHMOND ROAD,WARSAW,VA,22572,UAB,1,Y,FREDERICKSBURG,CONSENT SETTLEMENT,10/25/2012,N,11/29/2012,,,1/4/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
630,PIZZA HUT #23557,46035,914 BERRYVILLE AVENUE,WINCHESTER,VA,22601,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,4/18/2013,N,4/29/2013,,,5/21/2013,25,,,,,,,,,,,,,,,,
44,WAL MART #4514,69468,201 MARANTO MANOR DRIVE,WINCHESTER,VA,22602,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/5/2012,N,6/25/2012,,,7/20/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
323,PARRILLS TRADING POST,52674,8549 N. FREDERICK PIKE,CROSS JUNCTION,VA,22625,UAB,1,N,STAUNTON,OFFER IN COMPROMISE,11/6/2012,N,11/20/2012,,,12/20/2012,," $ 1,000.00 ",,,,,,,,,,,,,,,
30,FRONT ROYAL COUNTRY CLUB,39444,902 COUNTRY CLUB ROAD,FRONT ROYAL,VA,22630,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/5/2012,N,6/15/2012,,,7/13/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
51,BIG AL'S,38372,10 SOUTH STREET,FRONT ROYAL,VA,22630,UAB,1,Y,STAUNTON,OFFER IN COMPROMISE,3/6/2012,N,6/22/2012,,,7/24/2012,," $ 3,000.00 ",,,,,,,,,,,,,,,
