Table 5. Per capita energy-related carbon dioxide emissions by state (2000 - 2010)													
metric tons carbon dioxide per person													
												Change	
Louisiana	53.7	47.5	49.2	48.0	50.4	49.3	55.7	53.6	49.8	45.4	49.3	-8.1%	-4.3
Maine	17.5	17.5	18.5	18.0	18.4	17.6	16.2	16.0	14.8	14.1	14.1	-19.3%	-3.4
Maryland	14.6	14.5	14.3	14.6	14.8	15.0	13.8	13.9	13.2	12.6	12.3	-15.8%	-2.3
Massachusetts	12.9	12.8	12.9	13.0	12.8	13.1	11.8	12.3	11.8	10.8	11.0	-14.8%	-1.9
Michigan	19.3	18.8	18.7	18.3	18.6	18.8	17.7	18.0	17.5	16.5	16.7	-13.7%	-2.6
Minnesota	19.8	19.0	19.4	20.0	19.8	19.9	19.3	19.4	19.2	17.7	17.7	-10.8%	-2.1
Mississippi	21.3	24.3	21.7	22.0	22.5	21.8	22.6	23.2	21.8	20.5	22.1	3.9%	0.8
Missouri	22.4	23.2	23.2	24.2	24.3	24.6	24.2	23.8	23.2	22.0	22.6	0.9%	0.2
Montana	34.7	35.2	33.7	35.6	37.2	38.0	37.8	39.5	37.3	33.4	35.6	2.6%	0.9
Nebraska	24.1	24.8	24.5	24.8	24.7	24.8	25.1	25.2	26.1	26.1	26.5	9.8%	2.4
Nevada	22.4	21.3	19.1	19.4	20.5	20.7	16.6	16.3	15.8	15.1	14.3	-36.1%	-8.1
New Hampshire	14.1	13.5	13.9	16.2	17.0	16.4	14.8	14.6	14.4	13.1	12.8	-8.9%	-1.3
New Jersey	14.4	14.0	13.9	13.9	14.2	14.8	13.9	14.9	14.4	12.7	13.2	-8.0%	-1.2
New Mexico	31.9	31.8	29.9	30.6	31.0	30.9	30.8	30.1	29.0	29.2	27.0	-15.4%	-4.9
New York	11.1	10.8	10.5	10.9	11.1	10.9	9.9	10.3	9.8	9.0	8.8	-20.7%	-2.3
North Carolina	18.3	17.4	17.4	17.2	17.4	17.6	16.6	17.0	16.1	14.2	15.1	-17.4%	-3.2
North Dakota	79.3	81.3	81.1	80.5	77.9	82.6	79.8	82.5	82.8	79.6	80.4	1.3%	1.1
Ohio	23.2	22.3	22.8	23.4	22.9	23.5	22.9	23.3	22.7	20.6	21.6	-7.0%	-1.6
Oklahoma	29.0	29.3	29.2	29.6	28.4	30.3	30.9	30.4	31.1	28.5	27.8	-4.1%	-1.2
Oregon	12.0	11.7	11.1	11.1	11.4	11.3	11.0	11.8	11.4	10.8	10.4	-13.2%	-1.6
Pennsylvania	22.5	21.4	21.9	22.1	22.3	22.6	22.0	22.2	21.1	19.5	20.3	-9.7%	-2.2
Rhode Island	11.0	11.5	10.8	10.5	10.0	10.3	9.7	10.3	10.1	10.7	10.4	-5.3%	-0.6
South Carolina	19.7	19.2	19.3	19.2	20.8	20.2	19.9	19.7	19.0	17.7	18.3	-7.3%	-1.4
South Dakota	18.7	17.7	18.0	17.7	17.7	17.0	16.9	17.5	18.8	18.3	18.5	-1.1%	-0.2
Tennessee	22.0	21.6	21.2	20.6	20.8	20.8	20.8	20.5	19.3	15.9	16.9	-23.0%	-5.1
Texas	34.0	33.0	33.0	32.0	31.7	29.7	28.9	28.4	26.9	25.2	25.9	-23.8%	-8.1
Utah	29.0	27.5	26.6	26.4	26.8	26.8	26.4	26.4	25.7	23.4	22.7	-21.8%	-6.3
Vermont	11.1	10.8	10.3	10.6	11.4	11.0	10.8	10.6	9.9	10.2	9.7	-12.6%	-1.4
Virginia	17.2	16.7	16.3	16.6	17.0	17.0	16.0	16.6	15.1	13.5	13.8	-19.8%	-3.4
Washington	14.0	13.3	12.0	12.2	12.4	12.5	12.0	12.7	12.1	11.6	11.3	-19.4%	-2.7
West Virginia	62.8	57.6	64.6	62.4	60.9	62.0	62.1	63.2	60.9	48.9	54.2	-13.6%	-8.6
Wisconsin	20.0	19.5	19.6	19.0	19.4	19.9	18.4	18.7	18.8	17.1	17.5	-12.5%	-2.5
Wyoming	127.0	127.8	124.2	127.1	126.1	124.1	124.2	126.4	125.5	117.0	118.5	-6.7%	-8.5
Average all states	20.8	20.3	20.2	20.2	20.4	20.3	19.8	20.0	19.2	17.7	18.2	-12.6%	-2.6
Note:  The District of Columbia is included in the data tables, but not in the analysis as it is not a state.													
Source:  U.S. Energy Information Administration, State Energy Data System and EIA calculations made for this analysis.													
