Name,Description
Lake Thompson,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Fauquier</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lake Thompson</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>Thompson WMA Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>M</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Old Cossey Pond,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Fredericksburg</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Old Cossey Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Dorey Park Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Henrico</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Dorey Park Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Lake Biggins,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Newport News</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Lake Biggins</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Shield Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Richmond City</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Shield Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Winchester Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Frederick</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Winchester Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Clearbrook Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Frederick</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Clearbrook Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>Frederick County Parks and Recreation</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Tomahawk Pond,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Shenandoah</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Tomahawk Pond</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Briery Branch Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Briery Branch Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Silver Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Silver Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Slate Lick Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Slate Lick Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>Walk in.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
Hone Quarry Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Hone Quarry Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td>Y</td> </tr> </table> </body> </html>"
NF Shenandoah River (Ruritan Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Rockingham</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>NF Shenandoah River (Ruritan Park)</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td>Single stocking location.</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>B</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Liberty Lake,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Bedford</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Liberty Lake</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>PNT</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>A</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
Locust Shade Park,"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body> <table border=""1"" width=""350"" cellpadding=""5""> <tr style=""background-color:#663300""> <th style=""color:#66FF66"">Field Name</th> <th style=""color:#66FF66"">Value</th> </tr> <tr bgcolor=""#E0F9E0""> <td>County</td> <td>Prince William</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Waterbody</td> <td>Locust Shade Park</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Designation</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Notes</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brook Trout</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>Rainbow Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Brown Trout</td> <td>Y</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Category</td> <td>U</td> </tr> <tr bgcolor=""#E0F9E0""> <td>Heritage</td> <td></td> </tr> <tr bgcolor=""#E0F9E0""> <td>National Forest</td> <td></td> </tr> </table> </body> </html>"
