Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,Fire Dept. Incident Counts For Year 2006,,,,,,
01907,Montvale VFD,Bedford Co.,2006,95,0,41,136,12,12
01908,Stewartsville-Chamblissburg VFD,Bedford Co.,2006,263,1,48,312,12,12
01910,Big Island Vol. Fire Dept.,Bedford Co.,2006,141,0,36,177,12,12
01911,"Saunders Vol. Fire Co., Inc.",Bedford Co.,2006,51,0,41,92,12,12
01912,Shady Grove Fire & Rescue Dept.,Bedford Co.,2006,137,0,12,149,12,12
,Bedford Co.,10,,"1,394",1,398,"1,793",,
02101,Bland Co. VFD,Bland Co.,2006,27,0,13,40,12,12
02102,Ceres Vol. Fire Dept.,Bland Co.,2006,13,0,2,15,8,12
02103,Rocky Gap Vol. Fire Dept.,Bland Co.,2006,10,0,4,14,8,12
02105,Hollybrook-Mechanicsburg VFD,Bland Co.,2006,16,0,9,25,10,12
02106,Little Creek Vol. Fire Dept.,Bland Co.,2006,5,0,0,5,4,12
,Bland Co.,5,,71,0,28,99,,
As of 04/18/2007,,,,,,,,,Page 4 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
02301,Blue Ridge Vol. Fire & Rescue Inc.,Botetourt Co.,2006,140,0,2,142,12,12
02302,Troutville Vol. Fire Dept.,Botetourt Co.,2006,223,0,179,402,12,12
02303,Buchanan Vol. Fire Dept.,Botetourt Co.,2006,164,0,15,179,12,12
02304,Fincastle Vol. Fire Dept.,Botetourt Co.,2006,70,0,28,98,6,6
02305,Eagle Rock Vol. Fire Dept.,Botetourt Co.,2006,26,0,9,35,7,7
02306,Glen Wilton Vol. and Rescue Inc.,Botetourt Co.,2006,56,0,7,63,12,12
,Botetourt Co.,6,,679,0,240,919,,
02501,Alberta Vol. Fire Dept.,Brunswick Co.,2006,54,0,3,57,4,4
02502,Brodnax Vol. Fire Dept.,Brunswick Co.,2006,53,0,3,56,12,12
02503,Dolphin VFD,Brunswick Co.,2006,50,0,20,70,12,12
02504,Ebony VFD,Brunswick Co.,2006,22,0,4,26,8,8
02505,Gasburg VFD,Brunswick Co.,2006,12,0,7,19,6,7
02506,Lawrenceville Vol. Fire Dept.,Brunswick Co.,2006,299,0,32,331,12,12
,Brunswick Co.,6,,490,0,69,559,,
02701,Grundy Vol. Fire Dept.,Buchanan Co.,2006,25,0,2,27,12,12
02702,"Oakwood Vol. Fire Dept., Inc.",Buchanan Co.,2006,137,2,4,143,12,12
02703,Whitewood Vol. Fire Dept.,Buchanan Co.,2006,7,0,1,8,7,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 5 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
02704,Council Vol Fire Dept.,Buchanan Co.,2006,19,2,0,21,9,12
02707,Russell Prater Fire Dept.,Buchanan Co.,2006,16,0,6,22,9,11
02708,Slate Creek Vol Fire Dept.,Buchanan Co.,2006,28,0,13,41,11,11
02709,Harman VFD,Buchanan Co.,2006,45,0,0,45,12,12
,Buchanan Co.,7,,277,4,26,307,,
02901,Arvonia VFD,Buckingham Co.,2006,54,0,46,100,12,12
02902,Dillwyn Vol. Fire Dept.,Buckingham Co.,2006,141,0,0,141,12,12
02904,Toga Vol. Fire Dept.,Buckingham Co.,2006,10,0,10,20,7,7
,Buckingham Co.,3,,205,0,56,261,,
03110,Altavista Vol. Fire Dept.,Campbell Co.,2006,187,0,0,187,12,12
03111,Brookneal Vol. Fire Dept.,Campbell Co.,2006,112,0,5,117,12,12
03112,Brookville-Timberlake Vol. Fire Dept.,Campbell Co.,2006,414,0,22,436,12,12
03113,Concord Vol. Fire Dept.,Campbell Co.,2006,207,0,4,211,12,12
03114,Gladys Vol. Fire Dept. Inc.,Campbell Co.,2006,109,0,21,130,12,12
03115,Lyn-Dan Heights Vol Fire Dept.,Campbell Co.,2006,254,0,0,254,12,12
03116,Rustburg Vol. Fire Dept.,Campbell Co.,2006,182,0,11,193,12,12
03117,Evington Vol. Fire Dept.,Campbell Co.,2006,200,0,9,209,12,12
,Campbell Co.,8,,"1,665",0,72,"1,737",,
As of 04/18/2007,,,,,,,,,Page 6 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
03302,Ladysmith Volunteeer Fire Co.,Caroline Co.,2006,836,0,111,947,12,12
03304,Sparta VFD,Caroline Co.,2006,78,0,63,141,11,11
,Caroline Co.,2,,914,0,174,"1,088",,
03501,Cana Vol. Fire Dept.,Carroll Co.,2006,198,0,14,212,12,12
03502,Hillsville Vol. Fire Dept.,Carroll Co.,2006,303,0,8,311,12,12
03503,Laurel Fork Vol. Fire Dept.,Carroll Co.,2006,54,0,18,72,12,12
,Carroll Co.,3,,555,0,40,595,,
03601,Charles City Vol. Fire Dept.,Charles City Co.,2006,206,0,2,208,12,12
,Charles City Co.,1,,206,0,2,208,,
03701,Bacon District VFD,Charlotte Co.,2006,89,0,15,104,12,12
03702,Charlotte Court House Vol Fire Dept.,Charlotte Co.,2006,35,0,10,45,11,12
03704,Drakes Branch Vol. Fire Dept.,Charlotte Co.,2006,51,0,17,68,12,12
03707,Red House Vol. Fire Dept.,Charlotte Co.,2006,27,0,2,29,8,9
,Charlotte Co.,4,,202,0,44,246,,
04100,Chesterfield Fire Dept.,Chesterfield Co.,2006,"27,300",7,111,"27,418",12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 7 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Chesterfield Co.,1,,"27,300",7,111,"27,418",,
04301,John H. Enders VFD,Clarke Co.,2006,181,0,87,268,12,12
04304,"Boyce Vol. Fire Co., Inc.",Clarke Co.,2006,195,0,118,313,9,9
04306,Shenandoah Farms VFD,Clarke Co.,2006,149,0,49,198,12,12
04308,Blue Ridge Vol. Fire/Rescue Co.,Clarke Co.,2006,34,0,42,76,6,6
,Clarke Co.,4,,559,0,296,855,,
04502,Paint Bank Vol. Fire Dept.,Craig Co.,2006,31,0,11,42,12,12
04503,Simmonsville VFD,Craig Co.,2006,25,0,1,26,10,12
04504,New Castle Vol. Fire Dept.,Craig Co.,2006,84,0,1,85,12,12
,Craig Co.,3,,140,0,13,153,,
04701,Brandy Station VFD,Culpeper Co.,2006,146,0,68,214,7,7
04702,Culpeper Co. VFD,Culpeper Co.,2006,774,0,52,826,12,12
04703,Richardsville VFD,Culpeper Co.,2006,48,0,7,55,12,12
04704,Salem Vol. Fire/Rescue,Culpeper Co.,2006,134,0,122,256,12,12
04706,Little Fork VFD & Rescue Co.,Culpeper Co.,2006,250,0,25,275,12,12
04707,Reva Vol. Fire & Rescue Dept.,Culpeper Co.,2006,8,0,7,15,1,1
,Culpeper Co.,6,,"1,360",0,281,"1,641",,
As of 04/18/2007,,,,,,,,,Page 8 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
04901,Cartersville VFD,Cumberland Co.,2006,50,0,14,64,12,12
04902,Cumberland VFD,Cumberland Co.,2006,22,0,5,27,5,5
04903,Randolph District Vol. Fire Dept.,Cumberland Co.,2006,75,0,0,75,11,11
,Cumberland Co.,3,,147,0,19,166,,
05101,Clintwood Vol. Fire Dept.,Dickenson Co.,2006,194,0,7,201,12,12
05102,Haysi Vol Fire Dept.,Dickenson Co.,2006,105,0,7,112,11,11
05103,McClure River Fire Dept.,Dickenson Co.,2006,35,0,25,60,9,9
05104,Sandy Ridge Vol. Fire Dept.,Dickenson Co.,2006,4,0,1,5,1,1
,Dickenson Co.,4,,338,0,40,378,,
05301,Dinwiddie Vol. Fire & EMS Company 1,Dinwiddie Co.,2006,435,0,200,635,12,12
05302,Ford Vol. Fire Dept.,Dinwiddie Co.,2006,54,0,4,58,9,9
05303,McKenney Vol. Fire Dept.,Dinwiddie Co.,2006,141,0,0,141,12,12
05304,Namozine Vol. Fire & Resc Dept.,Dinwiddie Co.,2006,351,0,22,373,12,12
,Dinwiddie Co.,4,,981,0,226,"1,207",,
05701,Tappahannock-Essex Vol. Fire Dept.,Essex Co.,2006,175,0,2,177,12,12
,Essex Co.,1,,175,0,2,177,,
As of 04/18/2007,,,,,,,,,Page 9 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
05900,Fairfax Co. Fire & Resc. Dept.,Fairfax Co.,2006,"75,695",0,"3,511","79,206",12,12
,Fairfax Co.,1,,"75,695",0,"3,511","79,206",,
06100,Fauquier Dept. of Fire & Emerg.,Fauquier Co.,2006,854,1,31,886,12,12
06101,Warrenton Vol. Fire Co.,Fauquier Co.,2006,"1,948",0,154,"2,102",12,12
06102,Remington Vol. Fire & Rescue Dept.,Fauquier Co.,2006,240,0,26,266,6,6
06103,Marshall Vol. Fire Dept.,Fauquier Co.,2006,268,0,0,268,6,6
06104,The Plains Volunteer Fire Co.,Fauquier Co.,2006,35,0,1,36,3,3
06107,Catlett Vol. Fire Dept.,Fauquier Co.,2006,278,0,3,281,12,12
06110,New Baltimore Vol. Fire & Rescue,Fauquier Co.,2006,1,0,0,1,1,1
06111,Orlean Vol. Fire Dept.,Fauquier Co.,2006,41,0,16,57,6,6
06113,Lois VFD,Fauquier Co.,2006,232,0,20,252,6,6
,Fauquier Co.,9,,"3,897",1,251,"4,149",,
06301,Floyd Co. Vol. Fire Dept. #1,Floyd Co.,2006,124,0,16,140,12,12
06302,Floyd Co. Vol. Fire Dept. #2,Floyd Co.,2006,63,0,14,77,12,12
06303,Floyd Co. Vol. Fire Dept. #3,Floyd Co.,2006,83,0,13,96,12,12
06304,Floyd Co. Vol. Fire Dept. #4,Floyd Co.,2006,51,0,9,60,12,12
,Floyd Co.,4,,321,0,52,373,,
As of 04/18/2007,,,,,,,,,Page 10 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
06504,Lake Monticello Fire/Rescue,Fluvanna Co.,2006,167,0,84,251,7,7
,Fluvanna Co.,1,,167,0,84,251,,
06700,Franklin Co. Public Safety,Franklin Co.,2006,108,3,8,119,12,12
06701,Boones Mill Vol. Fire Dept.,Franklin Co.,2006,146,2,14,162,11,11
06702,Burnt Chimney VFD,Franklin Co.,2006,146,0,21,167,12,12
06703,Callaway VFD,Franklin Co.,2006,38,0,25,63,12,12
06704,Ferrum VFD,Franklin Co.,2006,74,0,23,97,11,11
06705,Fork Mountain VFD,Franklin Co.,2006,50,0,18,68,12,12
06706,Glade Hill VFD,Franklin Co.,2006,79,0,30,109,12,12
06707,Rocky Mount Vol Fire Dept.,Franklin Co.,2006,355,0,3,358,12,12
06708,Scruggs VFD,Franklin Co.,2006,103,0,12,115,12,12
06709,Smith Mountain Lake Marine Vol. Fire Co.,Bedford Co.,2006,230,0,74,304,12,12
06710,Snow Creek VFD,Franklin Co.,2006,45,0,12,57,12,12
,Franklin Co.,11,,"1,374",5,240,"1,619",,
06900,Frederick Co. Fire & Rescue,Frederick Co.,2006,314,0,613,927,12,12
06911,Stephens City Fire Dept.,Frederick Co.,2006,510,0,21,531,10,10
06912,Middletown Vol. Fire & Rescue,Frederick Co.,2006,381,0,625,"1,006",12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 11 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
06913,Clear Brook Vol. Fire Dept.,Frederick Co.,2006,844,1,256,"1,101",12,12
06914,Gore Vol. Fire Dept.,Frederick Co.,2006,112,0,73,185,12,12
06915,"Round Hill Community Fire Co., Inc.",Frederick Co.,2006,814,0,353,"1,167",12,12
06916,Gainesboro Vol. Fire Dept.,Frederick Co.,2006,447,0,347,794,12,12
06917,Star Tannery Vol. Fire Dept.,Frederick Co.,2006,46,0,11,57,12,12
06918,Greenwood Vol. Fire & Rescue Co.,Frederick Co.,2006,"1,332",0,310,"1,642",12,12
06919,North Mountain Vol. Fire Dept.,Frederick Co.,2006,251,0,74,325,12,12
06920,Reynolds Store VFD,Frederick Co.,2006,147,0,109,256,12,12
06921,Millwood Station Fire & Rescue,Frederick Co.,2006,583,0,452,"1,035",12,12
,Frederick Co.,12,,"5,781",1,"3,244","9,026",,
07110,Eggleston Vol. Fire Dept.,Giles Co.,2006,80,0,12,92,12,13
07120,Glen Lyn Vol. Fire Dept.,Giles Co.,2006,35,0,11,46,12,12
07130,Narrows Vol Fire Dept.,Giles Co.,2006,59,0,2,61,9,9
07140,Newport Vol. Fire Dept.,Giles Co.,2006,57,0,15,72,11,11
07150,Pearisburg Vol. Fire Dept.,Giles Co.,2006,61,0,6,67,11,11
07160,Pembroke Vol. Fire Dept.,Giles Co.,2006,98,0,14,112,12,12
07170,Poplar Hill Vol. Fire Dept.,Giles Co.,2006,28,0,7,35,11,12
07180,Rich Creek Vol. Fire Dept.,Giles Co.,2006,36,0,15,51,11,12
,Giles Co.,8,,454,0,82,536,,
As of 04/18/2007,,,,,,,,,Page 12 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
07301,Abingdon Vol. Fire & Rescue Inc.,Gloucester Co.,2006,444,0,1,445,12,12
07310,Gloucester Vol. Fire & Rescue,Gloucester Co.,2006,687,0,5,692,12,12
,Gloucester Co.,2,,"1,131",0,6,"1,137",,
07500,Goochland Co. Fire Rescue Dept.,Goochland Co.,2006,680,0,109,789,12,12
,Goochland Co.,1,,680,0,109,789,,
07701,Elk Creek VFD,Grayson Co.,2006,22,0,5,27,9,12
07702,Fries Vol. Fire Dept.,Grayson Co.,2006,47,0,5,52,11,11
07703,Independence Vol. Fire Dept.,Grayson Co.,2006,65,0,14,79,12,12
07706,Rugby Fire Dept.,Grayson Co.,2006,43,0,10,53,12,12
,Grayson Co.,4,,177,0,34,211,,
07901,Ruckersville Vol. Fire Co.,Greene Co.,2006,440,0,4,444,10,10
07902,Stanardsville Vol. Fire Dept.,Greene Co.,2006,116,2,79,197,8,8
,Greene Co.,2,,556,2,83,641,,
08301,Clover Vol Fire Dept.,Halifax Co.,2006,123,0,19,142,12,12
08302,Cluster Springs Vol. Fire Dept.,Halifax Co.,2006,128,0,8,136,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 13 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
08304,Liberty VFD,Halifax Co.,2006,4,0,0,4,2,2
08306,North Halifax Fire Dept.,Halifax Co.,2006,241,0,6,247,12,12
08307,Oak Level Vol. Fire Dept.,Halifax Co.,2006,26,0,6,32,9,12
08308,Scottsburg Vol. Fire Dept.,Halifax Co.,2006,5,0,2,7,1,1
08309,Triangle Vol. Fire Dept.,Halifax Co.,2006,100,0,11,111,12,12
08310,Turbeville Vol. Fire Dept.,Halifax Co.,2006,132,0,9,141,12,12
08311,Virgilina Vol. Fire Dept.,Halifax Co.,2006,143,0,25,168,12,12
,Halifax Co.,9,,902,0,86,988,,
08501,Ashland VFD,Hanover Co.,2006,"1,373",3,260,"1,636",12,12
08502,Beaverdam VFD,Hanover Co.,2006,180,0,34,214,12,12
08503,Eastern Hanover VFD,Hanover Co.,2006,614,0,163,777,12,12
08504,Doswell VFD,Hanover Co.,2006,377,0,129,506,12,12
08505,Hanover Court House Vol. Fire Dept.,Hanover Co.,2006,185,0,191,376,12,12
08506,Henry VFD,Hanover Co.,2006,955,0,213,"1,168",12,12
08507,Mechanicsville VFD,Hanover Co.,2006,"1,835",0,175,"2,010",12,12
08508,Montpelier VFD,Hanover Co.,2006,448,0,64,512,12,12
08509,Rockville VFD,Hanover Co.,2006,198,0,52,250,11,11
08510,Chickahominy VFD,Hanover Co.,2006,756,0,200,956,12,12
08511,Farrington VFD,Hanover Co.,2006,289,0,48,337,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 14 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
08512,Black Creek VFD,Hanover Co.,2006,238,0,122,360,12,12
,Hanover Co.,12,,"7,448",3,"1,651","9,102",,
08700,Henrico Co. Division of Fire,Henrico Co.,2006,"36,494",55,248,"36,797",12,12
,Henrico Co.,1,,"36,494",55,248,"36,797",,
08900,Henry County Public Safety,Henry Co.,2006,28,3,45,76,12,12
08901,Axton Vol. Fire Dept.,Henry Co.,2006,123,0,15,138,12,12
08902,Bassett Vol. Fire Dept.,Henry Co.,2006,268,0,28,296,12,12
08903,Collinsville Vol. Fire Dept.,Henry Co.,2006,345,0,33,378,12,12
08904,Dyer's Store Vol. Fire Dept.,Henry Co.,2006,73,0,10,83,12,12
08906,Horsepasture Dist. Vol. Dept.,Henry Co.,2006,135,1,18,154,11,11
08908,Ridgeway District Vol. Fire Dept.,Henry Co.,2006,357,3,35,395,12,12
,Henry Co.,7,,"1,329",7,184,"1,520",,
09101,Highland Co. Vol. Fire Dept.,Highland Co.,2006,1,0,0,1,1,1
,Highland Co.,1,,1,0,0,1,,
09301,Carrollton Vol. Fire Dept.,Isle of Wight Co.,2006,728,1,223,952,12,12
09303,Smithfield Vol. Fire Dept. Inc.,Isle of Wight Co.,2006,731,0,9,740,11,11
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 15 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
09305,Rushmere Vol. Fire Dept.,Isle of Wight Co.,2006,36,0,54,90,12,12
,Isle of Wight Co.,3,,"1,495",1,286,"1,782",,
09500,James City Co. Fire Dept.,James City Co.,2006,"7,291",6,556,"7,853",12,12
,James City Co.,1,,"7,291",6,556,"7,853",,
09702,Lower King & Queen Vol. Fire Dept.,King & Queen Co.,2006,33,0,21,54,12,12
09704,Walkerton Comm. Fire Assoc.,King & Queen Co.,2006,1,0,0,1,1,1
,King & Queen Co.,2,,34,0,21,55,,
09900,"King George Fire & Rescue, Inc.",King George Co.,2006,"1,170",1,70,"1,241",12,12
,King George Co.,1,,"1,170",1,70,"1,241",,
10103,West Point Vol. Fire Dept.,King William Co.,2006,174,0,2,176,4,4
10104,"Mangohick Vol. Fire Dept., Inc.",King William Co.,2006,25,0,19,44,12,12
,King William Co.,2,,199,0,21,220,,
10306,White Stone Vol. Fire Dept.,Lancaster Co.,2006,30,0,8,38,5,5
10307,Upper Lancaster VFD,Lancaster Co.,2006,101,0,8,109,12,12
,Lancaster Co.,2,,131,0,16,147,,
As of 04/18/2007,,,,,,,,,Page 16 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
10501,Jonesville Vol. Fire Dept.,Lee Co.,2006,61,0,0,61,12,12
10502,Keokee VFD,Lee Co.,2006,3,0,0,3,2,2
10503,Pennington Gap Vol. Fire Dept.,Lee Co.,2006,62,0,8,70,12,12
10504,Thomas Walker VFD #1,Lee Co.,2006,54,0,8,62,12,12
10505,Dryden VFD,Lee Co.,2006,22,2,7,31,11,12
10508,Thomas Walker Vol. Fire Dept. #2,Lee Co.,2006,7,0,23,30,10,12
10509,Stickleyville VFD,Lee Co.,2006,0,0,0,0,0,5
10511,Blackwater VFD,Lee Co.,2006,24,0,2,26,8,11
,Lee Co.,8,,233,2,48,283,,
10701,Leesburg Vol. Fire Dept.,Loudoun Co.,2006,"1,954",0,109,"2,063",12,12
10702,Purcellville Vol. Fire Dept.,Loudoun Co.,2006,458,0,197,655,12,12
10703,"Middleburg VFD, Inc.",Loudoun Co.,2006,181,0,57,238,12,12
10704,Round Hill Vol. Fire Dept.,Loudoun Co.,2006,187,0,97,284,12,12
10705,Hamilton VFD,Loudoun Co.,2006,451,0,131,582,12,12
10706,Ashburn Fire & Rescue,Loudoun Co.,2006,"3,555",1,284,"3,840",12,12
10707,Aldie VFD,Loudoun Co.,2006,198,0,65,263,12,12
10708,Philomont VFD,Loudoun Co.,2006,207,0,232,439,12,12
10709,Arcola-Pleasant Valley Fire/Rescue,Loudoun Co.,2006,884,0,43,927,12,12
10710,"Lucketts Vol. Fire Co., Inc.",Loudoun Co.,2006,117,0,40,157,12,12
As of 04/18/2007,As of 04/18/2007,,,,,,,,Page 17 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
10711,Sterling VFD,Loudoun Co.,2006,"3,088",0,123,"3,211",12,12
10712,Lovettsville Vol. Fire/Rescue,Loudoun Co.,2006,25,0,5,30,2,2
10716,Neersville Vol. Fire/Rescue,Loudoun Co.,2006,151,0,82,233,12,12
,Loudoun Co.,13,,"11,456",1,"1,465","12,922",,
10902,Holly Grove VFD,Louisa Co.,2006,42,0,4,46,2,2
10903,Locust Creek VFD,Louisa Co.,2006,178,0,25,203,12,12
10904,Louisa Vol. Fire Dept.,Louisa Co.,2006,203,0,192,395,12,12
10905,Mineral Vol. Fire Dept.,Louisa Co.,2006,281,0,4,285,12,12
10906,Trevilians VFD,Louisa Co.,2006,48,0,28,76,7,7
10907,Zion Crossroads VFD,Louisa Co.,2006,158,0,100,258,12,12
,Louisa Co.,6,,910,0,353,"1,263",,
11101,Kenbridge Vol. Fire Dept.,Lunenburg Co.,2006,75,5,11,91,12,12
11102,Meherrin Vol. Fire & Rescue Team - Engin,Lunenburg Co.,2006,396,2,40,438,12,12
11103,Victoria Fire & Rescue Inc.,Lunenburg Co.,2006,18,0,5,23,3,3
,Lunenburg Co.,3,,489,7,56,552,,
11501,"Mathews Vol. Fire Dept., Inc.",Mathews Co.,2006,302,5,2,309,12,12
,Mathews Co.,1,,302,5,2,309,,
As of 04/18/2007,,,,,,,,,Page 18 of 38
Year,2006,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
11701,"Boydton Vol. Fire Dept., Inc.",Mecklenburg Co.,2006,76,0,76,152,12,12
11702,Buckhorn Vol. Fire Dept.,Mecklenburg Co.,2006,35,0,15,50,12,12
11703,Chase City Vol. Fire Dept.,Mecklenburg Co.,2006,231,0,26,257,12,12
11704,Clarksville Vol. Fire Dept.,Mecklenburg Co.,2006,210,0,25,235,12,12
