"Run on 04JAN2006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Div No.","Division Name","Sch No.","School Name","Low Grade","High Grade","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 3 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 English","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 5 Writing","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 English","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","Grade 8 Writing","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC English","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","EOC Writing","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 3 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 5 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Grade 8 Math","Algebra 1 Pass","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Algebra 1 Pass","Algebra 1 Proficient","Algebra 1 Advanced","Geometry Pass","Geometry Pass","Geometry Proficient","Geometry Advanced","Geometry Pass","Geometry Proficient","Geometry Advanced","Algebra 2 Pass","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Algebra 2 Pass","Algebra 2 Proficient","Algebra 2 Advanced","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 3 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 5 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","Grade 8 History/SS","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","U.S. History","Civics and","Civics and","Civics and","Civics and","Civics and","Civics and","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","Va and US History","World History","World History","World History","World History","World History","World History","World History","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World Geography","World History","World History","World History","World History","World History","World History","World History","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 3 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 5 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Grade 8 Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Earth Science","Biology Pass","Biology Pass","Biology Proficient","Biology Advanced","Biology Pass","Biology Proficient","Biology Advanced","Chemistry Pass","Chemistry Pass","Chemistry Proficient","Chemistry Advanced","Chemistry Pass","Chemistry Proficient","Chemistry Advanced"
29,"Fairfax County Public Schools",673,"JACKSON MIDDLE",7,8,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",65.16,76.68,54.48,22.2,75.67,57.32,18.35,73.27,75.49,65.94,9.54,75.41,71.49,3.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",82.24,83.67,50.41,33.27,83.14,56.25,26.89,100,100,45.61,54.39,100,55.45,44.55,".",".",".",".",100,40,60,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.58,".",".",".",20,20,".",".",".",".",".",".",".",79.37,55.4,23.97,83.3,54.07,29.23,84.73,63.5,21.24,79.76,67.13,12.63,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",83.6,89.93,64.55,25.38,84.17,68.14,16.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",680,"BUSH HILL ELEM.","PK",6,73.24,68.75,56.25,12.5,79.25,56.6,22.64,84.93,90.28,55.56,34.72,93.75,59.38,34.38,84,98.67,61.33,37.33,97.01,55.22,41.79,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.73,89.71,38.24,51.47,79.31,34.48,44.83,76.71,84.81,63.29,21.52,74.65,50.7,23.94,".",".",".",".",100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.73,89.23,43.08,46.15,87.93,44.83,43.1,87.36,90.77,44.62,46.15,85.71,35.71,50,".",".",".",".",".",".",".",75,52.94,22.06,80.49,64.63,15.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",78.87,89.23,49.23,40,82.76,46.55,36.21,72.6,91.89,67.57,24.32,81.16,71.01,10.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",690,"GUNSTON ELEM.","PK",6,60.24,74.19,59.68,14.52,64,54.67,9.33,85.71,91.67,54.17,37.5,85.29,64.71,20.59,84.42,89.47,60.53,28.95,91.36,61.73,29.63,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.49,93.33,41.33,52,74.47,43.62,30.85,77.65,87.65,72.84,14.81,75,60,15,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.11,89.86,28.99,60.87,81.33,40,41.33,65.56,86.84,50,36.84,73.97,36.99,36.99,".",".",".",".",".",".",".",52.87,41.38,11.49,74.7,59.04,15.66,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.61,91.18,48.53,42.65,81.33,53.33,28,83.53,91.78,80.82,10.96,79.22,75.32,3.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",700,"BUCKNELL ELEM.","PK",6,72.73,58.62,55.17,3.45,77.27,68.18,9.09,57.89,82.86,77.14,5.71,73.53,64.71,8.82,64.86,85.71,77.14,8.57,93.55,70.97,22.58,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",88.24,80,40,40,94.29,60,34.29,57.5,41.03,38.46,2.56,77.14,51.43,25.71,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.88,91.43,48.57,42.86,80,48.57,31.43,56.41,68.75,62.5,6.25,80,60,20,".",".",".",".",".",".",".",8.82,8.82,".",64.29,52.38,11.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.88,88.57,51.43,37.14,90.32,58.06,32.26,42.11,68.57,57.14,11.43,82.35,73.53,8.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",710,"SLEEPY HOLLOW ELEM.","PK",5,86.49,85.71,69.39,16.33,78.38,62.16,16.22,88.33,93.75,52.08,41.67,95.56,57.78,37.78,90.16,80.36,57.14,23.21,100,69.39,30.61,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.89,93.1,34.48,58.62,88.46,38.46,50,88.33,73.33,50,23.33,82.46,63.16,19.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",97.3,98,44,54,94.59,37.84,56.76,67.19,89.47,43.86,45.61,85.71,34.92,50.79,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.59,90,46,44,91.89,54.05,37.84,85.48,81.03,50,31.03,82,68,14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",720,"BELVEDERE ELEM.","PK",5,77.91,66.67,41.33,25.33,86.79,52.83,33.96,90.79,91.38,20.69,70.69,98.11,41.51,56.6,96.97,100,58.93,41.07,98.04,31.37,66.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.21,89.36,35.11,54.26,94.74,28.95,65.79,90.91,86.75,51.81,34.94,89.39,50,39.39,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.86,87.91,31.87,56.04,88.16,25,63.16,97.01,100,31.75,68.25,92.75,26.09,66.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",82.56,80.22,41.76,38.46,82.89,46.05,36.84,89.33,96.36,49.09,47.27,98.15,61.11,37.04,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",730,"FLINT HILL ELEM.","PK",6,92,85.22,65.22,20,91.67,53.57,38.1,95.04,98.98,47.96,51.02,96.23,40.57,55.66,96.67,98.98,38.78,60.2,98.06,24.27,73.79,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94,98.26,27.83,70.43,95.29,22.35,72.94,92.56,95.92,60.2,35.71,90.57,54.72,35.85,".",100,".",100,100,50,50,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",92.93,93.91,28.7,65.22,96.47,23.53,72.94,98.95,98.02,28.71,69.31,92.79,25.23,67.57,".",".",".",".",".",".",".",88.24,70.59,17.65,87.25,54.9,32.35,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.92,93.04,29.57,63.48,96.47,30.59,65.88,97.52,98.98,76.53,22.45,90.57,79.25,11.32,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",740,"FLORIS ELEM.","PK",6,88.39,89.81,65.74,24.07,84.68,58.87,25.81,92.86,94.79,39.58,55.21,99.1,59.46,39.64,96.55,96.81,53.19,43.62,98.18,27.27,70.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.54,97.27,24.55,72.73,96,24,72,83.13,91.75,63.92,27.84,94.64,52.68,41.96,".",100,".",100,100,16.67,83.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",96.43,98.18,23.64,74.55,95.16,29.84,65.32,90.53,94.55,53.64,40.91,92.73,41.82,50.91,".",".",".",".",".",".",".",91.76,70.59,21.18,97.14,45.71,51.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",97.32,97.27,31.82,65.45,95.16,37.9,57.26,93.98,95.83,75,20.83,97.32,80.36,16.96,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",750,"HAYCOCK ELEM.","PK",6,89.22,94.23,62.5,31.73,92.45,45.28,47.17,95.83,95.28,24.53,70.75,97.46,27.97,69.49,97.48,98.13,30.84,67.29,99.15,17.8,81.36,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.14,100,22.12,77.88,96.26,23.36,72.9,95.8,91.74,30.28,61.47,100,29.66,70.34,".",100,".",100,100,5,95,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.22,95.19,29.81,65.38,95.33,20.56,74.77,89.57,98.15,32.41,65.74,97.22,25.93,71.3,".",".",".",".",".",".",".",91.06,48.78,42.28,92.66,29.36,63.3,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",93.14,98.08,33.65,64.42,94.39,39.25,55.14,97.48,96.3,37.96,58.33,97.46,56.78,40.68,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",770,"LEMON ROAD ELEM.","PK",6,69.7,67.5,62.5,5,78.57,57.14,21.43,76.32,88.89,27.78,61.11,95,45,50,83.78,90.48,71.43,19.05,88.46,34.62,53.85,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.41,82.61,41.3,41.3,82.05,35.9,46.15,71.79,92.16,54.9,37.25,93.94,45.45,48.48,".",".",".",".",100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",87.88,72.73,42.42,30.3,96.88,21.88,75,81.08,96.77,61.29,35.48,76,48,28,".",".",".",".",".",".",".",76.92,64.1,12.82,85.71,23.81,61.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",69.7,80.56,58.33,22.22,87.1,51.61,35.48,78.95,86.05,60.47,25.58,92.86,60.71,32.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",790,"MCLEAN HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",25,33.33,33.33,".",".",".",".",".",".",".",".",".",".",".",96.44,96.59,39.37,57.22,92.84,47.75,45.09,95.48,96.33,59.06,37.27,95.48,32.45,63.03,".",".",".",".",".",".",".",".",".",".",".",".",".",".",20.51,23.53,17.65,5.88,".",".",".",78.03,81.4,73.55,7.85,84.91,74.74,10.18,91.71,94.66,50.38,44.27,95.09,57.11,37.98,90.06,93.07,49.6,43.47,93.58,49.38,44.2,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.46,94.49,47.37,47.12,96.15,45.05,51.1,96.28,96.91,34.44,62.47,97.05,35.44,61.6,".",".",".",".",".",".",".",92.6,93.39,52.12,41.27,93.36,45.54,47.83,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",80.14,81.65,70.25,11.39,92.02,80.37,11.66,91.95,92.31,77.99,14.32,89.26,69.58,19.68,90.96,92.9,64.21,28.69,89.74,69.93,19.81
29,"Fairfax County Public Schools",800,"NAVY ELEM.","PK",6,85.71,86.49,62.16,24.32,81.48,63.89,17.59,94.74,91.15,48.67,42.48,96.15,45.19,50.96,97.27,91.23,50.88,40.35,97.09,36.89,60.19,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.24,95.54,26.79,68.75,89.91,38.53,51.38,92.98,84.96,56.64,28.32,95.19,51.92,43.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",91.43,97.3,31.53,65.77,96.26,25.23,71.03,92.44,96.12,48.54,47.57,96.52,36.52,60,".",".",".",".",".",".",".",87.5,59.17,28.33,94.26,48.36,45.9,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",95.24,96.4,45.05,51.35,92.52,43.93,48.6,90.35,91.07,59.82,31.25,93.27,75,18.27,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",820,"PINE SPRING ELEM.","PK",6,59.18,69.05,61.9,7.14,85.29,50,35.29,88.89,100,52.78,47.22,95,62.5,32.5,85.29,94.87,64.1,30.77,97.78,53.33,44.44,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.2,85.71,39.29,46.43,86.79,49.06,37.74,87.18,76.6,53.19,23.4,91.23,63.16,28.07,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.58,81.82,40.91,40.91,85.29,26.47,58.82,87.5,96.3,53.7,42.59,85.71,45.24,40.48,".",".",".",".",".",".",".",74.29,45.71,28.57,92.31,61.54,30.77,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",73.47,79.55,52.27,27.27,94.12,52.94,41.18,76.92,85.37,60.98,24.39,97.96,89.8,8.16,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",830,"TIMBER LANE ELEM.","PK",6,51.52,63.46,57.69,5.77,71.93,56.14,15.79,68.12,90.91,56.82,34.09,78.57,66.67,11.9,74.29,77.05,65.57,11.48,79.17,60.42,18.75,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",76.12,88.52,42.62,45.9,83.78,39.19,44.59,73.24,77.61,65.67,11.94,62.5,42.86,19.64,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",68.18,80,32.73,47.27,84.51,42.25,42.25,58.46,79.03,59.68,19.35,70,43.33,26.67,".",".",".",".",".",".",".",72.06,61.76,10.29,76.92,52.31,24.62,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",69.7,70.91,38.18,32.73,80.28,54.93,25.35,72.46,82.14,64.29,17.86,66.07,58.93,7.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",850,"WAKEFIELD FOREST ELEM.","PK",6,92.86,83.87,69.35,14.52,78.13,53.13,25,100,95.83,30.56,65.28,96,46,50,96.3,98.59,47.89,50.7,95.92,30.61,65.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",98.18,96.77,20.97,75.81,95.31,28.13,67.19,98.31,94.44,58.33,36.11,96,50,46,".",".",".",".",100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",100,96.77,30.65,66.13,96.77,32.26,64.52,94.37,96.15,28.85,67.31,95.16,29.03,66.13,".",".",".",".",".",".",".",83.05,74.58,8.47,82.86,61.43,21.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.64,96.77,35.48,61.29,95.16,45.16,50,93.44,98.61,54.17,44.44,96,82,14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",870,"CRESTWOOD ELEM.","PK",6,55.56,55.36,39.29,16.07,71.67,56.67,15,77.46,82.09,56.72,25.37,71.7,56.6,15.09,68.06,73.61,65.28,8.33,75.41,54.1,21.31,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",74.58,88.57,54.29,34.29,77.78,43.21,34.57,69.01,77.63,65.79,11.84,59.7,47.76,11.94,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",77.78,85.07,49.25,35.82,80.95,36.51,44.44,79.37,84,57.33,26.67,89.29,39.29,50,".",".",".",".",".",".",".",57.81,54.69,3.13,65.33,54.67,10.67,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",66.67,76.12,50.75,25.37,80.95,57.14,23.81,68.57,83.33,75,8.33,63.49,61.9,1.59,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",890,"LYNBROOK ELEM.","PK",6,72.97,55.26,52.63,2.63,82.22,68.89,13.33,94.59,93.33,50,43.33,80.56,58.33,22.22,93.75,93.55,67.74,25.81,82,60,22,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.13,71.43,46.43,25,70.15,41.79,28.36,85.37,80,57.78,22.22,61.82,50.91,10.91,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",84.21,75,28.13,46.88,81.25,50,31.25,89.13,76.19,50,26.19,71.43,38.78,32.65,".",".",".",".",".",".",".",72.92,66.67,6.25,61.11,36.11,25,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.76,78.13,56.25,21.88,57.81,51.56,6.25,95.12,82.14,50,32.14,63.46,55.77,7.69,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",900,"WEST POTOMAC HIGH",9,12,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",94.85,85.22,51.97,33.25,83.89,47.6,36.3,91.58,81.69,58.31,23.37,91.31,47.89,43.43,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",11.11,11.11,".",67.63,65.42,60.59,4.83,78.57,62.17,16.4,73.03,76.33,56.33,20,79.85,52.99,26.87,82.2,79.83,39.78,40.06,86.02,46.17,39.84,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.83,86.17,52.35,33.83,86.8,53.69,33.11,87.93,80.43,49.19,31.24,84.62,50.09,34.53,".",".",".",".",".",".",".",82.33,76.35,51.04,25.31,81.91,51.63,30.28,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",71.43,65.09,56.6,8.49,82.98,70.92,12.06,79.9,74.11,64.64,9.46,72.67,62.48,10.19,65.59,74.37,65.9,8.47,73.25,61.93,11.33
29,"Fairfax County Public Schools",930,"NORTH SPRINGFIELD ELEM.","PK",5,89.23,73.91,56.52,17.39,74.63,53.73,20.9,93.94,94.44,52.78,41.67,92.31,67.95,24.36,90.48,95.24,64.29,30.95,92.77,57.83,34.94,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",89.23,86.36,39.39,46.97,88,30.67,57.33,73.85,90.59,68.24,22.35,83.72,62.79,20.93,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",86.89,71.67,26.67,45,92.65,47.06,45.59,87.01,84.62,57.69,26.92,78.57,51.43,27.14,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.77,75,46.67,28.33,92.75,50.72,42.03,89.23,84.52,65.48,19.05,85.71,77.38,8.33,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",940,"BREN MAR PARK ELEM.","PK",5,62.79,67.65,63.24,4.41,81.25,60.42,20.83,67.86,71.7,49.06,22.64,82.05,64.1,17.95,93.48,81.03,67.24,13.79,89.36,53.19,36.17,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",71.11,91.89,40.54,51.35,86.67,40,46.67,51.72,65.57,57.38,8.2,76,52,24,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",90.48,89.23,32.31,56.92,87.04,38.89,48.15,60.71,85.11,55.32,29.79,90,50,40,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",69.05,83.08,63.08,20,87.04,53.7,33.33,55.17,71.93,63.16,8.77,90.91,84.09,6.82,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
29,"Fairfax County Public Schools",950,"ROSE HILL ELEM.","PK",6,64.65,69.9,58.25,11.65,63.1,50,13.1,85.59,91.07,45.54,45.54,77.11,55.42,21.69,87.04,91.87,62.6,29.27,81.19,52.48,28.71,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79,82.61,31.3,51.3,87.37,44.21,43.16,78.57,84.55,67.48,17.07,58.1,42.86,15.24,".",100,".",100,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",75.51,81.58,42.11,39.47,87.37,44.21,43.16,62.81,77,60,17,70.49,44.26,26.23,".",".",".",".",".",".",".",52.78,49.07,3.7,79.67,56.91,22.76,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",70,74.56,45.61,28.95,81.05,48.42,32.63,74.55,83.74,68.29,15.45,58.1,54.29,3.81,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
