RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED,OTHER
180,DULLES SHELL,54621,900 Sully Rd,Sterling,VA,201669405,SOLD TO UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/19/2007,10/3/2007,10/16/2007,25," $ 1,500.00 ",,,,,
338,BUFFALO WINGS HOUSE,17048,13005 Worldgate Dr,Herndon,VA,20170,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/9/2007,25," $ 2,000.00 ",,,,,
369,ROYAL BUFFETT,17094,492 Elden St Store # 2,Herndon,VA,20170,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
373,FUDDRUCKERS,52329,1030 Elden St,Herndon,VA,201703801,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
336,LUCIANO ITALIAN REST & PIZZERIA,44149,1054 Elden St,Herndon,VA,201703803,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
337,WASHINGTON DULLES MARRIOTT SUITES,6692,13101 Worldgate Dr,Herndon,VA,201704381,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/9/2007,25," $ 2,000.00 ",,,,,
335,EL MERCADITO HISPANO,28291,495 B Elden St,Herndon,VA,201704512,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
351,SAFEWAY FOOD & DRUG STORE #1689,35870,413 Elden St,Herndon,VA,201704512,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,11/26/2007,25," $ 2,000.00 ",,,,,
645,CAFÉ ANTONIOS,45934,454 Elden St,Herndon,VA,201704513,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
393,HARVEST OF INDIA,70384,364 Elden St,Herndon,VA,201704818,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
511,AMPHORAS DINER DELUXE,75643,1151 Elden St,Herndon,VA,201705502,SOLD TO UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,9/18/2007,12/7/2007,1/2/2008,," $ 1,500.00 ",,,,,
770,CVS PHARMACY #2006,71880,2525 Centreville Rd,Herndon,VA,20171,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/28/2007,,3/20/2008,25," $ 2,000.00 ",,,,,
1011,RITE AID PHARMACY # 3707,50610,448 S King St,Leesburg,VA,20175,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/6/2007,4/22/2008,06/06/08,25," $ 2,000.00 ",,,,,
357,BLOOM # 2717,11682,240 Fort Evans,Leesburg,VA,20176,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
376,CVS PHARMACY #1415,11951,616 E Market St,Leesburg,VA,20176,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
361,SHOPPERS FOOD WAREHOUSE 40,4465,1079 Edwards Ferry Rd NE,Leesburg,VA,201763347,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/6/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
209,RUBY TUESDAY,24821,74 Blackwell Parc Ln,Warrenton,VA,20186,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,6/14/2007,,7/26/2007,25," $ 2,000.00 ",,,,,
856,SHELL,6457,81 Broadview Ave,Warrenton,VA,20186,SOLD TO UAB,1,Y,STAUNTON,INITIAL HEARING,10/25/2007,2/6/2008,04/08/08,30," $ 4,000.00 ",10,,,,
590,WARRENTON EXXON,74192,309 W Lee Hwy,Warrenton,VA,201862077,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/25/2007,,1/4/2008,25," $ 2,000.00 ",,,,,
385,SEARS GRAND,44645,141 W Lee Hwy,Warrenton,VA,201862107,SOLD TO UAB,1,N,STAUNTON,CONSENT SETTLEMENT,10/18/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
552,NAPOLEON'S RESTAURANT,43122,67 Waterloo St,Warrenton,VA,201862806,SOLD TO UAB,1,N,STAUNTON,INITIAL HEARING,6/15/2007,11/27/2007,1/11/2008,,,,,,Y,
391,MAYURI INDIAN CUISINE,42251,2316 Hunters Woods Plz,Reston,VA,201912811,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/12/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
324,CVS PHARMACY # 1396,37332,11160 S Lakes Dr Ste I,Reston,VA,201914396,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/12/2007,,10/25/2007,25," $ 2,000.00 ",,,,,
142,TRADER JOE'S,12582,11958 Killingsworth Ave,Reston,VA,201941816,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,12/14/2006,6/26/2007,7/11/2007,," $ 6,000.00 ",3,,,,
888,RED APPLE RESTAURANT,27511,962 Edward Ferry Rd NE,Leesburg,VA,20330,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/31/2008,,04/16/08,25," $ 2,000.00 ",,,,,
270,CVS PHARMACY # 1383,27929,7205 Little River Tpke,Annandale,VA,22003,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/12/2007,,8/29/2007,25," $ 2,000.00 ",,,,,
577,KMART 4483,74752,4251 John Marr Dr,Annandale,VA,220033205,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/26/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
745,7 ELEVEN STORE 2515 32767,48256,4100 Talon Dr,Dumfries,VA,22025,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2007,,03/11/08,25," $ 2,000.00 ",,,,,
362,NEW BRAVO RESTAURANT,75948,11250 James Swart Cir,Fairfax,VA,220305023,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/29/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
948,ORIENTAL CAFÉ,70419,8558 Lee Hwy,Fairfax,VA,22031,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/30/2008,,05/12/08,25," $ 2,000.00 ",,,,,
823,MIU KEE RESTAURANT,5574,6653 Arlington Blvd,Falls Church,VA,22042,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/16/2008,,03/26/08,25," $ 2,000.00 ",,,,,
358,7 ELEVEN STORE 2581 10678A,48437,7222 Arlington Blvd,Falls Church,VA,220421829,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/13/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
298,FAIRFAX TOWERS GROCERY,55935,2251 Pimmit Dr,Falls Church,VA,220432202,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/28/2007,,10/4/2007,25," $ 2,000.00 ",,,,,
627,SAFFRON GRILL,39211,1025 A Seneca Rd,Great Falls,VA,220661365,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/12/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
805,SUNOCO A PLUS #7671,36127,615 E Market St,Leesburg,VA,22075,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/6/2007,3/6/2008,03/26/08,," $ 4,500.00 ",3,,,,
349,RITE AID PHARMACY 2257,50014,7764 Gunston Plz,Lorton,VA,220791897,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/10/2007,,11/26/2007,25," $ 2,000.00 ",,,,,
325,TARGET STORE T 1416,45155,6600 Springfield Mall,Springfield,VA,221501712,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/10/2007,,10/25/2007,25," $ 2,000.00 ",,,,,
341,TRADER JOE'S #651,23596,6394 Old Keene Mill Rd,Springfield,VA,221503431,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/21/2007,,11/9/2007,25," $ 2,000.00 ",,,,,
819,EL GRANDE,42778,6901 Hechinger Dr,Springfield,VA,22151,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/13/2008,,03/26/08,25," $ 2,000.00 ",,,,,
383,EL TACO RICO,41992,18607 Jefferson Davis Hwy,Triangle,VA,22172,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/24/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
367,7 ELEVEN STORE 2581 10710,5880,2828 Gallows Rd,Vienna,VA,22180,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/13/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
758,ECKERD DRUGS #8219,19419,215 Maple Ave W,Vienna,VA,22180,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,5/20/2007,2/8/2008,03/17/08,25," $ 2,000.00 ",,,,,
285,TARA THAI RESTAURANT ,59873,226 Maple Ave W,Vienna,VA,221805607,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/17/2007,,9/26/2007,25," $ 2,000.00 ",,,,,
182,VIENNA DRUG CENTER,9036,150 Maple Ave W,Vienna,VA,221805776,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/20/2007,,7/9/2007,25," $ 2,000.00 ",,,,,
368,7 ELEVEN STORE 2581 10696,6608,1931 Old Gallows Rd,Vienna,VA,221823924,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/13/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
776,POTOMAC MILL COURTYARD INN,44236,14300 Crossing Pl,Woodbridge,VA,22192,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2007,,03/20/08,25," $ 2,000.00 ",,,,,
818,CARRABBAS ITALIAN GRILL,77147,13870 Fougler Sq,Woodbridge,VA,22192,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2007,,03/26/08,25," $ 2,000.00 ",,,,,
785,VFW POST 1503,53692,14631 Minnieville Rd,Dale City,VA ,22193,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2007,,03/20/08,25," $ 2,000.00 ",,,,,
329,MORTON'S OF CHICAGO,13675,1631 Crystal Sq Arcade,Arlington,VA,22202,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/20/2007,,11/5/2007,25," $ 2,000.00 ",,,,,
363,SINE,12636,1301 S Joyce St D 1,Arlington,VA,22202,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/20/2007,,11/29/2007,25," $ 2,000.00 ",,,,,
1017,HARRIS TEETER # 83,12601,1301 S Joyce St D1,Arlington,VA,22202,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/29/2008,,06/05/08,25," $ 2,000.00 ",,,,,
1055,CROWN PLAZA WASHINGTON NATIONAL AIRPORT,77947,1480 Crystal Dr,Arlington,VA,22202,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/29/2008,,06/18/08,25," $ 2,000.00 ",,,,,
227,7 ELEVEN STORE 2554 23242A,45692,3003 Columbia Pike,Arlington,VA,22204,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/21/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
1080,EXXON # 24533,14214,1001 S Glebe Rd,Arlington,VA,22204,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/12/2008,,06/30/08,25," $ 2,000.00 ",,,,,
989,7 ELEVEN STORE 2554 20407,24980,5122 Wilson Blvd,Arlington,VA,22205,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/30/2008,,05/15/08,25," $ 2,000.00 ",,,,,
653,APPLEBEE'S NEIGHBORHOOD GRILL ,19838,6310 Richmond Hwy,Alexandria,VA,22306,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/23/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
962,LUCKY'S SPORTS THEATRE & GRILL,48767,7027B Manchester Blvd,Alexandria,VA,22310,SOLD TO UAB,1,N,ALEXANDRIA,INITIAL HEARING,8/10/2007,4/8/2008,05/14/08,,,,,,Y,
582,SAFEWAY # 1285,58195,6130 Rose Hill Dr,Alexandria,VA,223101901,SOLD TO UAB,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,8/10/2007,12/28/2007,1/29/2008,," $ 5,000.00 ",3,,,,
918,BITTERSWEET CATERING,77155,823 King Street,Alexandria,VA,22314,SOLD TO UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/28/2008,,04/25/08,25," $ 2,000.00 ",,,,,
245,FAS MART # 2,26108,2515 Salem Church Rd,Fredericksburg,VA,2240,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
348,TEXAS STEAKHOUSE & SALOON,34507,1901 Carl D Sliver Blvd,Fredericksburg,VA,22401,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/24/2007,,11/26/2007,25," $ 2,000.00 ",,,,,
386,LATINO MARKET INTERNATIONAL FOOD,31371,2026 Plank Rd,Fredericksburg,VA,22401,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,10/17/2007,,12/7/2007,25," $ 2,000.00 ",,,,,
900,GREEK HOUSE OF PIZZA,74925,"215 King Hwy, Ste 105",Fredericksburg,VA,22405,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/13/2008,,04/21/08,25," $ 2,000.00 ",,,,,
321,CVS PHARMACY # 4335,29133,1 MC Whart Loop,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/19/2007,,10/25/2007,25," $ 2,000.00 ",,,,,
531,ANTHONY'S ITALIAN PIZZA & REST,41054,736 Warrenton Rd  Ste 105,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,5/3/2007,10/24/2007,1/4/2008,25," $ 2,000.00 ",,,,,
822,WAWA FOOD MARKETS # 668,9009,830 Warrenton Rd,Fredericksburg,VA,22406,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/13/2008,,03/26/08,25," $ 2,000.00 ",,,,,
246,TARGET STORE T 2138,45161,9785 Jefferson Davis Hwy,Fredericksburg,VA,22407,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
168,FAS MART # 32,26091,8520 Jefferson Davis Rd,Fredericksburg,VA,22407,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/4/2007,60," $ 5,000.00 ",15,,,,
862,GEORGE'S PIZZA,9268,5306 Plank Rd,Fredericksburg,VA,22407,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/5/2008,,04/08/08,25," $ 2,000.00 ",,,,,
248,CVS PHARMACY # 1568,86,5832 Harrison Rd,Fredericksburg,VA,224074202,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
571,7 ELEVEN STORE 2531 28434B,13482,11101 Leavells Rd,Fredericksburg,VA,224075015,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,9/19/2007,,1/15/2008,25," $ 2,000.00 ",,,,,
249,EXXON # 26885,14205,5326 Jefferson Davis Hwy,Fredericksburg,VA,22408,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,7/3/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
160,FIESTA SEVEN SUPERMARKET,40948,104 Olde Greenwich Dr,Fredericksburg,VA,22408,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/5/2007,12/4/2007,30," $ 3,000.00 ",10,,,,
681,HOOTERS OF FREDERICKSBURG,10830,10400 Spotsylvania Ave,Fredericksburg,VA,22408,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,4/23/2007,2/6/2008,2/14/2008,25," $ 5,000.00 ",,,,,
942,7 ELEVEN STORE 32910B,49944,4640 Lee Hill School Dr,Fredericksburg,VA,22408,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,2/5/2008,,05/12/08,25," $ 2,000.00 ",,,,,
526,TIDEWATER MARKET,42659,10721 Tidewater Trl,Fredericksburg,VA,224082050,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,7/3/2007,11/15/2007,1/4/2008,," $ 4,500.00 ",3,,,,
144,7 ELEVEN STORE 2531 23835C,12579,5206 Jefferson Davis Hwy,Fredericksburg,VA,224082606,SOLD TO UAB,1,Y,RICHMOND-NORTH,BOARD APPEAL HEARING,11/7/2007,10/2/2007,10/24/2007,," $ 4,000.00 ",7,,,,
139,7 ELEVEN STORE 2531 11134D,28668,2700 Lafayette Blvd,Fredericksburg,VA,224083918,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,7/3/2007,10/19/2007,11/8/2007,," $ 4,500.00 ",3,,,,
630,PIZZA HUT D4,22275,156 E Broaddus Ave,Bowling Green,VA,22427,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,10/23/2007,,1/30/2008,25," $ 2,000.00 ",,,,,
135,CALLAO SUPERMARKET,22360,35 Northumberland Hwy,Callao,VA,22435,SOLD TO UAB,1,Y,RICHMOND-NORTH,OFFER IN COMPROMISE,6/15/2007,9/7/2007,9/20/2007,," $ 4,500.00 ",3,,,,
234,HERBERT WILKERSON & SON,4784,3900 McKinney Blvd,Colonial Beach,VA,22443,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,8/13/2007,25," $ 2,000.00 ",,,,,
222,PIZZA HUT,60572,589 N Main St,Kilmarnock,VA,22482,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,7/30/2007,25," $ 2,000.00 ",,,,,
1059,SAL'S ITALIAN PIZZA,31494,456 N Main St,Kilmarnock,VA,22482,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,5/8/2008,,06/18/08,25," $ 2,000.00 ",,,,,
228,HUNAN CAFÉ,40466,17130 Dahlgren Rd,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,8/2/2007,25," $ 2,000.00 ",,,,,
581,KING GEORGE HOUSE OF PIZZA & REST,25436,11437 Ridge Rd,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,OFFER IN COMPROMISE,10/15/2007,1/9/2008,1/28/2008,," $ 1,500.00 ",,,,,
981,FAS MART 20,26127,8181 Kings Hwy,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,05/15/08,25," $ 2,000.00 ",,,,,
999,7 ELEVEN STORE 2531 20504C,39577,12450 James Madison Pky,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,6/4/2008,25," $ 2,000.00 ",,,,,
1019,FOOD LION 1582,9916,8149 Kings Hwy,King George,VA,22485,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,3/18/2008,,06/05/08,25," $ 2,000.00 ",,,,,
215,LEWISETTA MARINA & GROCERY STORE,48902,369 Church Ln,Lottsburg,VA,22511,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,6/15/2007,,7/26/2007,25," $ 2,000.00 ",,,,,
172,MT. HOLLY STEAMBOAT INN,17409,3673 Cople Hwy,Montross,VA,225203600,SOLD TO UAB,1,N,RICHMOND-NORTH,CONSENT SETTLEMENT,5/31/2007,,11/5/2007,7, $ 500.00 ,,,,,
163,PARTLOW MAEKET,12002,2976 Partlow Rd,Partlow,VA,225349572,SOLD TO UAB,1,Y,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/7/2007,30," $ 3,000.00 ",10,,,,
164,PARTLOW MARKET,12002,2976 Partlow Rd,Partlow,VA,225349572,SOLD TO UAB,1,N,RICHMOND-NORTH,INITIAL HEARING,7/3/2007,10/10/2007,12/7/2007,30," $ 3,000.00 ",10,,,,
