,,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City,Fire Dept. Incident Counts for Year 2008 by County/City
,Amherst Co.,3,,602,7,138,747,,
01101,Appomattox Vol. Fire Dept.,Appomattox Co.,2008,296,9,16,321,12,12
,Appomattox Co.,1,,296,9,16,321,,
01300,Arlington Co. Fire Dept.,Arlington Co.,2008,"23,089",4,"2,522","25,615",12,12
,Arlington Co.,1,,"23,089",4,"2,522","25,615",,
01502,Deerfield Valley Val. Fire Dept.,Augusta Co.,2008,124,0,2,126,12,12
01503,Middlebrook VFD,Augusta Co.,2008,271,0,6,277,12,12
01504,Churchville Vol. Fire Dept.,Augusta Co.,2008,229,1,37,267,9,9
01505,Weyers Cave Vol. Fire Dept.,Augusta Co.,2008,503,0,105,608,12,12
01506,Verona VFD,Augusta Co.,2008,763,1,25,789,12,12
01507,Stuarts Draft Vol. Fire Co.,Augusta Co.,2008,673,0,84,757,12,12
01508,Craigsville Vol. Fire Dept.,Augusta Co.,2008,156,0,4,160,12,12
01509,Dooms Vol. Fire Dept.,Augusta Co.,2008,676,5,60,741,12,12
01510,Augusta Co. Fire Dept.,Augusta Co.,2008,"1,011",2,278,"1,291",12,12
01511,Preston L. Yancey Vol. Fire Dept.,Augusta Co.,2008,815,0,56,871,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 3 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
01514,Swoope Vol. Fire Dept.,Augusta Co.,2008,292,0,67,359,12,12
01518,New Hope Vol. Fire Dept.,Augusta Co.,2008,192,0,37,229,12,12
01519,Wilson Vol. Fire Dept.,Augusta Co.,2008,194,0,98,292,12,12
01521,Mt. Solon Vol. Fire & Rescue,Augusta Co.,2008,250,0,12,262,12,12
,Augusta Co.,14,,"6,149",9,871,"7,029",,
01901,"Boonsboro Vol. Fire & Rescue Co., Inc.",Bedford Co.,2008,86,0,31,117,12,12
01902,Forest Vol. Fire Dept.,Bedford Co.,2008,447,0,113,560,12,12
01903,Hardy Vol. Fire Dept.,Bedford Co.,2008,46,0,22,68,12,12
01904,Huddleston Vol. Fire Dept. Inc.,Bedford Co.,2008,97,0,19,116,12,12
01905,Moneta Vol. Fire Dept.,Bedford Co.,2008,262,0,60,322,12,12
01907,Montvale VFD,Bedford Co.,2008,117,0,27,144,12,12
01908,Stewartsville-Chamblissburg VFD,Bedford Co.,2008,257,0,39,296,12,12
01910,Big Island Vol. Fire Dept.,Bedford Co.,2008,140,1,21,162,12,12
01911,"Saunders Vol. Fire Co., Inc.",Bedford Co.,2008,54,0,43,97,11,11
01912,Shady Grove Fire & Rescue Dept.,Bedford Co.,2008,178,0,11,189,12,12
,Bedford Co.,10,,"1,684",1,386,"2,071",,
02101,Bland Co. VFD,Bland Co.,2008,26,0,6,32,11,11
02102,Ceres Vol. Fire Dept.,Bland Co.,2008,5,0,1,6,4,9
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 4 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
02103,Rocky Gap Vol. Fire Dept.,Bland Co.,2008,14,0,0,14,8,11
02105,Hollybrook-Mechanicsburg VFD,Bland Co.,2008,7,0,1,8,3,3
02106,Little Creek Vol. Fire Dept.,Bland Co.,2008,4,0,1,5,4,11
,Bland Co.,5,,56,0,9,65,,
02301,Blue Ridge Vol. Fire & Rescue Inc.,Botetourt Co.,2008,128,2,39,169,12,12
02302,Troutville Vol. Fire Dept.,Botetourt Co.,2008,283,0,129,412,12,12
02303,Buchanan Vol. Fire Dept.,Botetourt Co.,2008,115,0,11,126,7,7
02305,Eagle Rock Vol. Fire Dept.,Botetourt Co.,2008,55,0,49,104,12,12
02306,Glen Wilton Vol. and Rescue Inc.,Botetourt Co.,2008,73,0,46,119,12,12
,Botetourt Co.,5,,654,2,274,930,,
02501,Alberta Vol. Fire Dept.,Brunswick Co.,2008,420,1,69,490,12,12
02502,Brodnax Vol. Fire Dept.,Brunswick Co.,2008,6,0,1,7,4,4
02503,Dolphin VFD,Brunswick Co.,2008,61,0,61,122,12,12
02504,Ebony VFD,Brunswick Co.,2008,9,0,2,11,6,6
02505,Gasburg VFD,Brunswick Co.,2008,20,0,15,35,9,9
02506,Lawrenceville Vol. Fire Dept.,Brunswick Co.,2008,375,0,44,419,12,12
02507,Triplet Vol. Fire Dept.,Brunswick Co.,2008,21,0,15,36,12,12
,Brunswick Co.,7,,912,1,207,"1,120",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 5 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
02701,Grundy Vol. Fire Dept.,Buchanan Co.,2008,37,0,0,37,6,6
02702,"Oakwood Vol. Fire Dept., Inc.",Buchanan Co.,2008,223,0,7,230,12,12
02703,Whitewood Vol. Fire Dept.,Buchanan Co.,2008,15,0,4,19,10,12
02704,Council Vol Fire Dept.,Buchanan Co.,2008,32,0,2,34,12,12
02706,Knox Creek Vol. Fire Dept.,Buchanan Co.,2008,60,0,0,60,12,12
02707,Russell Prater Fire Dept.,Buchanan Co.,2008,192,0,13,205,11,11
02708,Slate Creek Vol Fire Dept.,Buchanan Co.,2008,45,0,14,59,12,12
02709,Harman VFD,Buchanan Co.,2008,29,0,0,29,10,11
02710,Patterson Vol. Fire Dept.,Buchanan Co.,2008,3,0,0,3,2,2
,Buchanan Co.,9,,636,0,40,676,,
02901,Arvonia VFD,Buckingham Co.,2008,43,0,16,59,7,7
02902,Dillwyn Vol. Fire Dept.,Buckingham Co.,2008,159,0,1,160,12,12
02903,Glenmore Vol. Fire Dept.,Buckingham Co.,2008,16,0,4,20,7,7
02904,Toga Vol. Fire Dept.,Buckingham Co.,2008,1,0,0,1,1,1
,Buckingham Co.,4,,219,0,21,240,,
03110,Altavista Vol. Fire Dept.,Campbell Co.,2008,64,0,0,64,3,3
03111,Brookneal Vol. Fire Dept.,Campbell Co.,2008,110,0,11,121,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 6 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
03112,Brookville-Timberlake Vol. Fire Dept.,Campbell Co.,2008,406,0,50,456,12,12
03113,Concord Vol. Fire Dept.,Campbell Co.,2008,237,0,20,257,12,12
03114,Gladys Vol. Fire Dept. Inc.,Campbell Co.,2008,79,0,16,95,11,11
03115,Lyn-Dan Heights Vol Fire Dept.,Campbell Co.,2008,259,0,21,280,12,12
03116,Rustburg Vol. Fire Dept.,Campbell Co.,2008,202,0,11,213,12,12
03117,Evington Vol. Fire Dept.,Campbell Co.,2008,184,0,38,222,12,12
,Campbell Co.,8,,"1,541",0,167,"1,708",,
03302,Ladysmith Volunteeer Fire Co.,Caroline Co.,2008,551,0,48,599,9,9
03305,Frog Level VFD,Caroline Co.,2008,181,1,99,281,12,12
,Caroline Co.,2,,732,1,147,880,,
03501,Cana Vol. Fire Dept.,Carroll Co.,2008,199,0,31,230,12,12
03502,Hillsville Vol. Fire Dept.,Carroll Co.,2008,370,6,10,386,12,12
03503,Laurel Fork Vol. Fire Dept.,Carroll Co.,2008,75,0,18,93,12,12
,Carroll Co.,3,,644,6,59,709,,
03601,Charles City Vol. Fire Dept.,Charles City Co.,2008,189,0,1,190,12,12
,Charles City Co.,1,,189,0,1,190,,
03701,Bacon District VFD,Charlotte Co.,2008,100,0,22,122,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 7 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
03702,Charlotte Court House Vol Fire Dept.,Charlotte Co.,2008,31,0,13,44,12,12
03704,Drakes Branch Vol. Fire Dept.,Charlotte Co.,2008,29,0,20,49,12,12
03705,Keysville Vol Fire Dept.,Charlotte Co.,2008,2,0,0,2,1,1
03707,Red House Vol. Fire Dept.,Charlotte Co.,2008,43,0,6,49,12,12
,Charlotte Co.,5,,205,0,61,266,,
04100,Chesterfield Fire Dept.,Chesterfield Co.,2008,"30,312",41,90,"30,443",12,12
,Chesterfield Co.,1,,"30,312",41,90,"30,443",,
04301,John H. Enders VFD,Clarke Co.,2008,169,0,79,248,12,12
04304,"Boyce Vol. Fire Co., Inc.",Clarke Co.,2008,244,0,176,420,12,12
04306,Shenandoah Farms VFD,Clarke Co.,2008,160,0,68,228,12,12
04308,Blue Ridge Vol. Fire/Rescue Co.,Clarke Co.,2008,183,0,169,352,12,12
,Clarke Co.,4,,756,0,492,"1,248",,
04502,Paint Bank Vol. Fire Dept.,Craig Co.,2008,34,0,6,40,12,12
04503,Simmonsville VFD,Craig Co.,2008,40,0,2,42,12,12
04504,New Castle Vol. Fire Dept.,Craig Co.,2008,83,0,0,83,12,12
,Craig Co.,3,,157,0,8,165,,
04701,Brandy Station VFD,Culpeper Co.,2008,76,0,46,122,3,3
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 8 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
04702,Culpeper Co. VFD,Culpeper Co.,2008,759,2,71,832,12,12
04703,Richardsville VFD,Culpeper Co.,2008,68,0,19,87,12,12
04704,Salem Vol. Fire/Rescue,Culpeper Co.,2008,64,0,58,122,6,6
04706,Little Fork VFD & Rescue Co.,Culpeper Co.,2008,181,0,40,221,12,12
04707,Reva Vol. Fire & Rescue Dept.,Culpeper Co.,2008,158,0,62,220,11,11
,Culpeper Co.,6,,"1,306",2,296,"1,604",,
04901,Cartersville VFD,Cumberland Co.,2008,40,0,9,49,12,12
04902,Cumberland VFD,Cumberland Co.,2008,50,0,4,54,11,11
04903,Randolph District Vol. Fire Dept.,Cumberland Co.,2008,4,0,0,4,2,2
,Cumberland Co.,3,,94,0,13,107,,
05101,Clintwood Vol. Fire Dept.,Dickenson Co.,2008,205,0,13,218,12,12
05102,Haysi Vol Fire Dept.,Dickenson Co.,2008,96,0,8,104,7,7
05103,Clincho VFD,Dickenson Co.,2008,42,0,39,81,11,11
,Dickenson Co.,3,,343,0,60,403,,
05300,Dinwiddie Co. Fire & EMS,Dinwiddie Co.,2008,21,0,23,44,12,12
05301,Dinwiddie Vol. Fire & EMS Company 1,Dinwiddie Co.,2008,671,0,166,837,12,12
05302,Ford Vol. Fire Dept.,Dinwiddie Co.,2008,392,0,40,432,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 9 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
05303,McKenney Vol. Fire Dept.,Dinwiddie Co.,2008,137,0,1,138,10,10
05304,Namozine Vol. Fire & Resc Dept.,Dinwiddie Co.,2008,854,10,80,944,12,12
05305,Old Hickory Vol. Fire Dept.,Dinwiddie Co.,2008,48,0,50,98,12,12
,Dinwiddie Co.,6,,"2,123",10,360,"2,493",,
05701,Tappahannock-Essex Vol. Fire Dept.,Essex Co.,2008,249,5,7,261,12,12
,Essex Co.,1,,249,5,7,261,,
05900,Fairfax Co. Fire & Resc. Dept.,Fairfax Co.,2008,"78,891",28,"3,680","82,599",12,12
,Fairfax Co.,1,,"78,891",28,"3,680","82,599",,
06100,Fauquier Dept. of Fire & Emerg.,Fauquier Co.,2008,131,0,37,168,12,12
06101,Warrenton Vol. Fire Co.,Fauquier Co.,2008,921,0,156,"1,077",12,12
06102,Remington Vol. Fire & Rescue Dept.,Fauquier Co.,2008,423,0,19,442,12,12
06103,Marshall Vol. Fire Dept.,Fauquier Co.,2008,431,1,21,453,12,12
06104,The Plains Volunteer Fire Co.,Fauquier Co.,2008,119,0,0,119,9,9
06107,Catlett Vol. Fire Dept.,Fauquier Co.,2008,34,0,0,34,6,6
06108,Goldvein Vol. Fire Dept.,Fauquier Co.,2008,50,0,5,55,9,9
06110,New Baltimore Vol. Fire & Rescue,Fauquier Co.,2008,2,0,0,2,1,1
06111,Orlean Vol. Fire Dept.,Fauquier Co.,2008,89,0,10,99,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 10 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
06113,Lois VFD,Fauquier Co.,2008,386,0,86,472,12,12
,Fauquier Co.,10,,"2,586",1,334,"2,921",,
06301,Floyd Co. Vol. Fire Dept. #1,Floyd Co.,2008,148,1,14,163,12,12
06302,Floyd Co. Vol. Fire Dept. #2,Floyd Co.,2008,72,0,36,108,12,12
06303,Floyd Co. Vol. Fire Dept. #3,Floyd Co.,2008,101,0,10,111,12,12
06304,Floyd Co. Vol. Fire Dept. #4,Floyd Co.,2008,39,0,12,51,12,12
,Floyd Co.,4,,360,1,72,433,,
06700,Franklin Co. Public Safety,Franklin Co.,2008,152,1,57,210,9,9
06701,Boones Mill Vol. Fire Dept.,Franklin Co.,2008,159,1,0,160,12,12
06702,Burnt Chimney VFD,Franklin Co.,2008,65,0,69,134,11,11
06703,Callaway VFD,Franklin Co.,2008,16,0,5,21,3,3
06704,Ferrum VFD,Franklin Co.,2008,102,0,19,121,12,12
06705,Fork Mountain VFD,Franklin Co.,2008,30,0,41,71,12,12
06706,Glade Hill VFD,Franklin Co.,2008,73,0,51,124,12,12
06707,Rocky Mount Vol Fire Dept.,Franklin Co.,2008,303,1,8,312,12,12
06708,Scruggs VFD,Franklin Co.,2008,128,0,22,150,12,12
06709,Smith Mountain Lake Marine VFD,Franklin Co.,2008,225,0,68,293,12,12
06710,Snow Creek VFD,Franklin Co.,2008,48,0,14,62,12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 11 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
,Franklin Co.,11,,"1,301",3,354,"1,658",,
06900,Frederick Co. Fire & Rescue,Frederick Co.,2008,631,0,448,"1,079",12,12
06911,Stephens City Fire Dept.,Frederick Co.,2008,"1,909",2,105,"2,016",12,12
06912,Middletown Vol. Fire & Rescue,Frederick Co.,2008,326,0,507,833,12,12
06913,Clear Brook Vol. Fire Dept.,Frederick Co.,2008,857,0,131,988,12,12
06914,Gore Vol. Fire Dept.,Frederick Co.,2008,137,0,105,242,12,12
06915,"Round Hill Community Fire Co., Inc.",Frederick Co.,2008,859,0,281,"1,140",12,12
06916,Gainesboro Vol. Fire Dept.,Frederick Co.,2008,400,0,310,710,12,12
06917,Star Tannery Vol. Fire Dept.,Frederick Co.,2008,57,0,20,77,11,11
06918,Greenwood Vol. Fire & Rescue Co.,Frederick Co.,2008,"1,530",1,370,"1,901",12,12
06919,North Mountain Vol. Fire Dept.,Frederick Co.,2008,165,0,54,219,12,12
06920,Reynolds Store VFD,Frederick Co.,2008,150,0,91,241,12,12
06921,Millwood Station Fire & Rescue,Frederick Co.,2008,567,0,477,"1,044",12,12
,Frederick Co.,12,,"7,588",3,"2,899","10,490",,
07110,Eggleston Vol. Fire Dept.,Giles Co.,2008,53,0,13,66,12,12
07120,Glen Lyn Vol. Fire Dept.,Giles Co.,2008,58,0,2,60,2,2
07130,Narrows Vol Fire Dept.,Giles Co.,2008,78,0,1,79,12,12
07140,Newport Vol. Fire Dept.,Giles Co.,2008,11,0,4,15,4,4
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 12 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
07160,Pembroke Vol. Fire Dept.,Giles Co.,2008,66,0,8,74,11,11
07170,Poplar Hill Vol. Fire Dept.,Giles Co.,2008,17,0,0,17,6,6
07180,Rich Creek Vol. Fire Dept.,Giles Co.,2008,30,0,10,40,11,12
,Giles Co.,7,,313,0,38,351,,
07301,Abingdon Vol. Fire & Rescue Inc.,Gloucester Co.,2008,"1,139",2,20,"1,161",12,12
07310,Gloucester Vol. Fire & Rescue,Gloucester Co.,2008,663,0,18,681,12,12
,Gloucester Co.,2,,"1,802",2,38,"1,842",,
07500,Goochland Co. Fire Rescue Dept.,Goochland Co.,2008,264,0,30,294,12,12
,Goochland Co.,1,,264,0,30,294,,
07701,Elk Creek VFD,Grayson Co.,2008,14,0,3,17,7,7
07702,Fries Vol. Fire Dept.,Grayson Co.,2008,15,0,0,15,3,3
07703,Independence Vol. Fire Dept.,Grayson Co.,2008,94,0,2,96,12,12
07706,Rugby Fire Dept.,Grayson Co.,2008,35,0,6,41,11,11
,Grayson Co.,4,,158,0,11,169,,
07901,Ruckersville Vol. Fire Co.,Greene Co.,2008,451,0,82,533,12,12
07903,Dyke Vol Fire Co. Inc.,Greene Co.,2008,42,0,95,137,12,12
,Greene Co.,2,,493,0,177,670,,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 13 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
08301,Clover Vol Fire Dept.,Halifax Co.,2008,124,0,8,132,12,12
08302,Cluster Springs Vol. Fire Dept.,Halifax Co.,2008,152,0,7,159,12,12
08303,Halifax Vol Fire Dept.,Halifax Co.,2008,311,0,41,352,12,12
08304,Liberty VFD,Halifax Co.,2008,9,0,1,10,4,4
08305,Midway Vol. Fire Dept.,Halifax Co.,2008,1,0,0,1,1,1
08306,North Halifax Fire Dept.,Halifax Co.,2008,346,0,33,379,11,11
08308,Scottsburg Vol. Fire Dept.,Halifax Co.,2008,10,0,2,12,5,5
08309,Triangle Vol. Fire Dept.,Halifax Co.,2008,92,0,8,100,12,12
08310,Turbeville Vol. Fire Dept.,Halifax Co.,2008,180,0,11,191,12,12
08311,Virgilina Vol. Fire Dept.,Halifax Co.,2008,189,0,12,201,12,12
,Halifax Co.,10,,"1,414",0,123,"1,537",,
08501,Ashland VFD,Hanover Co.,2008,"1,513",0,152,"1,665",12,12
08502,Beaverdam VFD,Hanover Co.,2008,222,0,43,265,12,12
08503,Eastern Hanover VFD,Hanover Co.,2008,642,0,223,865,12,12
08504,Doswell VFD,Hanover Co.,2008,434,0,113,547,12,12
08505,Hanover Court House Vol. Fire Dept.,Hanover Co.,2008,220,0,186,406,12,12
08506,Henry VFD,Hanover Co.,2008,"1,119",0,197,"1,316",12,12
08507,Mechanicsville VFD,Hanover Co.,2008,"1,943",0,206,"2,149",12,12
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 14 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
08508,Montpelier VFD,Hanover Co.,2008,555,0,61,616,12,12
08509,Rockville VFD,Hanover Co.,2008,238,0,46,284,11,11
08510,Chickahominy VFD,Hanover Co.,2008,748,0,210,958,11,11
08511,Farrington VFD,Hanover Co.,2008,374,0,64,438,12,12
08512,Black Creek VFD,Hanover Co.,2008,262,0,198,460,12,12
,Hanover Co.,12,,"8,270",0,"1,699","9,969",,
08700,Henrico Co. Division of Fire,Henrico Co.,2008,"37,498",31,187,"37,716",12,12
,Henrico Co.,1,,"37,498",31,187,"37,716",,
08900,Henry County Public Safety,Henry Co.,2008,1,0,40,41,11,11
08901,Axton Vol. Fire Dept.,Henry Co.,2008,108,0,27,135,12,12
08902,Bassett Vol. Fire Dept.,Henry Co.,2008,216,0,23,239,12,12
08903,Collinsville Vol. Fire Dept.,Henry Co.,2008,299,0,34,333,12,12
08904,Dyer's Store Vol. Fire Dept.,Henry Co.,2008,45,0,7,52,12,12
08905,Fieldale Vol. Fire Dept.,Henry Co.,2008,75,0,13,88,11,11
08906,Horsepasture Dist. Vol. Dept.,Henry Co.,2008,102,0,20,122,12,12
08908,Ridgeway District Vol. Fire Dept.,Henry Co.,2008,345,0,26,371,12,12
,Henry Co.,8,,"1,191",0,190,"1,381",,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 15 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
09301,Carrollton Vol. Fire Dept.,Isle of Wight Co.,2008,841,0,31,872,12,12
09303,Smithfield Vol. Fire Dept. Inc.,Isle of Wight Co.,2008,581,0,28,609,12,12
09305,Rushmere Vol. Fire Dept.,Isle of Wight Co.,2008,45,0,44,89,12,12
,Isle of Wight Co.,3,,"1,467",0,103,"1,570",,
09500,James City Co. Fire Dept.,James City Co.,2008,"7,595",6,671,"8,272",12,12
,James City Co.,1,,"7,595",6,671,"8,272",,
09702,Lower King & Queen Vol. Fire Dept.,King & Queen Co.,2008,72,0,13,85,12,12
,King & Queen Co.,1,,72,0,13,85,,
09900,"King George Fire & Rescue, Inc.",King George Co.,2008,992,5,68,"1,065",12,12
,King George Co.,1,,992,5,68,"1,065",,
10101,King William VFD,King William Co.,2008,5,0,2,7,3,3
10103,West Point Vol. Fire Dept.,King William Co.,2008,206,0,1,207,3,3
10104,"Mangohick Vol. Fire Dept., Inc.",King William Co.,2008,35,0,4,39,11,11
,King William Co.,3,,246,0,7,253,,
10308,Kilmarnock Vol. Fire Dept.,Lancaster Co.,2008,4,1,0,5,1,1
,Lancaster Co.,1,,4,1,0,5,,
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,-- as of 04/07/2009: Preliminary Data,-- as of 04/07/2009: Preliminary Data,,,,,,Page 16 of 37
Year,2008,,,,,,,,
FDID,Organization,Location,Year,Inc.,Exp.,Aid Given,Total Calls,Act. Mon.,Rpt. Months
10501,Jonesville Vol. Fire Dept.,Lee Co.,2008,53,0,1,54,12,12
10502,Keokee VFD,Lee Co.,2008,1,0,0,1,1,1
10503,Pennington Gap Vol. Fire Dept.,Lee Co.,2008,73,0,14,87,12,12
10504,Thomas Walker VFD #1,Lee Co.,2008,43,0,3,46,12,13
10505,Dryden VFD,Lee Co.,2008,25,0,7,32,12,12
10508,Thomas Walker Vol. Fire Dept. #2,Lee Co.,2008,10,0,9,19,8,11
10511,Blackwater VFD,Lee Co.,2008,13,0,0,13,5,7
10512,Jasper VFD,Lee Co.,2008,11,0,2,13,5,5
,Lee Co.,8,,229,0,36,265,,
10701,Leesburg Vol. Fire Dept.,Loudoun Co.,2008,"2,012",0,74,"2,086",12,12
10702,Purcellville Vol. Fire Dept.,Loudoun Co.,2008,414,0,104,518,10,10
