S0503: SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: EUROPE ,,,,,,,,,,,,
2010-2012 American Community Survey 3-Year Estimates,,,,,,,,,,,,
  Two or more races,,,3.6%,,,+/-0.3,1.5%,+/-0.4,1.4%,+/-0.5,1.6%,+/-0.7
,,,,,,,,,,,,
Hispanic or Latino origin (of any race),,,33.6%,,,+/-0.4,3.0%,+/-0.6,0.7%,+/-0.3,5.8%,+/-1.4
"White alone, not Hispanic or Latino",,,19.3%,,,+/-0.5,92.0%,+/-0.9,92.1%,+/-1.1,91.8%,+/-1.6
,,,,,,,,,,,,
HOUSEHOLD TYPE,,,,,,,,,,,,
  In married-couple family,,,65.5%,,,+/-0.9,68.6%,+/-1.8,65.3%,+/-2.1,72.5%,+/-2.9
  In other households,,,33.0%,,,+/-0.9,29.3%,+/-1.8,32.5%,+/-2.0,25.5%,+/-2.9
,,,,,,,,,,,,
Average household size,,,3.38,,,+/-0.03,2.39,+/-0.06,2.24,+/-0.07,2.63,+/-0.12
Average family size,,,3.75,,,+/-0.04,3.07,+/-0.07,2.96,+/-0.08,3.21,+/-0.11
,,,,,,,,,,,,
MARITAL STATUS,,,,,,,,,,,,
    Population 15 years and over,,,"878,811",,,"+/-8,685","96,491","+/-3,491","53,085","+/-2,537","43,153","+/-2,485"
  Never married,,,26.0%,,,+/-0.6,16.0%,+/-1.2,14.5%,+/-1.4,17.9%,+/-2.0
"  Now married, except separated",,,60.9%,,,+/-0.7,62.8%,+/-1.8,61.2%,+/-2.0,64.9%,+/-2.7
  Divorced or separated,,,9.0%,,,+/-0.4,12.3%,+/-1.2,13.1%,+/-1.3,11.1%,+/-1.9
  Widowed,,,4.1%,,,+/-0.2,8.9%,+/-0.9,11.3%,+/-1.2,6.1%,+/-1.1
,,,,,,,,,,,,
SCHOOL ENROLLMENT,,,,,,,,,,,,
    Population 3 years and over enrolled in school,,,"154,488",,,"+/-5,249","16,637","+/-1,589","6,606",+/-887,"9,957","+/-1,203"
"  Nursery school, preschool",,,1.5%,,,+/-0.3,2.2%,+/-1.1,1.9%,+/-1.5,2.4%,+/-1.6
  Elementary school (grades K-8),,,23.2%,,,+/-1.2,27.5%,+/-3.0,26.6%,+/-5.0,28.3%,+/-3.8
  High school (grades 9-12),,,19.8%,,,+/-1.0,16.7%,+/-2.7,15.2%,+/-4.4,17.8%,+/-4.1
  College or graduate school,,,55.5%,,,+/-1.6,53.7%,+/-4.7,56.3%,+/-6.4,51.6%,+/-6.1
,,,,,,,,,,,,
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
    Population 25 years and over,,,"777,756",,,"+/-7,390","87,606","+/-3,194","49,316","+/-2,325","38,037","+/-2,218"
  Less than high school graduate,,,20.0%,,,+/-0.6,7.6%,+/-0.8,6.1%,+/-0.9,9.6%,+/-1.4
  High school graduate (includes equivalency),,,19.8%,,,+/-0.6,18.7%,+/-1.3,19.0%,+/-1.5,18.5%,+/-2.4
  Some college or associate's degree,,,20.5%,,,+/-0.6,24.8%,+/-1.3,29.0%,+/-1.7,19.3%,+/-2.1
  Bachelor's degree,,,21.5%,,,+/-0.5,20.9%,+/-1.3,21.0%,+/-1.6,20.9%,+/-2.0
  Graduate or professional degree,,,18.1%,,,+/-0.5,28.0%,+/-1.7,24.9%,+/-2.0,31.7%,+/-2.9
,,,,,,,,,,,,
LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,,,,,,,,,,,,
    Population 5 years and over,,,"918,660",,,"+/-9,731","101,540","+/-3,793","54,896","+/-2,695","46,391","+/-2,732"
  English only,,,16.2%,,,+/-0.4,42.6%,+/-1.6,60.3%,+/-1.9,21.7%,+/-2.0
    Language other than English,,,83.8%,,,+/-0.4,57.4%,+/-1.6,39.7%,+/-1.9,78.3%,+/-2.0
"    Speak English less than ""very well""",,,41.1%,,,+/-0.7,16.3%,+/-1.4,7.1%,+/-1.2,27.3%,+/-2.4
,,,,,,,,,,,,
EMPLOYMENT STATUS,,,,,,,,,,,,
    Population 16 years and over,,,"872,390",,,"+/-8,526","95,686","+/-3,441","52,740","+/-2,501","42,693","+/-2,431"
  In labor force,,,73.6%,,,+/-0.4,61.0%,+/-1.5,57.2%,+/-2.0,65.7%,+/-2.2
    Civilian labor force,,,73.0%,,,+/-0.5,60.4%,+/-1.5,56.6%,+/-2.0,65.1%,+/-2.3
      Employed,,,68.3%,,,+/-0.5,57.6%,+/-1.5,54.1%,+/-2.2,61.9%,+/-2.2
      Unemployed,,,4.7%,,,+/-0.3,2.8%,+/-0.5,2.4%,+/-0.7,3.2%,+/-0.7
        Percent of civilian labor force,,,6.4%,,,+/-0.4,4.6%,+/-0.8,4.3%,+/-1.3,4.9%,+/-1.0
    Armed Forces,,,0.6%,,,+/-0.1,0.7%,+/-0.3,0.6%,+/-0.3,0.7%,+/-0.4
  Not in labor force,,,26.4%,,,+/-0.4,39.0%,+/-1.5,42.8%,+/-2.0,34.3%,+/-2.2
,,,,,,,,,,,,
Civilian employed population 16 years and over,,,"596,155",,,"+/-7,074","55,145","+/-2,642","28,555","+/-1,917","26,419","+/-1,827"
CLASS OF WORKER,,,,,,,,,,,,
  Private wage and salary workers,,,80.4%,,,+/-0.6,72.2%,+/-1.6,70.7%,+/-2.3,73.8%,+/-2.5
  Government workers,,,13.2%,,,+/-0.5,21.3%,+/-1.7,22.5%,+/-2.5,20.2%,+/-2.5
  Self-employed workers in own not incorporated business,,,6.3%,,,+/-0.3,6.3%,+/-1.1,6.5%,+/-1.2,5.8%,+/-1.6
  Unpaid family workers,,,0.2%,,,+/-0.1,0.3%,+/-0.2,0.2%,+/-0.3,0.3%,+/-0.2
,,,,,,,,,,,,
OCCUPATION,,,,,,,,,,,,
"  Management, business, science, and arts occupations",,,37.0%,,,+/-0.7,56.1%,+/-2.0,58.3%,+/-2.6,53.8%,+/-3.6
  Service occupations,,,23.9%,,,+/-0.7,11.9%,+/-1.3,11.8%,+/-1.8,12.0%,+/-1.9
  Sales and office occupations,,,18.4%,,,+/-0.5,20.6%,+/-1.7,22.2%,+/-2.3,18.7%,+/-2.7
"  Natural resources, construction, and maintenance occupations",,,11.7%,,,+/-0.5,5.6%,+/-1.2,3.7%,+/-1.1,7.7%,+/-2.1
"  Production, transportation, and material moving occupations",,,9.1%,,,+/-0.5,5.8%,+/-0.8,4.0%,+/-1.0,7.8%,+/-1.6
,,,,,,,,,,,,
INDUSTRY,,,,,,,,,,,,
"  Agriculture, forestry, fishing and hunting, and mining",,,0.9%,,,+/-0.1,0.7%,+/-0.3,1.1%,+/-0.5,0.3%,+/-0.3
  Construction,,,10.2%,,,+/-0.4,5.3%,+/-1.0,3.5%,+/-1.0,7.3%,+/-1.9
  Manufacturing,,,4.8%,,,+/-0.3,7.0%,+/-1.0,6.5%,+/-1.2,7.5%,+/-1.6
  Wholesale trade,,,1.4%,,,+/-0.2,1.7%,+/-0.5,2.1%,+/-0.8,1.3%,+/-0.7
  Retail trade,,,10.6%,,,+/-0.4,9.7%,+/-1.2,9.1%,+/-1.5,10.2%,+/-2.2
"  Transportation and warehousing, and utilities",,,3.9%,,,+/-0.3,3.7%,+/-0.8,4.1%,+/-1.1,3.3%,+/-1.0
  Information,,,2.3%,,,+/-0.2,3.2%,+/-0.8,3.5%,+/-0.9,2.8%,+/-1.4
"  Finance and insurance, and real estate and rental and leasing",,,5.8%,,,+/-0.3,6.6%,+/-1.0,5.9%,+/-1.3,7.3%,+/-1.6
"  Professional, scientific, and management, and administrative and waste management services",,,17.2%,,,+/-0.5,17.4%,+/-1.7,17.4%,+/-1.8,17.2%,+/-2.5
"  Educational services, and health care and social assistance",,,17.2%,,,+/-0.5,21.5%,+/-1.7,21.2%,+/-2.1,21.8%,+/-2.8
"  Arts, entertainment, and recreation, and accommodation and food services",,,12.7%,,,+/-0.5,7.8%,+/-1.1,7.0%,+/-1.3,8.6%,+/-1.8
  Other services (except public administration),,,7.1%,,,+/-0.3,5.8%,+/-0.8,6.6%,+/-1.3,5.0%,+/-1.1
  Public administration,,,5.9%,,,+/-0.3,9.8%,+/-1.3,12.0%,+/-2.1,7.4%,+/-1.6
,,,,,,,,,,,,
"EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS",,,,,,,,,,,,
    Population 16 years and over with earnings,,,"437,229",,,"+/-6,046","40,977","+/-2,245","20,903","+/-1,581","20,009","+/-1,630"
"  $1 to $9,999 or loss",,,1.6%,,,+/-0.2,0.9%,+/-0.3,1.0%,+/-0.5,0.8%,+/-0.4
"  $10,000 to $14,999",,,4.5%,,,+/-0.4,1.8%,+/-0.6,1.7%,+/-0.9,2.0%,+/-0.8
"  $15,000 to $24,999",,,17.9%,,,+/-0.8,8.1%,+/-1.3,6.3%,+/-1.3,10.0%,+/-2.4
"  $25,000 to $34,999",,,17.3%,,,+/-0.7,11.1%,+/-1.5,10.5%,+/-2.0,11.7%,+/-1.9
"  $35,000 to $49,999",,,16.6%,,,+/-0.6,18.1%,+/-2.1,13.2%,+/-2.2,22.8%,+/-3.4
"  $50,000 to $74,999",,,16.9%,,,+/-0.6,20.3%,+/-1.8,21.9%,+/-2.8,18.8%,+/-2.7
"  $75,000 or more",,,25.2%,,,+/-0.6,39.8%,+/-2.0,45.5%,+/-2.8,33.9%,+/-3.2
,,,,,,,,,,,,
"Median earnings (dollars) for full-time, year-round workers:",,,,,,,,,,,,
  Male,,,"44,396",,,"+/-1,295","80,646","+/-4,381","91,007","+/-4,583","68,810","+/-9,840"
  Female,,,"37,848",,,"+/-1,393","47,478","+/-3,531","51,728","+/-2,841","45,128","+/-3,582"
,,,,,,,,,,,,
INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,
    Households,,,"347,083",,,"+/-4,462","45,059","+/-2,166","26,985","+/-1,700","17,943","+/-1,342"
  With earnings,,,91.5%,,,+/-0.4,79.2%,+/-1.6,76.1%,+/-2.1,83.8%,+/-2.3
    Mean earnings (dollars),,,"90,598",,,"+/-1,448","101,985","+/-3,666","102,272","+/-4,797","101,929","+/-6,484"
  With Social Security income,,,13.6%,,,+/-0.4,30.1%,+/-1.9,33.4%,+/-2.6,25.3%,+/-2.6
    Mean Social Security income (dollars),,,"15,085",,,+/-366,"16,885",+/-713,"16,681",+/-841,"17,298","+/-1,488"
  With Supplemental Security Income,,,2.3%,,,+/-0.3,2.3%,+/-0.6,1.6%,+/-0.5,3.4%,+/-1.5
    Mean Supplemental Security Income (dollars),,,"7,823",,,+/-461,"8,757","+/-1,478","10,772","+/-2,496","7,334","+/-1,716"
  With cash public assistance income,,,1.7%,,,+/-0.2,1.0%,+/-0.4,1.3%,+/-0.5,0.7%,+/-0.5
    Mean cash public assistance income (dollars),,,"3,509",,,+/-485,"5,077","+/-2,044","6,048","+/-2,535","2,405","+/-1,326"
  With retirement income,,,8.5%,,,+/-0.4,22.2%,+/-1.9,28.0%,+/-2.6,13.5%,+/-2.2
    Mean retirement income (dollars),,,"26,861",,,"+/-1,137","29,730","+/-2,590","30,246","+/-2,915","27,941","+/-5,104"
  With Food Stamp/SNAP benefits,,,8.0%,,,+/-0.5,3.9%,+/-0.9,2.3%,+/-0.7,6.3%,+/-1.9
,,,,,,,,,,,,
Median Household income (dollars),,,"68,372",,,"+/-1,262","75,805","+/-4,997","76,095","+/-4,895","75,233","+/-9,873"
Average number of workers per household,,,1.70,,,+/-0.02,1.17,+/-0.04,1.08,+/-0.05,1.32,+/-0.07
,,,,,,,,,,,,
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,,,
    Population for whom poverty status is determined,,,"911,664",,,"+/-9,656","100,286","+/-3,800","54,170","+/-2,683","45,863","+/-2,704"
  Below 100 percent of the poverty level,,,11.8%,,,+/-0.6,6.1%,+/-0.9,6.2%,+/-1.0,6.0%,+/-1.5
  100 to 199 percent of the poverty level,,,18.4%,,,+/-0.7,10.5%,+/-1.3,9.0%,+/-1.3,12.4%,+/-2.4
  At or above 200 percent of the poverty level,,,69.8%,,,+/-0.9,83.4%,+/-1.6,84.8%,+/-1.5,81.6%,+/-2.8
,,,,,,,,,,,,
POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED,,,,,,,,,,,,
  All families,,,9.8%,,,+/-0.7,3.0%,+/-1.2,2.8%,+/-1.4,3.3%,+/-1.8
    With related children under 18 years,,,12.4%,,,+/-1.0,3.1%,+/-1.8,5.0%,+/-3.2,0.9%,+/-0.8
      With related children under 5 years only,,,10.6%,,,+/-1.7,3.1%,+/-2.7,6.0%,+/-5.1,N,N
  Married-couple family,,,6.4%,,,+/-0.6,1.8%,+/-0.8,0.8%,+/-0.6,2.9%,+/-1.6
    With related children under 18 years,,,7.7%,,,+/-0.8,0.7%,+/-0.6,N,N,N,N
      With related children under 5 years only,,,5.4%,,,+/-1.4,N,N,N,N,N,N
"  Female householder, no husband present, family",,,25.5%,,,+/-2.5,11.0%,+/-6.2,12.1%,+/-7.6,N,N
    With related children under 18 years,,,33.1%,,,+/-3.5,14.1%,+/-8.8,18.7%,+/-12.2,N,N
      With related children under 5 years only,,,33.4%,,,+/-7.0,14.3%,+/-13.6,18.4%,+/-18.1,N,N
,,,,,,,,,,,,
Occupied housing units,,,"347,083",,,"+/-4,462","45,059","+/-2,166","26,985","+/-1,700","17,943","+/-1,342"
HOUSING TENURE,,,,,,,,,,,,
  Owner-occupied housing units,,,56.1%,,,+/-0.7,68.9%,+/-2.1,71.0%,+/-2.6,65.7%,+/-3.7
  Renter-occupied housing units,,,43.9%,,,+/-0.7,31.1%,+/-2.1,29.0%,+/-2.6,34.3%,+/-3.7
,,,,,,,,,,,,
Average household size of owner-occupied unit,,,3.47,,,+/-0.04,2.51,+/-0.07,2.31,+/-0.08,2.84,+/-0.15
Average household size of renter-occupied unit,,,3.27,,,+/-0.05,2.13,+/-0.10,2.08,+/-0.11,2.21,+/-0.17
,,,,,,,,,,,,
ROOMS,,,,,,,,,,,,
  1 room,,,1.2%,,,+/-0.2,0.9%,+/-0.5,1.1%,+/-0.7,0.8%,+/-0.6
  2 or 3 rooms,,,14.6%,,,+/-0.6,12.9%,+/-1.5,10.6%,+/-1.7,16.5%,+/-2.9
  4 or 5 rooms,,,34.4%,,,+/-0.8,26.3%,+/-1.9,24.4%,+/-2.6,29.0%,+/-3.1
  6 or 7 rooms,,,24.8%,,,+/-0.8,27.1%,+/-1.5,28.0%,+/-2.1,25.7%,+/-2.9
  8 or more rooms,,,25.0%,,,+/-0.6,32.7%,+/-1.7,36.0%,+/-2.3,28.0%,+/-2.6
,,,,,,,,,,,,
Median number of rooms,,,5.5,,,+/-0.1,6.1,+/-0.2,6.4,+/-0.2,5.8,+/-0.3
1.01 or more occupants per room,,,7.7%,,,+/-0.5,1.9%,+/-0.6,1.0%,+/-0.6,3.3%,+/-1.2
,,,,,,,,,,,,
VEHICLES AVAILABLE,,,,,,,,,,,,
  None,,,6.5%,,,+/-0.4,6.3%,+/-1.1,5.6%,+/-1.3,7.5%,+/-2.1
  1 or more,,,93.5%,,,+/-0.4,93.7%,+/-1.1,94.4%,+/-1.3,92.5%,+/-2.1
,,,,,,,,,,,,
SELECTED CHARACTERISTICS,,,,,,,,,,,,
  No telephone service available,,,2.2%,,,+/-0.2,1.7%,+/-0.6,1.6%,+/-0.7,1.5%,+/-0.9
"  Households with no one age 14 and over who speaks English only or speaks English ""very well""",,,21.3%,,,+/-0.7,7.8%,+/-1.4,3.4%,+/-0.9,14.4%,+/-3.1
,,,,,,,,,,,,
Owner-occupied housing units,,,"194,884",,,"+/-3,162","31,031","+/-1,700","19,164","+/-1,389","11,787","+/-1,031"
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,
  Less than 30 percent,,,60.5%,,,+/-1.0,69.9%,+/-2.2,70.6%,+/-2.8,69.0%,+/-3.5
  30 percent or more,,,39.5%,,,+/-1.0,30.1%,+/-2.2,29.4%,+/-2.8,31.0%,+/-3.5
,,,,,,,,,,,,
Renter-occupied housing units,,,"152,199",,,"+/-3,266","14,028","+/-1,218","7,821",+/-845,"6,156",+/-845
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,,,,,,,,
  Less than 30 percent,,,49.0%,,,+/-1.4,53.1%,+/-4.2,50.3%,+/-4.4,56.2%,+/-7.3
  30 percent or more,,,51.0%,,,+/-1.4,46.9%,+/-4.2,49.7%,+/-4.4,43.8%,+/-7.3
,"Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted roughly as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, see Accuracy of the Data). The effect of nonsampling error is not represented in these tables.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Industry codes are 4-digit codes and are based on the North American Industry Classification System 2007. The Industry categories adhere to the guidelines issued in Clarification Memorandum No. 2, ""NAICS Alternate Aggregation Structure for Use By U.S. Statistical Agencies,"" issued by the Office of Management and Budget.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Telephone service data are not available for certain geographic areas due to problems with data collection. See Errata Note #93 for details.
",,,,,,,,,,,
,,,,,,,,,,,,
,"
",,,,,,,,,,,
,,,,,,,,,,,,
,"While the 2010-2012 American Community Survey (ACS) data generally reflect the December 2009 Office of Management and Budget (OMB) definitions of metropolitan and micropolitan statistical areas; in certain instances the names, codes, and boundaries of the principal cities shown in ACS tables may differ from the OMB definitions due to differences in the effective dates of the geographic entities.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Estimates of urban and rural population, housing units, and characteristics reflect boundaries of urban areas defined based on Census 2000 data. Boundaries for urban areas have not been updated since Census 2000. As a result, data for urban and rural areas from the ACS do not necessarily reflect the results of ongoing urbanization.

",,,,,,,,,,,
,,,,,,,,,,,,
,"Source: U.S. Census Bureau, 2010-2012 American Community Survey

",,,,,,,,,,,
,,,,,,,,,,,,
,"Explanation of Symbols:

    1.  An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.
    2.  An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.
    3.  An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution.
    4.  An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution.
    5.  An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate.
    6.  An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate.
    7.  An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small.
    8.  An '(X)' means that the estimate is ",,,,,,,,,,,
,,,,,,,,,,,,
,"not applicable or not available.


",,,,,,,,,,,
