Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”,Name: “Table 1 of 1 on page 16 of 31”
"Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down","Although Virginia and U.S. drug arrests rose and fell between 2000 and 2009, rates for both were down"
in 2009 compared to 2000.,in 2009 compared to 2000.,,,,,,,,,
,,,,,,,,,,
Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but,Virginia’s drug arrest rate over the decade was consistently below national rates and the rates for all but
one of the bordering states (West Virginia).,one of the bordering states (West Virginia).,one of the bordering states (West Virginia).,one of the bordering states (West Virginia).,one of the bordering states (West Virginia).,,,,,,
,,,,,,,,,,
From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease,From 2008 to 2009 the drug arrest rate in Virginia decreased by almost 8% compared to a 4% decrease
nationally.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,14 of 29,,,,,Virginia Crime Trends 2000-2009
,,,,,,,,,,www.dcjs.virginia.gov/research
