RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
845,NED DEVINES IRISH PUB,42831,6208 MULTIPLEX DRIVE,CENTREVILLE,VA,20121,"QUALIFICATIONS TO RETAIN MB LICENSE-""RESTAURANT""-(RATIO PROVISION)",1,N,ALEXANDRIA,INITIAL HEARING,10/31/2008,4/11/2009,05/20/09,10," $ 1,000.00 ",,,,,
847,SHADE TREE RESTAURANT AND SPORTS PUB,40706,14101 SAINT GERMAIN DRIVE,CENTREVILLE,VA,20121,"QUALIFICATON TO RETAIN M.B. LICENSE-""RESTAURANT""-(RATION PROVISION)",1,Y,ALEXANDRIA,INITIAL HEARING,10/31/2008,4/10/2009,05/20/09,15," $ 1,500.00 ",,,,,
184,STARR HILL BREWING COMPANY,324325,7700 BULL RUN DRIVE,CENTREVILLE,VA,20121,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/21/2007,7/22/2008,9/3/2008,," $ 2,500.00 ",,,,,
884,CIROS NEW YORK PIZZA,60430,6067 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/27/2009,,06/08/09,," $ 2,000.00 ",,,,,
600,LULU CAFÉ,39546,3830 B-10 BRADDOCK ROAD,CENTREVILLE,VA,20121,"CONSUMPTION OF A.B. BY A PERSON LESS THAN 21 YOA, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., FAILED TO OBLITERATE M.B. STAMPS",3,Y,ALEXANDRIA,INITIAL HEARING,6/7/2008,1/22/2009,3/9/2009,25," $ 4,000.00 ",,,,,
882,WATERFORD SHELL,19093,40636 CHARLES TOWN PIKE,PEONIAN SPRINGS,VA,20129,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/27/2009,,06/08/09,," $ 2,000.00 ",,,,,
1,STONELEIGH TAVERN ,73850,35279 PRESWICK CT.,ROUND HILL,VA,20141,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/28/2008,,7/3/2008,25," $ 2,000.00 ",,,,,
644,THE ASHBURN PUB,72381,"4410 ASHBURN SHOPPING PLAZA, STE 196",ASHBURN,VA,20147,"QUALIFICATIONS TO RETAIN MB LICENSE-""RESTAURANT""-(RATIO PROVISION)",1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2008,,3/23/2009,," $ 1,000.00 ",,,,,
104,DEL REY MEXICAN RESTAURANT,42191,43150 BROADLANDS CENTER DRIVE,ASHBURN,VA,20148,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/31/2007,,8/13/2008,7,,,,,,
343,DEL REY MEXICAN RESTAURANT,42191,43150 BROADLANDS CENTER DRIVE,ASHBURN,VA,20148,PLACE OCCUPIED DOES NOT CONFORM TO THE REQUIREMENTS OF THE GOVERNING BODY OF LOUDOUN COUNTY.,1,N,ALEXANDRIA,INITIAL HEARING,2/16/2008,10/6/2008,11/14/2008,15," $ 1,000.00 ",7,,,,
179,BRAMBLETON REGIONAL PARK GOLF COURSE,8827,42180 RYAN ROAD,ASHBURN,VA,20148,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/27/2008,,8/29/2008,," $ 2,000.00 ",,,,,
103,DEL REY MEXICAN RESTAURANT,42191,43150 BROADLANDS CENTER DRIVE,ASHBURN,VA,20148,CONSUMPTION OF A.B. BY 2 INTOX. PERSONS; ILLUMINATION; FAILED TO OBLITERATE MB STAMPS; KEPT MB NOT BEARING MB STAMPS; FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION,5,N,ALEXANDRIA,CONSENT SETTLEMENT,2/16/2008,,8/13/2008,25,,,,,,
66,DAMON'S GRILL,27662,3980 CORSAIR COURT,CHANTILLY,VA,20151,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/31/2008,,7/31/2008,7, $ 500.00 ,,,,,
299,RUDYS INFLIGHT CATERING,38092,"14303 SULLYFIELD CIRCLE, STE B",CHANTILLY,VA,20151,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED ALCOHOLIC BEVERAGE,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/14/2008,,10/22/2008,," $ 1,000.00 ",,,,,
456,PLEASANT VALLEY GOLFERS CLUB,1522,4715 PLEASANT VALLEY ROAD,CHANTILLY,VA,20151,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED ALCOHOLIC BEVERAGE,1,Y,ALEXANDRIA,INITIAL HEARING,7/2/2008,11/18/2008,1/7/2009,10," $ 1,250.00 ",,,,,
309,GOLDEN CHINA,73081,13934 METROTECH DRIVE,CHANTILLY,VA,20151,LICENSEE FAILED TO REPORT TO THE BOARD CHANGES IN OWNERSHIP,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/18/2008,10/21/2008,10/24/2008,, $ 500.00 ,,,,,
441,7 ELEVEN STORE 2581 27068A,42034,14515 LEE JACKSON MEMORIAL HWY,CHANTILLY,VA,20151,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/23/2008,,1/6/2009,," $ 2,000.00 ",,,,,
445,PHILLY CONNECTION STORE 233,44798,4080 AIRLINE PKY,CHANTILLY,VA,20151,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/5/2008,,1/6/2009,25,,,,,,
705,THAI BASIL,7679,14511P LE JAKSONMEMORIAL HWY,CHANTILLY,VA,20151,"DESIGNATED MANAGR NOT POSTED, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION",2,N,ALEXANDRIA,CONSENT SETTLEMENT,2/11/2009,,4/3/2009,," $ 1,000.00 ",,,,,
159,GOLDEN CHINA,73081,13934 METROTECH DRIVE,CHANTILLY,VA,20151,"RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION",2,N,ALEXANDRIA,CONSENT SETTLEMENT,4/18/2008,,8/25/2008,," $ 1,000.00 ",,,,,
859,TASTE OF ASIAN,43893,7921 HERITAGE VILLAGE PLAZA,GAINESVILLE,VA,20155,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER IN COMPROMISE,12/31/2008,,05/26/09,, $ 250.00 ,,,,,
139,ANOTHAI,50884,7535 SOMERSET CROSSING,GAINSVILLE,VA,20155,KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED AB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/9/2008,,8/18/2008,, $ 500.00 ,,,,,
47,TARGET STORE T 1873,40350,13301 WHITNEY RD,GAINSVILLE,VA,20155,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/24/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
350,MASTERS BAR & GRILL,11934,7518 LINTON HALL ROAD,GAINESVILLE,VA,20155,PLACE OCCUPIED DOES NOT CONFORM TO THE REQUIREMENTS OF THE GOVERNING BODY OF PRINCE WILLIAM COUNTY; FAILED TO OBLITERATE MB STAMPS.,2,N,ALEXANDRIA,INITIAL HEARING,3/9/2008,10/6/2008,11/18/2008,7, $ 500.00 ,,,,,
305,MASTERS BAR & GRILL,11934,7518 LINTON HALL ROAD,GAINESVILLE,VA,20155,SOLD TO UNDER AGED BUYER; CONSUMPTION BY UAB; PLACE DOES NOT CONFORM TO REQUIREMENTS OF COUNTY; CONSUMPTION OF AB OTHER THAN DINING AREAS; EMPLOYEE CONSUMED WHILE ON  DUTY.,7,Y,ALEXANDRIA,APPEAL HEARING,7/13/2007,5/22/2008,10/23/2008,,,,,Y,,REVOKED
473,BOWL AMERICA DRANESVILLE,19330,46940 WOODSON DRIVE,STERLING,VA,20164,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/5/2008,,1/13/2009,," $ 2,000.00 ",,,,,
338,NED DEVINES IRISH VILLAGE,38629,"21800 TOWN CENTER PLAZA, STE. 55",STERLING,VA,20164,CONDUCTED HAPPY HOUR CONTRARY TO RULES & REGS; KEPT OR ALLOWED TO BE KEPT AB THAT THE LICENSEE WAS NOT AUTHORIZED TO SELL. ,2,N,ALEXANDRIA,INITIAL HEARING,3/17/2008,10/2/2008,11/13/2008,10," $ 2,500.00 ",,,,,
921,STERLING PK GOLF SWIM & TENNIS CLUB,97,333 S STERLING BLVD,STERLING,VA,20164,"NON-MEMBER PATRONIZING PREMISES, SALE TO NON-MEMBER, DOES NOT OPERATE PRIVATE ESTABLISHMENT, FAILURE TO REPORT CHANGES IN OFFICERS AND DIRECTORS, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B.",5,N,ALEXANDRIA,INITIAL HEARING,8/22/2008,4/30/2009,06/15/09,10," $ 3,000.00 ",,,,,
826,HOOKED,45888,"20789 GREAT FALLS PLAZA, STE 176",STERLING,VA,20165,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/31/2008,,05/21/09,, $ 500.00 ,,,,,
134,UNO CHICAGO GRILL,10592,21035 DULLES TOWN CIRCLE,DULLES,VA,20166,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/27/2008,,8/13/2008,," $ 2,000.00 ",,,,,
53,SHEETZ CONVENIENCE STORE,70402,15315 WASHINGTON STREET,HAYMARKET,VA,20169,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/24/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
865,TEOCALLI TAMALE,45617,336 ELDEN STREET,HERNDON,VA,20170,DESIGNATED MANAGER NOT ON DUTY,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/22/2009,,05/22/09,, $ 500.00 ,,,,,
88,BUFFALO WINGS HOUSE,17048,13005 WORLDGATE DRIVE,HERNDON,VA,20170,"FAILED TO REPORT TO THE BOARD CHANGES IN OFFICERS, DIRECTORS, ETC.",1,N,ALEXANDRIA,INITIAL HEARING,12/26/2007,7/9/2008,8/14/2008,10," $ 1,000.00 ",,,,,
536,THREE THAI SUSHI RESTAURANT,46688,410 ELDEN STREET,HERNDON,VA,20170,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/30/2008,,2/6/2009,, $ 500.00 ,,,,,
474,LUAU GARDEN RESTAURANT`,21057,1090 ELDEN STREET,HERNDON,VA,20170,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/6/2008,,1/13/2009,25,,,,,,
239,TURCUISINE,34659,13029 WORLDGATE DRIVE,HERNDON,VA,20170,FAILED TO SUBMIT ANNUAL REVIEW REPORT; ADVERTISED HAPPY HOUR CONTRARY TO THE RULES & REGS. ,2,N,ALEXANDRIA,INITIAL HEARING,6/1/2006,8/22/2008,10/1/2008,7, $ 500.00 ,,,,,
928,WASHINGTON DULLES MARRIOTT SUITES,6692,13101 WORLDGATE DRIVE,HERNDON,VA,20170,"RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, KEPT M.B. NOT BEARING M.B. STAMPS",2,N,ALEXANDRIA,OFFER IN COMPROMISE,2/3/2009,,6/19/2009,,"$1,000.00",,,,,
233,BREAKERS BILLIARD CAFÉ,40982,2445 H CENTREVILLE ROAD,HERNDON,VA,20171,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,INITIAL HEARING,1/24/2008,8/12/2008,9/29/2008,7, $ 500.00 ,,,,,
332,GLORY DAYS GRILL ,10944,2567 JOHN MILTON DRIVE,HERNDON,VA,20171,CONVICTED FELON,1,N,ALEXANDRIA,INITIAL HEARING,4/22/2008,9/12/2008,11/10/2008,,,,,,,MANAGER APPROVED
84,CVS PHARMACY 2155,77884,3071 CENTREVILLE ROAD,HERNDON,VA,20171,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,12/28/2007,6/27/2008,8/13/2008,30," $ 3,000.00 ",10,,,,
604,MARIA & RUBEN ENTERPRISES,48576,148 CATOCIN CIRCLE SE,LEESBURG,VA,20175,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,7/24/2008,1/22/2009,3/9/2009,25," $ 2,000.00 ",,,,,
842,MARIA & RUBEN ENTERPRISES,48576,148 CATOCIN CIRCLE SE,LEESBURG,VA,20175,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/29/2008,4/14/2009,05/20/09,30," $ 3,000.00 ",10,,,,
15,KING'S COURT TAVERN,31042,"2C LOUDOUN STREET, SW",LEESBURG,VA,20175,STORED AB IN AN UNAUTHORIZED PLACE; WILLFULLY DECEIVED OR ATTEMPTED TO DECEIVE THE BOARD; FAILED TO KEEP RECORDS AT THE PLACE OF BUSINESS; QUALIFICATIONS (BOTH LICENSES); LICENSEE REMOVED AB FROM THE LICENSED PREMISES; KEPT AB UNAUTHORIZED TO SELL; ,8,N,ALEXANDRIA,INITIAL HEARING,5/16/2007, 5/21/2008,7/10/2008,25," $ 4,000.00 ",,,,,
110,EMILIOS BRICK OVEN PIZZA & GRILL,46508,19308 PROMENADE DRIVE,LEESBURG,VA,20176,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/31/2008,,8/13/2008,, $ 500.00 ,,,,,
841,ORIENT KITCHEN,74713,"707 E MARKET STREET, STE M",LEESBURG,VA,20176,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,8/31/2008,4/14/2009,05/20/09,7, $ 500.00 ,,,,,
195,EL PAN NUESTRO,49472,525F E MARKET STREET,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/24/2008,,9/11/2008,," $ 2,000.00 ",,,,,
702,MANDARIAN EXPRES,33728,24A PLAZA STREET NE,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/15/2009,,4/3/2009,25,,,,,,
612,BATTLEFIELD SUNOCO,57376,1017 EDWARDS FERRY ROAD NE,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,7/24/2008,1-22-090,3/9/2009,25," $ 2,000.00 ",,,,,
599,CVS PHARMACY #1415,11951,616 E MARKET STREET,LEESBURG,VA,20176,"SOLD TO UNDER AGED BUYER, DESIGNATED MANAGER NOT POSTED, LICENSE NOT POSTED",3,Y,ALEXANDRIA,INITIAL HEARING,7/24/2008,1/22/2009,3/9/2009,30," $ 4,000.00 ",10,,,,
172,RJS DELI,46889,707 I E MARKET STREET,LEESBURG,VA,20179,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/24/2008,,8/29/2008,25,,,,,,
737,PARK LJG,45044,307 & 319 BROADVIEW AVENUE,WARRENTON,VA,20186,SOLD TO UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,2/12/2009,,4/15/2009,25,,,,,,
639,PAOLOS,40480,11898 MARKET STREET,RESTON,VA,20190,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,INITIAL HEARING,10/24/2008,2/6/2009,3/18/2009,, $ 500.00 ,,,,,
535,CHINA STAR,46859,1800 MICHAEL FARADAY DRIVE,RESTON,VA,20190,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2008,,2/6/2009,7,,,,,,
246,M&S GRILL,29741,11901 DEMOCRACY DRIVE,RESTON,VA,20190,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/4/2008,,10/1/2008,," $ 2,000.00 ",,,,,
566,ARAMARK CORP,48658,2001 EDMUND HALLEY ROAD,RESTON,VA,20191,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/30/2008,,2/24/2009,, $ 500.00 ,,,,,
651,THE MELTING POT RESTAURANT,73018,11400 COMMERCE PARK DRIVE,RESTON,VA,20191,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/2/2009,,3/23/2009,," $ 2,000.00 ",,,,,
314,ANA'S RESTAURANT,10263,1403 OLD BRIDGE ROAD,WOODBRIDGE,VA,20192,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,INITIAL HEARING,12/31/2007,9/12/2008,10/29/2008,,,,,,Y,DISMISSED
537,MAMMA LUCIA,45623,1428 NORTH POINT VILLAGE CENTER,RESTON,VA,20194,FAILED TO SUBMIT ACCURATE ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2008,,2/6/2009,, $ 500.00 ,,,,,
136,LA MADELEINE FRENCH BAKERY & CAFÉ,71483,5861 CROSSROADS CENTER WAY,BAILEYS CROSSROADS,VA,20241,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/24/2008,,8/18/2008,," $ 2,000.00 ",,,,,
191,STAR TOTAL WEDDING REST & BANQUET,47935,7203 LITTLE RIVER TURNPIKE,ANNANDALE,VA,22003,ADVERTISED ABOUT OR CONCERNING AB CONTRARY TO THE RULES AND REGS. ,1,N,ALEXANDRIA,INITIAL HEARING,2/3/2008,7/28/2008,9/8/2008,7, $ 500.00 ,,,,,
337,STAR LONGE AND BALLROOM,47935,7203 LITTLE RIVER TURNPIKE,ANNANDALE,VA,22003,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,INITIAL HEARING,3/2/2008,9/24/2008,11/13/2008,,,,,,Y,DISMISSED
840,PO JANG MA CHA,2455,7203 COLUMBIA PIKE,ANNANDALE,VA,22003,AFTER HOURS SALE OF A.B. ON PREMISES-MIXED BEVERAGE LOCALITY,1,N,ALEXANDRIA,INITIAL HEARING,3/1/2008,4/17/2009,05/20/09,10," $ 1,000.00 ",,,,,
263,RINCONCITO LATINO RESTAURANT,13858,303 N. GLEBE ROAD,ARLINGTON,VA,22003,FAILED TO KEEP ACCURATE & SEPARATE RECORDS AT THE PLACE OF BUSINESS,1,N,ALEXANDRIA,INITIAL HEARING,1/15/2008,8/26/2008,10/9/2008,7, $ 500.00 ,,,,,
738,SORAK GARDEN,49150,4308 BACKLICK ROAD,ANNANDALE,VA,22003,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/1/2008,,4/15/2009,, $ 500.00 ,,,,,
827,TOBAGI,41139,"7031 LITTLE RIVER TPKE, STE 2A",ANNANDALE,VA,22003,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2008,,5/21/2009,, $ 500.00 ,,,,,
767,ANNAN GOL,4483,4213 4215 ANNANDALE CENTER DRIVE,ANNANDALE,VA,22003,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,7/16/2008,3/10/2009,04/20/09,20," $ 2,500.00 ",3,,,,
