RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
672,CHIPOTLE MEXICAN GRILL,51842,7311 SUDLEY RD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/6/2010,03/03/10,," $ 2,000.00 ",,,,,
726,WILLIAM HARRISON IMPORTS,29474,7812 MASON KING CT,MANASSAS,VA,20109,FAIL TO FILE WINE TAX REPORT; FAIL TO REMIT WINE TAX COLLECTED,2,Y,ALEXANDRIA,INITIAL HEARING,4/16/2009,03/30/10,10," $ 1,500.00 ",,,,,
738,PIZZA HUT ,46011,7322 SUDLEY RD,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/3/2010,04/05/10,25,,,,,,
759,BACKYARD GRILL,52680,7421 SUDLEY RD,MANASSAS,VA,20109,HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/11/2010,04/07/10,, $ 500.00 ,,,,,
792,LOGANS ROADHOUSE RESTAURANT,5911,7731 DONEGAN DR,MANASSAS,VA,20109,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/3/2010,04/27/10,," $ 2,000.00 ",,,,,
902,DIONYSOS IMPORTS INC ,52731,11581 ROBERTSON DR,MANASSAS,VA,20109,SOLD WINE WITHOUT APPROVAL FROM BOARD,1,N,ALEXANDRIA,INITIAL HEARING,12/11/2009,06/10/10,7," $ 1,000.00 ",,,,,
283,GODWIN BP,15738,10441 NOKESVILLE ROAD,MANASSAS,VA,20110,"UAB, DESIGNATED MANAGER NOT ON DUTY",2,N,ALEXANDRIA,CONSENT SETTLEMENT,8/24/2009,10/16/09,25,,,,,,
441,CENTER STREET GRILLE,61255,8971 CENTER STREET,MANASSAS,VA,20110,RETAILER PUCHASED WINE OR BEER OTHER THAN FROM WHOLESALER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/7/2009,01/04/10,, $ 500.00 ,,,,,
644,ASHTON AVENUE DINER,14020,9920 COCKRELL RD,MANASSAS,VA,20110,"KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., FAIL TO KEEP COMPLETE, ACCURATE, SEPARATE RECORDS",2,N,ALEXANDRIA,INITIAL HEARING,8/5/2009,02/23/10,10," $ 2,500.00 ",,,,,
791,RAMBLINS BISTRO & BAR,59501,10221 NOKESVILLE RD,MANASSAS,VA,20110,BOUGHT AB WITH BAD CHECK,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/16/2010,04/27/10,, $ 250.00 ,,,,,
143,LA LAGUNA RESTAURANT,46928,7557 CENTREVILL ROAD,MANASSAS,VA,20111,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,2/7/2009,08/14/09,," $ 1,500.00 ",,,,,
592,HERMANOS RESTAURANT,11257,8699 PARKLAND STREET,MANASSAS,VA,20111,"CAUSE EXISTS - VIOLATED LAW, ORDINANCE OR REGULATION, ILLEGAL USE, POSSESION, SOLD, USED OR DISTRIBUTED ",2,N,ALEXANDRIA,APPEAL HEARING,2/1/2007,02/03/10,,,,,Y,Y,LICENSE REVOKED-CHR 1;CHG2 DISMISSED
723,EL QUETZAL GRILL,51504,8450 CENTREVILLE RD,MANASSAS PARK,VA,20111,DESIGNATED MANAGER NOT POSTED; FAIL TO READ/WRITE/UNDERSTAND ENGLISH,2,Y,ALEXANDRIA,INITIAL HEARING,8/31/2009,03/29/10,7," $ 1,500.00 ",,,,,
793,KARAM IMPORTS LLC,46518,7294 CENTREVILLE RD,MANASSAS,VA,20111,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/17/2009,04/27/10,, $ 500.00 ,,,,,
75,LOYAL ORDER OF MOOSE,9132,9305 BRENTSVILLE ROAD,MANASSAS,VA,20112,"NON-MEMBERS PATRONIZING PREMISES, SALES TO NON-MEMBERS, DOES NOT OPERATE PRIVATE ESTALISHMENT, CONSUMPTION OF A.B. BY 2 INTOX PERSONS, FAILED TO COMPLY WITH ABC LAWS AND REGULATIONS",6,N,ALEXANDRIA,INITIAL HEARING,6/21/2008,08/03/09,25," $ 5,000.00 ",,,,,
681,MD GENERAL STORE,61762,8343 WEST MAIN ST,MARSHALL,VA,20115,SO LOCATED...AFFECT REAL PROPERTY,1,N,STAUNTON,INITIAL HEARING,10/13/2009,03/08/10,,,,,,,APPLICATION GRANTED
638,BOXWOOD WINERY & VINEYARD,34616,2042 BURRLAND ROAD,MIDDLEBURG,VA,20117,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,STAUNTON,CONSENT SETTLEMENT,10/23/2009,02/24/10,, $ 500.00 ,,,,,
866,HIDDEN HORSE TAVERN,52822,7 SW WASHINGTON ST,MIDDLEBURG,VA,20118,MBAR,1,Y,ALEXANDRIA,INITIAL HEARING,1/1/2010,05/21/10,,,,,Y,,REVOKED
308,SOO WON GALBI,11139,14102 LEE HWY,CENTREVILLE,VA,20120,PURCHASE OF A.B. FROM THE BOARD EXCEPT FOR CASH,1,N,ALEXANDRIA,INITIAL HEARING,5/13/2009,11/03/09,7, $ 250.00 ,,,,,
321,FAST EDDIES CENTREVILLE,30809,14114 LEE HWY,CENTREVILLE,VA,20120,MEETING PLACE OR RENDEZVOUS FOR (USERS OF NARCOTICS/DRUNKS/ETC) ,1,N,ALEXANDRIA,APPEAL HEARING,5/11/2008,11/04/09,,,,,Y,,REVOKED
510,HWANG BOO JA,47359,"13830 LEE HWY, BAY 11",CENTREVILLE,VA,20120,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,INITIAL HEARING,1/6/2006,01/22/10,," $ 1,000.00 ",,,,,
38,CHARLIE CHANGS RESTAURANT,30188,14107 ST GERMAIN DRIVE,CENTREVILLE,VA,20121,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,2/7/2009,07/21/09,30," $ 3,000.00 ",10,,,,
255,CAFÉ MARTINI,46781,13840 FGH BRADDOCK ROAD,CENTREVILLE,VA,20121,CONSUMPTION OF A.B. BY A PERSON LESS THAN 21 YOA ,1,N,ALEXANDRIA,APPEAL HEARING,8/16/2008,10/05/09,25," $ 2,000.00 ",10,,,,
296,MOSCOW MARKET,40065,14260P CENTREVILLE SQUARE,CENTREVILLE,VA,20121,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/24/2009,10/27/09,25,,,,,,
313,SHO CHIKU,40848,5932 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,"ENGLISH LANGUAGE-FAILURE TO COMPLY WITH CONDITION OF LICENSE, KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION",3,N,ALEXANDRIA,INITIAL HEARING,11/6/2008,11/03/09,10," $ 2,000.00 ",,,,,
413,GOM TANG E,50678,"13840 BRADDOCK ROAD, STE E",CENTREVILLE,VA,20121,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,8/1/2009,12/15/09,, $ 500.00 ,,,,,
624,BBQ CHICKEN & BEER,59595,14109 SAINT GERMAIN DRIVE,CENTREVILLE,VA,20121,"KEPT OR ALLOWED TO BE KEPT UNAUTHORIZED A.B., ALLOWED CONSUMPTION OF A.B. UPON PREMISES OTHER THAN DINING AREA",2,N,ALEXANDRIA,CONSENT SETTLEMENT,11/20/2009,02/24/10,," $ 1,000.00 ",,,,,
724,LULU CAFÉ,39546,"13830 BRADDOCK RD, STE B10",CENTREVILLE,VA,20121,UAB;DESIGNATED MANAGER; KEPT UNAUTHORIZED AB; FAIL TO KEEP RECORDS,4,Y,ALEXANDRIA,INITIAL HEARING,8/24/2009,03/29/10,30," $ 8,000.00 ",15,,,,
820,SHO CHIKU,40848,5932 CENTREVILLE CREST LANE,CENTREVILLE,VA,20121,FAIL TO COMPLY WITH CONDITION,1,Y,ALEXANDRIA,INITIAL HEARING,11/17/2009,05/10/10,10," $ 2,000.00 ",,,,,
826,VIT GOEL TOFU HOUSE,63418,6035 CENTREVILLE CREST LN,CENTREVILLE,VA,20121,KEPT AB NOT AUTHORIZED TO SELL,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/8/2010,05/05/10,, $ 500.00 ,,,,,
389,PARADISE SPRINGS WINERY,56973,13219 YATES FORD ROAD,CLIFTON,VA,20124,"SO SITUATED WITH RESPECT TO RESIDENCE OR RESIDENTIAL AREA, DOES NOT CONFORM TO THE REQUIREMENTS OF THE GOVERNING BODY WITH RESPECT TO",2,N,ALEXANDRIA,APPEAL HEARING,2/26/2009,12/04/09,,,,,,,APPLICATION GRANTED
483,PAEONIAN GROCERY & GOURMET,32812,40602 B CHARLES TOWN PIKE,PAEONIAN SPRINGS,VA,20129,"LICENSEE INTOX. ON PREMISES; LICENSEE CONSUMING AB ON DUTY; LICENSEE CONSUMED/OFFERED UNAUTHORIZED A.B.;CONSUMPTION OF AB ON PREMISES -OFF PREMISES LICENSE; CONSUME UNAUTHORIZED A.B.;KEPT/ALLOWED UNAUTHORIZED A.B., FAILED TO COMPLY W/ABC LAWS & REGS",7,N,ALEXANDRIA,INITIAL HEARING,4/10/2009,01/13/10,30," $ 4,500.00 ",,,,,
264,PHILOMONT GENERAL STORE,26550,36550 JEB STUART ROAD,PHILOMONT,VA,20131,UAB,1,Y,ALEXANDRIA,APPEAL HEARING,10/29/2008,10/07/09,30," $ 5,000.00 ",3,,,,
131,BREAUX VINEYARDS,77451,36888 BREAUX VINEYARDS LANE,PURCELLEVILLE,VA,20132,FAILED TO WILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/16/2009,08/12/09,, $ 500.00 ,,,,,
506,NISSAN PAVILION,71606,7800 CELLAR DOOR DRIVE,BRISTOW,VA,20136,ILLUMINATION,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,8/1/2009,01/22/10,, $ 250.00 ,,,,,
339,YENS CAFÉ & FRESH JUICE,50145,43490 YUKON DRIVE,ASHBURN,VA,20147,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/30/2009,11/09/09,7,,,,,,
851,BONFISH GRILL,36910,43135 BROADLANDS CENTER PLZ STE 137,BROADLANDS,VA,20148,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/31/2010,05/20/10,, $ 500.00 ,,,,,
186,RUDYS INFLIGHT CATERING INC,54542,"3852 DULLES SOUTH COURT, STE B10",CHANTILLY,VA,20151,BOARD NOT AUTHORIZED AND EMPOWERED TO ISSUE LICENSE,1,N,ALEXANDRIA,INITIAL HEARING,8/12/2008,08/28/09,,,,,,,"APPLICATION REFUSED, APPLICANT WITHDRAW AFTER APPEAL DEADLINE, B.O. ISSUED FOR RECORD ONLY"
187,RUDYS INFLIGHT CATERING INC,38092,"14303 SULLYFIELD CIRCLE, STE B",CHANTILLY,VA,20151,CATERER'S LICNESE VIOLATION-CATERING ESTABLISHMENT,1,N,ALEXANDRIA,INITIAL HEARING,4/14/2008,08/28/09,,,,,,Y,"DISMISSED, LICENSE SURRENDERED PER COUNSEL, BUT RECEIVED THAT LETTER AFTER APPEAL DEADLIN,E B.O. ENTERED FOR RECORD ONLY."
301,DULLES AIRPORT COURTYARD BY MARRIOTT,8232,3935 CENTERVIEW DRIVE,CHANTILLY,VA,20151,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/11/2009,10/27/09,," $ 2,000.00 ",,,,,
440,MINERVA INDIAN CUISINE,39068,"14513 LEE JACKSON MEMORIAL HWY, STE B",CHANTILLY,VA,20151,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/18/2009,01/04/10,, $ 500.00 ,,,,,
767,TWO AMIGOS RESTAURANT,58200,"4300 CHANTILLY PLACE, STE 2A",CHANTILLY,VA,20151,LACK OF RESPECT FOR LAW AND ORDER,1,N,ALEXANDRIA,INITIAL HEARING,3/4/2009,04/13/10,,,,,,,APPLICATION GRANTED
547,DIEGO AND SON DISTRIBUTORS,47220,43297 BURKE DALE STREET,SOUT RIDING,VA,20152,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/17/2009,02/04/10,7,,,,,,
760,HERITAGE HUNT GOLF & COUNTRY CLUB,8878,6901 ARTHUR HILLS DR,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/3/2010,04/07/10,," $ 2,000.00 ",,,,,
762,THE BUNGALOW ALE HOUSE,62774,7380 ATLAS WALK WAY,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/25/2010,04/12/10,," $ 2,000.00 ",,,,,
873,CHIPOTLE MEXICAN GRILL,55643,5025 WELLINGTON RD,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/27/2010,06/03/10,," $ 2,000.00 ",,,,,
93,SHOPPERS FOOD WAREHOUSE #36,4466,47100 COMMUNITY PLAZA,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/23/2009,08/05/09,," $ 2,000.00 ",,,,,
95,7 ELEVEN STORE 2581 10656A,54124,712 W CHURCH ROAD,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/23/2009,08/05/09,," $ 2,000.00 ",,,,,
127,CVS PHARMACY #1409,7074,401 STERLING PARK SHOPP MALL,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/23/2009,08/11/09,," $ 2,000.00 ",,,,,
502,COMPASS AND ANCHOR CLUB INC,4628,401 W HOLLY AVENUE,STERLING,VA,20164,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,4/30/2009,01/22/10,, $ 500.00 ,,,,,
718,HOP & WINE BEVERAGE,48067,45490 RURITAN CIRCLE,STERLING,VA,20164,RENTED EQUIP TO RETAIL LICENSE,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,12/31/2009,03/26/10,, $ 500.00 ,,,,,
822,HOP & WINE BEVERAGE,48068,45490 RURITAN CIRCLE,STERLING,VA,20164,FAILED TO FILE WINE WHOLESALERS TAX REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/16/2010,05/05/10,, $ 500.00 ,,,,,
830,HOP & WINE BEVERAGE,48068,45490 RURITAN CIRCLE,STERLING,VA,20164,FAILED TO SUBMIT WINE WHOLESALERS TAX REPORT,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,2/17/2010,04/30/10,, $ -   ,,,,,REDUCED TO WRITTEN WARNING
867,MEXICAN GARDEN RESTAURANT,48286,21430 CEDAR DR STE 124,STERLING,VA,20164,FAILED TO SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2009,05/25/10,, $ 500.00 ,,,,,
197,RITE AID PHARMACY 4265,75481,20800 GREAT FALLS PLAZA,STERLING,VA,20165,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/23/2009,09/01/09,," $ 2,000.00 ",,,,,
422,SHISHA,28435,"20921 DAVENPORT DRIVE, UNIT 130",STERLING,VA,20165,"CONSUMPTION OF AB BY 3 PERSONS LESS THAN 21 YOA, RETAILER PURCHASED WINE OR BEER OTHER THAN FROM WHOLESALER, FAILED TO KEEP RECORDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION, SALES OF AB TO 3 PERSONS LESS THAN 21 YOA",4,N,ALEXANDRIA,APPEAL HEARING,9/28/2008,12/21/09,25," $ 4,500.00 ",,,,Y,"CH 1, 3 $ 4-CIVIL PENALTY, CH 2-DISMISSED"
26,EMILIOS BRICK OVEN PIZZA ,76375,"22207 SHAW ROAD, STE A10",STERLING,VA,20166,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/20/2009,07/17/09,," $ 2,000.00 ",,,,,
334,GATEWAY EXXON,16296,45601 FALKE PLAZA,STERLING,VA,20166,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2009,11/09/09,," $ 2,000.00 ",,,,,
17,HOUSE OF WINGS,55532,13005 WORLDGATE DRIVE,HERNDON,VA,20170,ADVERTISING-HAPPY HOUR,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/7/2009,07/06/09,, $ 500.00 ,,,,,
29,HERNDON GROCERY & BAKERY,26711,714 LYNN STREET,HERNDON,VA,20170,DESIGNATED MANAGER NOT POSTED,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/1/2009,07/17/09,, $ 500.00 ,,,,,
65,K MART 3340,43822,494 ELDEN STREET,HERNDON,VA,20170,DESIGNATED MANAGER NOT POSTED,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/13/2009,07/29/09,, $ 500.00 ,,,,,
81,POOJA SPICES,32108,298 SUNSET PARK DRIVE,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/22/2009,08/05/09,25,,,,,,
168,CHINA KING RESTAURANT,45954,141 SPRING STREET,HERNDON,VA,20170,FAILED TO KEEP RECORDS 9GENERAL) AND MAKE AVAILABLE FOR INSPECTION,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/9/2009,08/24/09,7,,,,,,REVOKED
206,COURTYARD BY MARRIOTT,43565,533 HERNDON PKWY,HERNDON,VA,20170,DESIGNATED MANAGER NOT POSTED,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/18/2009,09/01/09,, $ 500.00 ,,,,,
297,A DELI ITALIAN FOOD,34043,13033 WORLDGATE DRIVE,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/11/2009,10/27/09,25,,,,,,
561,BESTWAY HERNDON SUPERMARKET,19897,690 ELDEN STREET,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/15/2009,02/08/10,," $ 2,000.00 ",,,,,
577,K MART 3340,43822,494 ELDEN STREET,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,10/15/2009,02/03/10,," $ 1,500.00 ",,,,,
579,SAFEWAY FOOD AND DRUG STORE 1689,35870,413 ELDREN STREET,HERNDON,VA,20170,UAB,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,9/11/2009,02/04/10,," $ 5,000.00 ",,,,,
653,EURO BISTRO,6727,314 ELDEN STREET,HERNDON,VA,20170,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,10/15/2009,03/01/10,0," $ 1,500.00 ",,,,,
745,SO ADDICTIVE,55397,733 ELDEN STREET,HERNDON,VA,20170,HAPPY HOUR,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,3/11/2010,04/07/10,, $ 300.00 ,,,,,
761,PARADISE INDIAN CUISINE,63817,328 ELDEN ST,HERNDON,VA,20170,KEPT UNAUTHORIZED AB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/12/2010,04/12/10,, $ 500.00 ,,,,,
18,STAYBRIDGE SUITES BY HOLIDAY INN,31715,13700 COPPERMINE ROAD,HERNDON,VA,20171,FAILED TO KEEP REOCRDS (GENERAL) AND MAKE AVAILABLE FOR INSPECTION,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/13/2009,07/06/09,, $ 500.00 ,,,,,
173,SORRENTO GRILL,10902,2443 G2 CENTREVILLE ROAD,HERNDON,VA,20171,LICENSE NOT POSTED,1,N,ALEXANDRIA,INITIAL HEARING,3/3/2009,08/27/09,7, $ 500.00 ,,,,,
273,GLORY DAYS GRILL,10944,2567 JOHN MILTON DRIVE,HERNDON,VA,20171,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/7/2009,10/16/09,," $ 2,000.00 ",,,,,
484,SHOPPERS FOOD WAREHOUSE #39,4460,2425 CENTREVILLE ROAD,HERNDON,VA,20171,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,6/22/2009,01/13/10,30," $ 3,000.00 ",,,,,
626,MINERVA INDIAN CUISINE,5903,"2443 CENTREVILLE ROAD, STE G1",HERNDON,VA,20171,FAILED TO KEEP ACCURATE RECORDS AT THE PLACE OF BUSINESS,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/28/2010,02/24/10,7,,,,,,
139,PORT ROYAL SUPERMARKET EXPRESS,52634,22547 TIDEWATER TRAIL,PORT ROYAL,VA,20175,UAB,1,N,RICHMOND,INITIAL HEARING,12/11/2008,08/14/09,25," $ 2,000.00 ",,,,,
228,THE GREEN TREE,15,15 S KING STREET,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,INITIAL HEARING,2/20/2009,09/09/09,25," $ 2,000.00 ",,,,,
303,THAI PAN REST AND LEESBURG LIBERTY,56512,2 HARRISON STREET SE,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/14/2009,10/27/09,," $ 2,000.00 ",,,,,
444,DISCOUNT MART,6357,224C S KING STREET ,LEESBURG,VA,20175,"UAB, DESIGNATED MANAGER NOT ON DUTY",2,N,ALEXANDRIA,CONSENT SETTLEMENT,8/14/2009,01/04/10,," $ 2,500.00 ",,,,,
260,LA VILLA ROMA,48132,"305 E MARKET STREET, STE F",LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/20/2009,10/07/09,25," $ 2,000.00 ",,,,,
281,TGI FRIDAYS,6194,235 FORT EVANS ROAD NE,LEESBURG,VA,20176,"CONDUCT HAPPY HOUR, ADVERTISING-HAPPY HOUR",2,N,ALEXANDRIA,CONSENT SETTLEMENT,6/7/2009,10/16/09,," $ 1,000.00 ",,,,,
397,BUNKER SPORTS CAFÉ,44450,510 E MARKET STREET,LEESBURG,VA,20176,"UNAUTHORIZED GIFTS OF A.B., LOITERING-INTOX PERSON",2,N,ALEXANDRIA,INITIAL HEARING,7/12/2008,12/08/09,7, $ 500.00 ,,,,Y,"CH 1-PENALTY, CH 2-DISMISSED"
398,BUNKER SPORTS CAFÉ,44450,510 E MARKET STREET,LEESBURG,VA,20176,LOITERING-INTOX PERSON,1,N,ALEXANDRIA,INITIAL HEARING,4/4/2009,12/08/09,25," $ 2,000.00 ",,,,,
403,VINTAGE 50,44716,"50 CATOCTIN CIRCLE NE, STE 100",LEESBURG,VA,20176,"KEPT OR ALLOWED TO B KEPT UNAUTHORIZED A.B., KEPT MIXED BEVERAGE NOT BEARING M.B. STAMPS",2,N,ALEXANDRIA,INITIAL HEARING,5/7/2009,12/08/09,10," $ 2,000.00 ",,,,,
406,RJs DELI,46889,7071 E MARKET STREET,LEESBURG,VA,20176,UAB,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,8/14/2009,12/15/09,30,,,,,,
520,SPANKYS SHENANIGANS,72771,538 E MARKET STREET,LEESBURG,VA,20176,LOITERING-(NO.) INTOX PERSON,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2009,01/20/10,10," $ 1,000.00 ",,,,,
594,SHEETZ #267,6378,"915 EDWARDS FERRY ROAD, NE",LEESBURG,VA,20176,UAB,1,Y,ALEXANDRIA,OFFER-IN-COMPROMISE,8/14/2009,02/11/10,21," $ 4,000.00 ",,,,,
779,MARIACHI RESTAURANT,46763,19405 PROMENADE DR STE 106,LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/23/2010,04/16/10,,"$2,000.00 ",,,,,
837,BY LO MARKET,49547,"62 PLAZA ST. NE, STE C",LEESBURG,VA,20176,UAB,1,N,ALEXANDRIA,OFFER-IN-COMPROMISE,2/22/2010,04/30/10,0," $ 1,500.00 ",,,,,
