 RECORD CONTROL NUMBER ,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS),CIVIL PENALTY ($),MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER
474,LUAU GARDEN RESTAURANT`,21057,1090 ELDEN STREET,HERNDON,VA,20170,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/6/2008,,1/13/2009,25,,,,,,
84,CVS PHARMACY 2155,77884,3071 CENTREVILLE ROAD,HERNDON,VA,20171,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,12/28/2007,6/27/2008,8/13/2008,30," $ 3,000.00 ",10,,,,
604,MARIA & RUBEN ENTERPRISES,48576,148 CATOCIN CIRCLE SE,LEESBURG,VA,20175,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,7/24/2008,1/22/2009,3/9/2009,25," $ 2,000.00 ",,,,,
842,MARIA & RUBEN ENTERPRISES,48576,148 CATOCIN CIRCLE SE,LEESBURG,VA,20175,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/29/2008,4/14/2009,05/20/09,30," $ 3,000.00 ",10,,,,
195,EL PAN NUESTRO,49472,525F E MARKET STREET,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/24/2008,,9/11/2008,," $ 2,000.00 ",,,,,
702,MANDARIAN EXPRES,33728,24A PLAZA STREET NE,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/15/2009,,4/3/2009,25,,,,,,
612,BATTLEFIELD SUNOCO,57376,1017 EDWARDS FERRY ROAD NE,LEESBURG,VA,20176,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,7/24/2008,1-22-090,3/9/2009,25," $ 2,000.00 ",,,,,
599,CVS PHARMACY #1415,11951,616 E MARKET STREET,LEESBURG,VA,20176,"SOLD TO UNDER AGED BUYER, DESIGNATED MANAGER NOT POSTED, LICENSE NOT POSTED",3,Y,ALEXANDRIA,INITIAL HEARING,7/24/2008,1/22/2009,3/9/2009,30," $ 4,000.00 ",10,,,,
172,RJS DELI,46889,707 I E MARKET STREET,LEESBURG,VA,20179,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/24/2008,,8/29/2008,25,,,,,,
737,PARK LJG,45044,307 & 319 BROADVIEW AVENUE,WARRENTON,VA,20186,SOLD TO UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,2/12/2009,,4/15/2009,25,,,,,,
246,M&S GRILL,29741,11901 DEMOCRACY DRIVE,RESTON,VA,20190,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/4/2008,,10/1/2008,," $ 2,000.00 ",,,,,
651,THE MELTING POT RESTAURANT,73018,11400 COMMERCE PARK DRIVE,RESTON,VA,20191,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/2/2009,,3/23/2009,," $ 2,000.00 ",,,,,
136,LA MADELEINE FRENCH BAKERY & CAFÉ,71483,5861 CROSSROADS CENTER WAY,BAILEYS CROSSROADS,VA,20241,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/24/2008,,8/18/2008,," $ 2,000.00 ",,,,,
197,GOM BA WOO RESTAURANT,10997,7133C COLUMBIA PIKE,ANNANDALE,VA,22003,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2008,,9/11/2008,25,,,,,,
87,CVS PHARMACY 1390,26586,9582 OLD KEENE MILL ROAD,BURKE,VA,22015,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,1/4/2008,7/3/2008,8/14/2008,30," $ 3,000.00 ",10,,,,
162,BOTTOM DOLLAR FOOD #2910,9877,3301 PINE BLUFF DRIVE,DUMFRIES,VA,22026,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,5/30/2008,8/20/2008,8/26/2008,," $ 5,000.00 ",,,,,
145,APPLEBEES NEIGHBORHOOD GRILL & BAR,50456,3330 PINE BLUFF DRIVE,DUMFRIES,VA,22026,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/30/2008,,8/18/2008,," $ 2,000.00 ",,,,,
588,XANDO COFFEE & BAR RESTAURANT/COSI SANDWICH BAR,7193,4250 FAIRFAX CORNER AVENUE,FAIRFAX ,VA,22030,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/16/2008,,2/27/2009,25,,,,,,
942,7 ELEVEN STORE 2581 10648,1174,3226 OLD LEE HWY,FAIRFAX,VA,22030,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,10/28/2008,5/15/2009,06/30/09,25," $ 1,750.00 ",,,,,
33,CHATTERS,27445,11900 PALACE WAY,FAIRFAX,VA,22033,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/18/2008,,7/24/2008,25," $ 2,000.00 ",,,,,
822,"POMODORO, PASTA, PIZZA & MORE",4768,12152 FAIRFAX TOWNE CENTER,FAIRFAX,VA,22033,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/7/2009,,05/12/09,," $ 2,000.00 ",,,,,
839,CHUTZPAH,16819,12214 FAIRFAX TOWNE CENTER,FAIRFAX,VA,22033,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/7/2009,,5/21/2009,," $ 2,000.00 ",,,,,
143,PEKING GOURMET INN,25966,6029 LEESBURG PIKE,FALLS CHURCH,VA,22041,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/24/2008,,8/18/2008,," $ 2,000.00 ",,,,,
413,THE OLIVE GARDEN ITALIAN REST 262,53961,"3548 S JEFFERSON STREET, STE 52",FALLS CHURCH,VA,22041,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/24/2008,,12/16/2008,," $ 2,000.00 ",,,,,
78,7 MARKET,42953,7812 LEE HIGHWAY,FALLS CHURCH,VA,22042,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,OFFER IN COMPROMISE,3/30/2008,7/15/2008,8/7/2008,," $ 2,000.00 ",,,,,
696,FAIRVIEW PARK MARRIOTT,46809,3111 FAIRVIEW PARK DRIVE,FALLS CHURCH,VA,22042,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/19/2009,,4/2/2009,," $ 2,000.00 ",,,,,
196,PEKING DELIGHT RESTAURANT,39054,752A WALKER ROAD,GREAT FALLS,VA,22066,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/4/2008,,9/11/2008,," $ 2,000.00 ",,,,,
592,Q STOP 601,866,502 S KING STREET,LEESBURG,VA,22075,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/15/2009,,2/27/2009,," $ 2,000.00 ",,,,,
131,BOTTOM DOLLAR FOOD #2917,9860,8313 SUDLEY ROAD,MANASSAS,VA,22110,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/3/2008,,8/13/2008,," $ 2,000.00 ",,,,,
383,OCCOQUAN INN,3163,301 MILL STREET,OCCOQUAN,VA,22125,SOLD TO UNDER AGED BUYER; SOLD TO AN INTOXICATED PERSON; ALLOWED CONSUMPTION OF AN INTOXICATED PERSON; MADE AB GIFTS TO PERSONS; ALLOWED ON PREMISES CONSUMPTION TO BE REMOVED FROM AREA; MB QUALIFICATIONS,7,Y,ALEXANDRIA,INITIAL HEARING,10/17/2008,9/2/2008,12/10/2008,25," $ 6,500.00 ",,,,,WITHDREW APPEAL HEARING
820,HUNAN WEST RESTAURANT,39443,8938 BURKE LAKE ROAD,SPRINGFIELD,VA,22151,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/7/2009,,05/12/09,," $ 2,000.00 ",,,,,
430,CONNIES MARKET,9236,3901 GRAHAM PARK ROAD,TRIANGLE,VA,22172,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/27/2008,,12/22/2008,," $ 2,000.00 ",,,,,
766,VIENNA DRUG CENTER,9036,150 MAPLE AVENUE W,VIENNA,VA,22180,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,INITIAL HEARING,10/22/2008,3/10/2009,04/20/09,30," $ 3,000.00 ",10,,,,
652,7 ELEVEN STORE 2581 28556H,44310,8391 LEESBURG PIKE,VIENNA,VA,22182,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/4/2009,,3/23/2009,," $ 2,000.00 ",,,,,
2,SAFEWAY STORE 1270,53114,2042 DANIEL STUART SQ.,WOODBRIDGE,VA,22191,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/30/2008,,7/3/2008,25," $ 2,000.00 ",,,,,
156,THOMAS PIZZA & SUBS,25872,1972 DANIEL STUART SQUARE COURT,WOODBRIDGE,VA,22191,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/30/2008,,8/25/2008,25,,,,,,
564,UNO CHICAGO GRILL,14722,2680 PRINCE WILLIAM PKWY,WOODBRIDGE,VA,22192,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,2/24/2009,," $ 2,000.00 ",,,,,
646,TACKETTS MILL EXXON,75383,12700 MINNIEVILLE ROAD,WOODBRIDGE,VA,22192,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,3/23/2009,," $ 2,000.00 ",,,,,
648,SMOKEY BONES BARBEQUE & GRILL,50892,2601 PRINCE WILLIAM COUNTY PKY,WOODBRIDGE,VA,22192,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,3/23/2009,," $ 2,000.00 ",,,,,
663,BAMBOO BUFFET NOODLE & GRILL,39698,14425 NEW BEDFORD WAY,WOODBRIDGE,VA,22192,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/16/2009,,3/27/2009,25,,,,,,
591,MINI MART,43781,15052 CARDINAL DRIVE,WOODBRIDGE,VA,22193,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/17/2008,,2/27/2009,," $ 2,000.00 ",,,,,
120,MARKET BASKET,46899,1669 CRYSTAL SQUARE ARCADE,ARLINGTON,VA,22202,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/29/2008,,8/13/2008,," $ 2,000.00 ",,,,,
518,SAN ANTONIO BAR & GRILL,58849,1664A CRYSTAL SQUARE ARC,ARLINGTON,VA,22202,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/10/2008,,2/3/2009,," $ 2,000.00 ",,,,,
849,1GEN THAI CUISINE,41840,"4300 WILSON BLVD, STE 150",ARLINGTON,VA,22203,"SOLD TO UNDER AGED BUYER, REFILLED OR TAMPERED-BOTTLES, MB LICENSE",2,N,ALEXANDRIA,INITIAL HEARING,12/16/2008,4/15/2009,05/26/09,25," $ 3,000.00 ",,,,,
437,CECILIAS RESTAURANT,59350,2619 COLUMBIA PIKE,ARLINGTON,VA,22204,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,10/29/2008,,12/22/2008,," $ 2,000.00 ",,,,,
586,7 ELEVEN STORE 2554 10717H,9753,1131 S GEORGE MASON DRIVE,ARLINGTON,VA,22204,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/15/2008,,2/27/2009,," $ 2,000.00 ",,,,,
14,MAIN STREET MARKET,42655,2444 SOUTH 26TH ROAD,ARLINGTON,VA,22206,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/22/2008,6/30/2008,7/10/2008,," $ 1,500.00 ",,,,,
344,7 ELEVEN STORE 2554-22343A,44255,4689 KING STREET,ARLINGTON,VA,22206,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,4/21/2008,10/3/2008,11/14/2008,25," $ 2,000.00 ",,,,,
649,7 ELEVEN STORE 2554 28519H,44281,2906 N SYCAMORE STREET,ARLINGTON,VA,22207,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/28/2009,,3/23/2009,," $ 2,000.00 ",,,,,
650,CVS PHARMACY #1372,23307,6404 WILLIAMSBURG BLVD,ARLINGTON,VA,22207,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/28/2009,,3/23/2009,," $ 2,000.00 ",,,,,
567,QUICK STOP SHELL 609,48389,10030 HULL STREET ROAD,RICHMOND,VA,22236,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,12/12/2008,,2/24/2009,25,,,,,,
645,MIKES Q MART,39241,2266 HUNTINGTON AVENUE,ALEXANDRIA,VA,22303,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/23/2009,,3/23/2009,," $ 2,000.00 ",,,,,
666,BESTWAY SOUTH SUPERMARKET,47088,5695 TELEGRAPH ROAD,ALEXANDRIA,VA,22303,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/23/2009,,3/27/2009,," $ 2,000.00 ",,,,,
267,SUPER H MARKET,41872,3903 MT VERNON AVENUE,ALEXANDRIA,VA,22305,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/5/2008,,10/10/2008,25,,,,,,
43,CHEVY FRESH MEX OF MT. VERNON,47311,"7732 RICHMOND HWY., STE F",ALEXANDRIA,VA,22306,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/11/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
34,PAT'S MARKETS,41224,1401 BELLE HAVEN ROAD,ALEXANDRIA,VA,22307,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/11/2008,,7/24/2008,25," $ 2,000.00 ",,,,,
638,7 ELEVEN STORE 2554 10752A,46724,8146 OLD MOUNT VERNON HWY,ALEXANDRIA,VA,22309,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,INITIAL HEARING,9/30/2008,2/6/2009,3/18/2009,," $ 2,000.00 ",,,,,
102,SHOPPERS FOOD WAREHOUSE # 28,4468,7005 MANCHESTER LAKES BOULEVARD,ALEXANDRIA,VA,22310,SOLD TO UNDER AGED BUYER,1,Y,ALEXANDRIA,OFFER IN COMPROMISE,1/12/2008,8/1/2008,8/26/2008,," $ 5,000.00 ",5,,,,
664,COOMFORT INN,16857,5716 S VAN DORN STREET,ALEXANDRIA,VA,22310,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/23/2009,,3/27/2009,25,,,,,,
381,7 ELEVEN STORE 2516 10863,8761,7101 WARWICK BOULEVARD,NEWPORT NEWS,VA,22312,SOLD TO UNDER AGED BUYER,1,Y,HAMPTON,INITIAL HEARING,6/5/2008,10/30/2008,12/10/2008,30," $ 3,000.00 ",10,,,,
877,ERNIES ORIGINAL CARB HOUSE,49430,1743 KING STREET,ALEXANDRIA,VA,22314,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/10/2009,,06/08/09,," $ 2,000.00 ",,,,,
879,A LA LUCIA,29067,315 MADISON STREET,ALEXANDRIA,VA,22314,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/10/2009,,06/08/09,," $ 2,000.00 ",,,,,
881,TOKYO JAPANESE STEAKHOUSE,9278,66 CANAL CENTER PLAZA,ALEXANDRIA,VA,22314,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/10/2009,,06/08/09,," $ 2,000.00 ",,,,,
668,WORLD MARKET,12185,5954 KINGSTOWNE TOWNE CENTER,ALEXANDRIA,VA,22315,SOLD TO UNDER AGED BUYER,1,N,ALEXANDRIA,CONSENT SETTLEMENT,1/23/2009,,3/27/2009,," $ 2,000.00 ",,,,,
497,WILLIAM STREET MARKET,47204,801 WILLIAM STREET,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,APPEAL HEARING,2/6/2008,12/22/2008,1/26/2009,,,,,,Y,DISMISSED
276,FREDERICKSBURG HOSPITALITY HOUSE,45302,2801 PLANK ROAD,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,8/12/2008,,10/10/2008,," $ 2,000.00 ",,,,,
540,GURUS INDIAN CUISINE,27551,"1320 CENTRAL PARK BLVD, STE 112",FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,12/16/2008,,2/6/2009,," $ 2,000.00 ",,,,,
548,SHEETZ 346,27790,2001 CARL D SILVER PKWY,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,12/16/2008,,2/11/2009,," $ 2,000.00 ",,,,,
563,CHIPOTLE MEXICAN GRILL,51847,3051 PLANK ROAD,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,12/16/2008,,2/24/2009,," $ 2,000.00 ",,,,,
805,FREDERICKSBURG EXPO AND CONFERENCE CENTER,41977,2371 CARL D SILVER PKWY,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,8/23/2008,,05/05/09,25,,,,,,
366,WAWA FOOD MARKET #667,7456,2390 PLANK ROAD,FREDERICKSBURG,VA,22401,SOLD TO UNDER AGED BUYER,1,Y,RICHMOND,OFFER IN COMPROMISE,8/12/2008,11/18/2008,12/3/2008,," $ 5,000.00 ",3,,,,
440,HANDY MART C STORE,57549,1001 FORBES STREET,FREDERICKSBURG,VA,22405,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,10/8/2008,,1/6/2009,," $ 2,000.00 ",,,,,
809,VINNYS ITALIAN GRILL & PIZZERIA,20635,"201 KINGS HWY, STE 103",FREDERICKSBURG,VA,22405,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,3/13/2009,,05/05/09,," $ 2,000.00 ",,,,,
824,7 ELEVEN STORE 32170 B,51557,1 COMMERCE PKWY,FREDERICKSBURG,VA,22406,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,3/12/2009,,05/12/09,," $ 2,000.00 ",,,,,
834,WAL MART SUPERCENTER 5343,38612,10001 SOUTHPOINT PKY,FREDERICKSBURG,VA,22407,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,3/19/2009,,5/21/2009,," $ 2,000.00 ",,,,,
269,BLOOM #2745,29160,10871 TIDEWATER TRAIL,FREDERICKSBURG,VA,22408,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,8/7/2008,,10/10/2008,," $ 2,000.00 ",,,,,
596,EXXON #27755,14206,5409 JEFFERSON DAVIS HWY,FREDERICKSBURG,VA,22408,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,INITIAL HEARING,8/7/2008,1/23/2009,3/9/2009,25," $ 2,000.00 ",,,,,
557,ROSES CRAB HOUSE & RAW BAR,33017,652 N MAIN STREET,KILMARNOCK,VA,22482,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,APPEAL HEARING,5/8/2008,11/7/2008,2/18/2009,, $ 500.00 ,10,,,,
700,WAL MART SUPER CENTER 4350,49314,200 OLD FAIRGROUNDS WAY,KILMARNOCK,VA,22482,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,2/11/2009,,4/2/2009,," $ 2,000.00 ",,,,,
391,GET & ZIP CONVENIENCE STORE 3,45238,6010 MARY BALLA ROAD,LIVELY,VA,22507,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,9/20/2008,,12/10/2008,," $ 2,000.00 ",,,,,
150,MEADOWS FARMS CHAMPIONSHOP GOLF COURSE,32641,4300 FLAT RUN ROAD,LOCUST GROVE,VA,22508,SOLD TO UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,6/23/2008,,8/25/2008,," $ 2,000.00 ",,,,,
695,CVS PHARMACY #7594,73472,36115 GOODWIN DRIVE,LOCUST GROVE,VA,22508,SOLD TO UNDER AGED BUYER,1,N,STAUNTON,CONSENT SETTLEMENT,2/5/2009,,4/2/2009,," $ 2,000.00 ",,,,,
709,GET & ZIP CONVENIENCE STORES,42877,2896 NORTHUMBERLAND HWY,LOTTSBURG,VA,22511,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,2/11/2009,,4/3/2009,," $ 2,000.00 ",,,,,
452,SPORTSMAN ONE STOP,34000,5743 COURTHOUSE ROAD,SPOTSYLVANIA,VA,22551,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,INITIAL HEARING,8/4/2008,12/1/2008,1/7/2009,25," $ 2,000.00 ",,,,,
26,DOUGHERTY'S TAVERN,3252,2055 JEFFERSON DAVIS HWY. STE 310,STAFFORD,VA,22554,SOLD TO UNDER AGED BUYER,1,N,RICHMOND,CONSENT SETTLEMENT,5/19/2008,,7/16/2008,25," $ 2,000.00 ",,,,,
