Name: “Table 1 of 1 on page 28 of 53”,Name: “Table 1 of 1 on page 28 of 53”,Name: “Table 1 of 1 on page 28 of 53”,Name: “Table 1 of 1 on page 28 of 53”
"agencies were represented by two specialists; 6 agencies were represented by 3 specialists; 7 agencies by between 4 to 7 specialists, and","agencies were represented by two specialists; 6 agencies were represented by 3 specialists; 7 agencies by between 4 to 7 specialists, and","agencies were represented by two specialists; 6 agencies were represented by 3 specialists; 7 agencies by between 4 to 7 specialists, and","agencies were represented by two specialists; 6 agencies were represented by 3 specialists; 7 agencies by between 4 to 7 specialists, and"
1 agency (Henrico County Division of Police) by 28 specialists.,1 agency (Henrico County Division of Police) by 28 specialists.,,
"Among these respondents, there was, at minimum, the possibility of 540 disagreements on the question of whether their agencies","Among these respondents, there was, at minimum, the possibility of 540 disagreements on the question of whether their agencies","Among these respondents, there was, at minimum, the possibility of 540 disagreements on the question of whether their agencies","Among these respondents, there was, at minimum, the possibility of 540 disagreements on the question of whether their agencies"
actively provided the 20 listed programs (27 agencies with multiple ratings on 20 programs: 27 x 20 = 540). A “disagreement” occurred,actively provided the 20 listed programs (27 agencies with multiple ratings on 20 programs: 27 x 20 = 540). A “disagreement” occurred,actively provided the 20 listed programs (27 agencies with multiple ratings on 20 programs: 27 x 20 = 540). A “disagreement” occurred,actively provided the 20 listed programs (27 agencies with multiple ratings on 20 programs: 27 x 20 = 540). A “disagreement” occurred
when two or more specialists from the same agency differed as to whether or not their agency was actively providing a particular,when two or more specialists from the same agency differed as to whether or not their agency was actively providing a particular,when two or more specialists from the same agency differed as to whether or not their agency was actively providing a particular,when two or more specialists from the same agency differed as to whether or not their agency was actively providing a particular
"program. 27 Even with such a conservative methodology, there were still 278 disagreements, 52% of the minimum possible. Thus, this","program. 27 Even with such a conservative methodology, there were still 278 disagreements, 52% of the minimum possible. Thus, this","program. 27 Even with such a conservative methodology, there were still 278 disagreements, 52% of the minimum possible. Thus, this","program. 27 Even with such a conservative methodology, there were still 278 disagreements, 52% of the minimum possible. Thus, this"
group of specialists had difficulty in distinguishing an active program from a semi-active program or a semi-active program from a,group of specialists had difficulty in distinguishing an active program from a semi-active program or a semi-active program from a,group of specialists had difficulty in distinguishing an active program from a semi-active program or a semi-active program from a,group of specialists had difficulty in distinguishing an active program from a semi-active program or a semi-active program from a
non-active program.,,,
"27	 Even when there were multiple disagreements about the activity level of a program among agency Specialists, we limited the count to one","27	 Even when there were multiple disagreements about the activity level of a program among agency Specialists, we limited the count to one","27	 Even when there were multiple disagreements about the activity level of a program among agency Specialists, we limited the count to one","27	 Even when there were multiple disagreements about the activity level of a program among agency Specialists, we limited the count to one"
"disagreement per agency, per program.",,,
,,,Page 23
