Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”,Name: “Table 1 of 1 on page 3 of 5”
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
(Residential Property Use),(Residential Property Use),(Residential Property Use),,,,,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,77,2.9%,"$1,313,421","2,414",90.2%,"$64,905,250",186,6.9%,"$4,573,579","2,677",100.0%,"$70,792,250"
2005,109,3.4%,"$3,307,600","2,797",87.6%,"$93,872,159",288,9.0%,"$6,079,511","3,194",100.0%,"$103,259,270"
2006,100,3.1%,"$1,555,342","2,842",87.2%,"$105,359,634",317,9.7%,"$6,477,036","3,259",100.0%,"$113,392,012"
2007,121,3.3%,"$4,867,412","3,149",86.3%,"$126,051,465",378,10.4%,"$15,107,640","3,648",100.0%,"$146,026,517"
2008,125,3.3%,"$2,764,268","3,257",86.4%,"$127,981,002",387,10.3%,"$15,908,066","3,769",100.0%,"$146,653,336"
2009 *,135,3.7%,"$10,081,155","3,186",86.3%,"$123,627,848",372,10.1%,"$12,618,406","3,693",100.0%,"$146,327,409"
Grand Total,667,3.3%,"$23,889,198","17,645",87.2%,"$641,797,358","1,928",9.5%,"$60,764,238","20,240",100.0%,"$726,450,794"
"Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *","Structural Fires Dollar Loss Summary By Automatic Extinguishing System (AES) Presence, Virginia, 2004 - 2009 *",,,
"(Mercantile, Business Property Use)","(Mercantile, Business Property Use)","(Mercantile, Business Property Use)","(Mercantile, Business Property Use)",,,,,,,,,
,,AES Present,,,None Present,,Unknown or Not Reported,Unknown or Not Reported,Unknown or Not Reported,,Grand Total,
,,,Total Fire,,,Total Fire,,,Total Fire,,,Total Fire Dollar
Year,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Dollar Loss,Total,Percent,Loss
2004,33,23.6%,"$277,412",99,70.7%,"$5,206,712",8,5.7%,"$151,651",140,100.0%,"$5,635,775"
2005,54,26.2%,"$3,133,451",134,65.0%,"$19,186,788",18,8.7%,"$4,504,276",206,100.0%,"$26,824,515"
2006,49,21.9%,"$729,670",142,63.4%,"$14,195,962",33,14.7%,"$677,779",224,100.0%,"$15,603,411"
2007,52,25.5%,"$865,032",117,57.4%,"$6,865,030",35,17.2%,"$683,452",204,100.0%,"$8,413,514"
2008,63,26.5%,"$1,170,629",140,58.8%,"$16,877,951",35,14.7%,"$9,015,782",238,100.0%,"$27,064,362"
2009 *,54,22.9%,"$2,466,754",136,57.6%,"$17,518,547",46,19.5%,"$5,866,100",236,100.0%,"$25,851,401"
Grand Total,305,24.4%,"$8,642,948",768,61.5%,"$79,850,990",175,14.0%,"$20,899,040","1,248",100.0%,"$109,392,978"
Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,Prepared by the Information and Statistics Section,,,3,,,,,,2/19/2010
