RECORD CONTROL NUMBER,LICENSEE NAME,ABC LICENSE #,PHYSICAL ADDRESS,CITY,STATE,ZIP,CHARGES,NUMBER OF CHARGES,REPEAT ABC OFFENSE?,REGION,DISPOSITION METHOD,VIOLATION DATE,CONTINUANCE?,DATE AVAILABLE TO H & A,DATE HEARD,DECISION DATE,DISPOSITION DATE,SUSPENSION (DAYS), CIVIL PENALTY ($) ,MANDATORY SUSP. W/ CIVIL PENALTY (DAYS),PROBATION (MONTHS),REVOKED (Y/N),DISMISSED (Y/N),OTHER,,,,,,,,,,
159,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBLETON,VA,20148,LICENSEE CANNOT DEMONSTRATE FINANCIAL RESPONSIBILITY,1,Y,ALEXANDRIA,INITIAL HEARING,1/12/2012,Y,4/12/2012,6/18/2012,8/1/2012,9/19/2012,,,,,,,VACATING PREVIOUS ORDER; LATE APPEAL,,,,,,,,,,
263,ASIAN SPICE CAFÉ,52097,"42395 RYAN RD, STE 126",BRAMBLETON,VA,20148,UAB,1,Y,ALEXANDRIA,INITIAL HEARING,6/19/2012,N,6/27/2012,9/17/2012,10/2/2012,11/6/2012,30," $ 3,000.00 ",10,,,,,,,,,,,,,,
293,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBLETON,VA,20148,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,APPEAL HEARING,1/12/2012,Y,4/12/2012,6/18/2012,8/1/2012,11/29/2012,,,,,Y,,,,,,,,,,,,
298,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBLETON,VA,20148,LICENSEE IS NOT LEGITMATE OWNER OF THE BUSINESS,1,N,ALEXANDRIA,INITIAL HEARING,7/17/2012,N,7/25/2012,8/23/2012,10/31/2012,12/4/2012,,,,,Y,,,,,,,,,,,,
309,CALIENTE,63728,"22885 BRAMBLETON PLZ, STE 100",BRAMBLETON,VA,20148,FINANCIAL RESPONSIBILITY,1,N,ALEXANDRIA,APPEAL HEARING,1/12/2012,Y,4/12/2012,6/18/2012,8/1/2012,12/12/2012,,,,,,,RECONSIDERATION REFUSED,,,,,,,,,,
240,CVS PHARMACY #1419,62884,3919 CENTREVILLE ROAD,CHANTILLY,VA,20151,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,10/4/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
206,7 ELEVEN STORE 2581 32176-B,57314,43251 JOHN MOSBY HWY.,CHANTILLY,VA,20152,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/10/2012,,,10/18/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
657,JIMBOS NY DELI,51047,43112 JOHN MOSBY HWY,CHANTILLY,VA,20152,UAB,1,N,ALEXANDRIA,INITIAL HEARING,9/5/2012,Y,10/11/2012,1/22/2013,2/28/2013,6/5/2013,25," $ 2,000.00 ",,,,,,,,,,,,,,,
221,OSAKA JAPANESE STEAK & SEAFOOD RESTAURANT,48525,7447 LINTON HALL ROAD,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,9/25/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
225,BONEFISH GRILL,31128,7611 SOMERSET CROSSING DRIVE,GAINESVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,9/26/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
600,7 ELEVEN STORE 2554-33955 B,60877,7489 LIMESTONE DRIVE,GAINSVILLE,VA,20155,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,3/8/2013,N,3/21/2013,,,5/3/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
157,HOP & WINE BEVERAGE,78980,"22714 GLENN DRIVE, STE. 130",STERLING,VA,20164,WHOLESALER MADE GIFTS OF 11 VARIOUS BEER BRANDS TO PERSONS,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/16/2012,Y,6/19/2012,,,9/20/2012,," $ 1,000.00 ",,,,,,,,,,,,,,,
198,EL PASO PUPUSERIA AND MEXICAN GRILL,45116,309SOUTH STERLING BOULEVARD,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,6/29/2012,N,9/5/2012,,,10/12/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
385,GRAND MART INTERNATIONAL FOOD LLC,45918,"46900 CEDAR LAKE PLAZA, SUITE 150",STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/8/2012,N,12/4/2012,,,1/9/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
458,7 ELEVEN STORE 2581 30483-A,49855,46989 SUGARLAND RUN DRIVE,STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/13/2012,N,12/27/2012,,,1/31/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
618,7 ELEVEN STORE 2581-16385 A,50228,"21800 TOWNCENTER PLAZA, SUITE 201",STERLING,VA,20164,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,2/8/2013,N,2/22/2013,,,5/21/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
617,BALTI TANDOORI INDIAN RESTAURANT,78704,"46005 REGAL PLAZA, SUITE 140",STERLING,VA,20165,"FAIL TO  TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING DECEMBER 31, 2012.",1,N,ALEXANDRIA,CONSENT SETTLEMENT,12/31/2012,N,4/18/2013,,,5/21/2013,, $ 500.00 ,,,,,,,,,,,,,,,
621,MIYAMA JAPANESE CUISINE,80681,20789 GREAT FALLS PLAZA,STERLING,VA,20165,"LICENSEE ADVERTISED ABOUT OR CONCERNING HAPPY HOUR, CONTRARY TO RULES AND REGULATIONS OF THE BOARD",1,N,ALEXANDRIA,CONSENT SETTLEMENT,4/17/2013,N,4/26/2013,,,5/21/2013,, $ 500.00 ,,,,,,,,,,,,,,,
572,BRIGHT STAR MINIMART,79706,"46000 OLD OX ROAD, STE 100",STERLING,VA,20166,UAB,1,N,ALEXANDRIA,OFFER IN COMPROMISE,2/8/2013,N,2/21/2013,,,4/18/2013,," $ 1,500.00 ",,,,,,,,,,,,,,,
641,NICE LEGGS LLC,65885,506 SHAW ROAD,STERLING,VA,20166,"SOLD WINE IN COMMONWEALTH WITHOUT FIRST OBTAINING APPROVAL BY BOARD AS TO CONTENT, CONTAINER AND LABEL",1,N,ALEXANDRIA,OFFER IN COMPROMISE,9/4/2012,N,3/11/2013,,,5/24/2013,, $ 750.00 ,,,,,,,,,,,,,,,
566,LUCIANO ITALIAN RESTAURANT AND PIZZERIA,44149,1054 ELDEN ST,HERNDON,VA,20170,FAIL TO SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,8/31/2012,N,12/14/2012,1/24/2013,3/5/2013,4/15/2013,,,,,,,NO ADMINISTRATIVE PENALTY,,,,,,,,,,
664,THARA THAI RESTAURANT,65243,13021 WORLDGATE DRIVE,HERNDON,VA,20170,"LICENSEE ADVERTISED ABOUT OR CONCERNING HAPPY HOUR, CONTRARY TO RULES AND REGULATIONS OF THE BOARD",1,N,ALEXANDRIA,CONSENT SETTLEMENT,5/7/2013,N,5/29/2013,,,6/13/2013,, $ 500.00 ,,,,,,,,,,,,,,,
60,KUMO SUSHI,64780,"2338 WOODLAND CROSSING DR, STE A",HERNDON,VA,20171,UAB,1,N,ALEXANDRIA,INITIAL HEARING,3/17/2012,N,5/1/2012,6/18/2012,6/22/2012,7/24/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
79,GLORY DAYS GRILL,10944,2567 JOHN MILTON DRIVE,HERNDON,VA,20171,UAB,1,Y,ALEXANDRIA,APPEAL HEARING,2/8/2011,Y,2/11/2011,9/6/2011,10/20/2011,8/10/2012,30," $ 3,000.00 ",30,,,,,,,,,,,,,,
556,MIGHTY KHANS MONGOLIAN GRILL,79820,"2501 CENTREVILLE RD, STE 11",HERNDON,VA,20171,APPLICANT HAS BEEN CONVICTED OF A FELONY OR CRIME OR OFFENSE INVOLVING MORAL TURPITUDE,1,N,ALEXANDRIA,INITIAL HEARING,12/17/2012,N,12/18/2012,1/25/2013,3/26/2013,4/8/2013,,,,,,,APPLICATION - LICENSE GRANTED,,,,,,,,,,
204,SAFEWAY 4218,43663,437 S KING STREET,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/7/2012,N,9/21/2012,,,10/18/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
219,7 ELEVEN STORE 2581-10638A,62981,110 DRY MILL ROAD SW,LEESBURG,VA,20175,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/7/2012,N,9/21/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
570,THAI PAN REST AND LEESBURG LIBERTY,56512,2 HARRISON STREET SE,LEESBURG,VA,20175,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,2/22/2013,N,3/18/2013,,,4/16/2013,," $ 2,000.00 ",,,,,,,,,,,,,,,
172,LANSDOWNE SHELL,47379,19325 RUBY DRIVE,LANSDOWNE,VA,20176,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/30/2012,N,9/18/2012,,,10/2/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
595,LANSDOWNE SHELL,47379,19325 RUBY DR,LANSDOWNE,VA,20176,UAB,1,N,ALEXANDRIA,INITIAL HEARING,11/21/2012,Y,12/17/2012,2/21/2013,3/28/2013,5/2/2013,40," $ 4,000.00 ",10,,,,,,,,,,,,,,
279,THE CHUCK WAGON RESTAURANT,64627,"12846 FITZWATER DRIVE, SUITE 101",NOKESVILLE,VA,20181,"FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING JULY 31, 2012.",1,N,ALEXANDRIA,CONSENT SETTLEMENT,7/31/2012,N,11/6/2012,,,11/26/2012,, $ 500.00 ,,,,,,,,,,,,,,,
31,RUBY TUESDAY,24821,74 BLACKWELL PARK LANE,WARRENTON,VA,20186,UAB,1,Y,STAUNTON,CONSENT SETTLEMENT,6/6/2012,N,6/20/2012,,,7/13/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
256,BROADVIEWLANES,53609,272 BROADVIEW AVENUE,WARRENTON,VA,20186,KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL,1,N,STAUNTON,CONSENT SETTLEMENT,9/19/2012,N,10/15/2012,,,11/5/2012,, $ 500.00 ,,,,,,,,,,,,,,,
335,BROADVIEW SUNOCO,54141,121 BROADVIEW AVE.,WARRENTON,VA,20186,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/1/2012,N,11/20/2012,,,12/28/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
394,TWISTED SISTERS SEAFOOD,69761,6806 JAMES MADISON HIGHWAY,WARRENTON,VA,20186,UAB,1,N,STAUNTON,CONSENT SETTLEMENT,11/1/2012,N,11/19/2012,,,1/9/2013,25,,,,,,,,,,,,,,,,
632,MOJITOS & TAPAS RESTAURANT,43661,"251 WEST LEE HWY., SUITE 157",WARRENTON,VA,20186,UAB,1,N,STAUNTON,APPEAL HEARING,11/1/2012,N,1/9/2013,2/13/2013,3/27/2013,5/21/2013,5," $ 1,000.00 ",,,,,,,,,,,,,,,
593,WARRENTON MOOSE LODGE NO 1695 LOOM,8445,6415 COLONIAL RD,WARRENTON,VA,20187,"LICENSEE SOLD ALCOHOLIC BEVERAGES TO INTOXICATED PERSON, ALLOWED CONSUMPTION OF ALCOHOLIC BEVERAGES BY INTOXICATED PERSON",2,N,STAUNTON,INITIAL HEARING,11/30/2012,N,12/12/2012,1/16/2013,3/29/2013,5/2/2013,25," $ 2,500.00 ",,,,,,,,,,,,,,,
511,THE COUNTER,53884,11922 DEMOCRACY DRIVE,RESTON,VA,20190,"FAIL TO  TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING NOVEMBER 30, 2013",1,N,ALEXANDRIA,CONSENT SETTLEMENT,11/30/2012,N,2/22/2013,,,3/18/2013,, $ 500.00 ,,,,,,,,,,,,,,,
170,SAFEWAY #0005,43660,11120 S LAKES DRIVE,RESTON,VA,20191,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/5/2012,N,9/12/2012,,,10/2/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
561,LEDO PIZZA,8261,2254A HUNTERS WOODS PLAZA,RESTON,VA,20191,UAB,1,N,ALEXANDRIA,INITIAL HEARING,9/5/2012,N,10/11/2012,1/23/2013,2/28/2013,4/10/2013,15," $ 1,750.00 ",,,,,,,,,,,,,,,
22,TOBAGI,41139,7031 LITTLE RIVER TNPK,ANNANDALE,VA ,22003,FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,Y,ALEXANDRIA,INITIAL HEARING,12/31/2011,N,3/27/2012,4/17/2012,6/5/2012,7/11/2012,25," $ 2,000.00 ",,,,,,,,,,,,,,,
160,VIT GOEL TOUFU HOUSE,22974,"4121 CHATELAIN RIOAD, SUITE 100",ANNANDALE,VA,22003,FAILED TO TIMELY SUBMIT ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/30/2012,N,8/16/2012,,,9/24/2012,, $ 500.00 ,,,,,,,,,,,,,,,
222,OEGADGIB,38491,"7331 LITTLE RIVER TURNPIKE, SUITE 100-C",ANNANDALE,VA,22003,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,8/29/2012,N,9/26/2012,,,10/22/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
272,CHAMPION MUSIC STUDIO,34540,7110 COLUMBIA PIKE,ANNANDALE,VA,22003,DESIGNATED MANAGER NOT POSTED; QUALIFICATIONS,2,Y,ALEXANDRIA,APPEAL HEARING,5/27/2012,N,6/14/2012,7/12/2012,8/10/2012,11/20/2012,10," $ 1,000.00 ",,,Y,,LIC. REVOKED BASED ON CHG. 2,,,,,,,,,,
286,PADO SEAFOOD RESTAURANT,47099,4231 E MARKHAM ST,ANNANDALE,VA,22003,"FAIL TO  TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING APRIL 30, 2012",1,Y,ALEXANDRIA,INITIAL HEARING,4/30/2012,N,8/16/2012,9/17/2012,10/15/2012,11/26/2012,7, $ 500.00 ,,,,,,,,,,,,,,,
291,CUE CLUB,72960,7014 COLUMBIA PIKE,ANNANDALE,VA,22003,LICENSEE REFILLED BOTTLE OR CONTAINERS OF ALCOHOLIC BEVERAGES; KEPT OR ALLOWED TO BE KEPT ALCOHOLIC BEVERAGES NOT AUTHORIZED TO SELL,2,N,ALEXANDRIA,INITIAL HEARING,5/27/2012,N,7/27/2012,9/18/2012,10/15/2012,11/27/2012,10," $ 2,000.00 ",,,,,,,,,,,,,,,
491,SEVEN STAR CAFÉ,26350,7133 COLUMBIA PIKE,ANNANDALE,VA,22003,"FAIL TO TIMELY SUBMIT ANNUAL REVIEW REPORT FOR YEAR ENDING JUNE 30, 2012.",1,Y,ALEXANDRIA,INITIAL HEARING,6/30/2012,Y,10/9/2012,1/9/2013,1/24/2013,2/26/2013,10," $ 1,000.00 ",,,,,,,,,,,,,,,
495,PANG PANG SIL NAE POCHA,50509,7127B COLUMBIA PIKE,ANNANDALE,VA,22003,LICENSEE SOLD ALCOHOLIC BEVERAGE IN AN UNAUTHORIZED MANNER,1,N,ALEXANDRIA,INITIAL HEARING,8/25/2011,Y,9/20/2012,1/9/2013,1/30/2013,3/5/2013,10," $ 1,000.00 ",,,,,,,,,,,,,,,
587,HAPPI BILLIARD & CAFÉ,8301,7127C LITTLE RIVER TNPK,ANNANDALE,VA,22003,CEASES TO QUALIFY AS A RESTAURANT,1,N,ALEXANDRIA,INITIAL HEARING,7/30/2012,N,9/8/2012,1/24/2013,3/26/2013,4/30/2013,10," $ 1,000.00 ",,,,,,,,,,,,,,,
608,BADEN BADEN,1289,7358 LITTLE RIVER TURNPIKE,ANNANDALE,VA,22003,LICENSEE SOLD AN ALCOHOLIC BEVERAGE AUTHORIZED BY THE LICENSE BUT IN AN UNAUTHORIZED PLACE OR MANNER.,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,3/16/2013,N,4/18/2013,,,5/15/2013,," $ 1,000.00 ",,,,,,,,,,,,,,,
638,JANG WON BANJUM,48933,4210 JOHN MARR DR,ANNANDALE,VA,22003,"FAIL TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS; FAIL TO COMPLY WITH CONDITION OF LICENSE",2,N,ALEXANDRIA,INITIAL HEARING,10/2/2012,Y,10/24/2012,2/22/2013,4/19/2013,5/21/2013,15," $ 3,000.00 ",,,,,,,,,,,,,,,
674,CAFÉ BLUE,81453,"4231 MARKHAM ST, STE A",ANNANDALE,VA,22003,ESTABLISHMENT CEASES TO QUALIFY AS A RESTAURANT X2,2,N,RICHMOND,INITIAL HEARING,2/14/2013,Y,2/15/2013,4/4/2013,5/9/2013,6/18/2013,,,,,,,APPLICATION - LICENSE REFUSED,,,,,,,,,,
66,H PHO,73342,9546 OLD KEENE MILL RD,BURKE,VA,22015,CEASES TO QUALIFY AS A RESTAURANT; FAIL TO SUBMIT ANNUAL REVIEW REPORT,2,N,ALEXANDRIA,INITIAL HEARING,11/30/2011,N,2/28/2012,4/18/2012,6/27/2012,7/31/2012,7, $ 500.00 ,,,,Y,CH 1 DISMISSED,,,,,,,,,,
111,SHIRLEYS CATERING & GOURMET GIFT BASKETS,49557,5799 BURKE CENTRE PKY STE H,BURKE,VA,22015,FAILURE TO SUBMIT A COMPLETE AND ACCURATE MIXED ANNUAL REVIEW REPORT,1,N,ALEXANDRIA,OFFER IN COMPROMISE,10/31/2011,Y,7/19/2012,,,8/31/2012,, $ 500.00 ,,,,,,,,,,,,,,,
678,GIORGIOS & WINE STYLES OF MONTCLAIR,9387,4394 KEVIN WALKER DRIVE,MONTCLAIR,VA,22025,PERMIT HOLDER FAILED TO COMPLY WITH THE PERMIT,1,N,ALEXANDRIA,OFFER IN COMPROMISE,4/3/2013,N,4/19/2013,,,6/20/2013,, $ 500.00 ,,,,,,,,,,,,,,,
258,BOTTOM DOLLAR FOOD #2910,9877,3301 PINE BUFF DRIVE,DUMFRIES,VA,22026,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,9/15/2012,N,10/17/2012,,,11/5/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
235,P J SKIDOOS,25878,9908 FAIRFAX BLVD.,FAIRFAX,VA,22030,UAB,1,Y,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/4/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
236,RATHSKELLAR,40654,4400 UNIVERSITY DRIVE,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/5/2012,,,10/25/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
259,PABLITOS,67889,10901 MAIN STREET,FAIRFAX,VA,22030,UAB,1,N,ALEXANDRIA,CONSENT SETTLEMENT,9/14/2012,N,10/5/2012,,,11/5/2012,," $ 2,000.00 ",,,,,,,,,,,,,,,
438,METRO CELLARS,65875,2724 DORR AVENUE,FAIRFAX,VA,22031,"SOLD WINE IN COMMONWEALTH WITHOUT FIRST OBTAINING APPROVAL BY BOARD AS TO CONTENT, CONTAINER AND LABEL, WHOLESALER FAILED TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS; FAILED TO SUBMIT PURCHASE ORDER TO TAX MANAGEMENT",3,N,ALEXANDRIA,OFFER IN COMPROMISE,8/31/2011,N,8/22/2012,,,1/22/2013,," $ 1,200.00 ",,,,,,,,,,,,,,,
502,BONCHON CHICKEN,67191,3242 OLD PICKET ROAD,FAIRFAX,VA,22031,"FAILURE TO KEEP COMPLETE, ACCURATE AND SEPARATE RECORDS",1,N,ALEXANDRIA,OFFER IN COMPROMISE,6/30/2012,N,9/27/2012,,,3/15/2013,, $ 500.00 ,,,,,,,,,,,,,,,
